institution_code,institution_name,email,akreditasi_institusi,link
91,Politeknik Sakti Surabaya,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/75007
92,Politeknik Semen Indonesia,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/75021
93,Politeknik Surabaya,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/75004
94,Politeknik Ubaya,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/75003
95,Politeknik Unisma Malang,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/75005
96,Sekolah Tinggi Bahasa Asing Cahaya Surya,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73118
97,Sekolah Tinggi Bahasa Asing Malang,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73055
98,Sekolah Tinggi Filsafat Teologi Widya Sasana,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73020
99,Sekolah Tinggi Ilmu Administrasi Bayuangga,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73038
100,Sekolah Tinggi Ilmu Administrasi Malang,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73023
101,Sekolah Tinggi Ilmu Administrasi Pembangunan,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73058
102,Sekolah Tinggi Ilmu Bahasa Dan Sastra Satya Widya,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73011
103,Sekolah Tinggi Ilmu Ekonomi Al-Anwar,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73094
104,Sekolah Tinggi Ilmu Ekonomi Artha Bodhi Iswara,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73007
105,Sekolah Tinggi Ilmu Ekonomi Cendekia Bojonegoro,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73089
106,Sekolah Tinggi Ilmu Ekonomi Darul Falah,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73185
107,Sekolah Tinggi Ilmu Ekonomi Dharma Nasional Jember,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73028
108,Sekolah Tinggi Ilmu Ekonomi Gempol,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73106
109,Sekolah Tinggi Ilmu Ekonomi IBMT,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73075
110,Sekolah Tinggi Ilmu Ekonomi IEU,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73069
