id_sp,kab_kota_pt,provinsi_pt,akreditasi,nama_singkat,status_pt,nama_pt,jenis_pt,jumlah_prodi,range_biaya_kuliah
e9t8tSJzCd28j8s8p5ahJTvM4gAiytkWea3q7gMWLY-2-jL34TcEFzMzztBWNLlYE-JQBQ==,Kota Denpasar,Prov. Bali,Baik,Primakara,Alih Bentuk,STMIK Primakara,Swasta,4,-
jgCklPnHTTzQ-FnRNKQRSR4YeaCtYvReTTz9MUG7ML1bns-SnImk7VZmpvdPKUzia0AbpA==,Kota Semarang,Prov. Jawa Tengah,Baik,AKFAR 17-08-1945,Alih Bentuk,Akademi Farmasi 17 Agustus 1945 Semarang,Swasta,1,3.750.000 - 30.750.000
JVQR0XzhktGlzJiFglThu-EIQEvATwKwsy7VNmzKWIT5AVJm2904hFoYdff7vD-wBrt7EQ==,Kab. Maluku Tengah,Prov. Maluku,-,STIA SP,Alih Bentuk,Sekolah Tinggi Ilmu Administrasi Said Perintah,Swasta,2,-
FaYL18A_7r-qyhtZxdAe7CbIFiC_YAf-qxIEwqJani0u9DqbhkVc5Q8ADp3PGga-EuJWJQ==,Kota tangerang Selatan,Prov. Banten,-,-,Tutup,STKIP Suluh Bangsa,Swasta,1,-
xJ_R-99PBOAw2kyERO-RisQ3R2ZupWLOOA4eIwD1FbXKuIqHb5_sPvtol0_D9gnM_hfpRQ==,Kota Pangkalpinang,Prov. Bangka Belitung,Baik,ICI,Aktif,Institut Citra Internasional,Swasta,6,2.400.000 - 17.950.000
m4JGXQS76bPEQhBC8GqcALOhsvKNvebnfgsU68NBPCsQ7OULAIuq1wcK0Drdx7PD7GmDoA==,Kota Surakarta,Prov. Jawa Tengah,-,ABA Pignatelli,Alih Bentuk,Akademi Bahasa Asing St Pignatelli,Swasta,1,-
BLlIFi696LIXAhMXWqNtZ_k2aghiT7jj8tq_RZjh3NdKQLrfONm7R_Qz--bj2VEPY0M7zw==,Kota Banda Aceh,Prov. Aceh,Baik,STTIT,Aktif,Sekolah Tinggi Teknik Iskandar Thani,Swasta,3,2.400.000 - 30.000.000
dOJwpg7I9_F2rK4BNzxSIqCpqzjMiesjf-wPiEszzl3WOcp22JEVZOKFGvlhWVlct9qapA==,Kota Medan,Prov. Sumatera Utara,-,-,Alih Bentuk,Akademi Kebidanan Imelda,Swasta,1,-
7ZQhkxfPc6K382ciPv3_bD7V2jeRDkNZHkySIK5mQoKQpDTmiHqts1ALy_xqYjiQCkAe1A==,Kota Jayapura,Prov. Papua,B,Uningrat Papua,Aktif,Universitas Doktor Husni Ingratubun Papua,Swasta,9,3.000.000 - 3.000.000
fEdOLcITyBdcVqTmrTL3nr955WAjrjbDVJu6TrpePqOe6GfkOfjB_OMV3IiXJ0DmKxDrZg==,Kab. Mandailing Natal,Prov. Sumatera Utara,-,AKADEMI KEBIDANAN NA,Alih Bentuk,Akademi Kebidanan Namira Madina Panyabungan,Swasta,1,-
4QAwMSrHfOiYSR5NDVssboj9TzXT2IUxT3FTmCw4RFgQbxw2aBywzluxJA5oopZiokJakA==,Kab. Bantul,Prov. D.I. Yogyakarta,-,Stikes Alma Ata Yogy,Alih Bentuk,Sekolah Tinggi Ilmu Kesehatan Alma Ata Yogyakarta,Swasta,4,-
ag5DihtWmjOJZrPz-Nm21jyBuplS_rLlu1BR91fcRceB2rMciURE2x05gleAkGgI0ZaFcw==,Kota tangerang Selatan,Prov. Banten,Baik Sekali,UNPAM,Aktif,Universitas Pamulang,Swasta,42,2.400.000 - 4.900.000
JnfJMuis5CuMhQqnCSzBbQE_574GFv6sLUkReJMg6otCVcYeMmrrChJ-cCcNMNPOyMmfcg==,Kota Palembang,Prov. Sumatera Selatan,-,-,Alih Bentuk,Akd Teknik Radiodiag. Dan Radioterapi Widya Dharma,Swasta,1,-
fJ9tZXYTCk6BwxHNQJAIePHuCuK0oic0p81t2hTMzwR8NBQHQnhJTQ04qUOjHaQ_z7uwWg==,Kab. Sorong Selatan,Prov. Papua Barat,Baik,UNSAR,Aktif,Universitas Werisar,Swasta,5,2.600.000 - 2.600.000
awgxT12Y8H0J85ZUiHufZza9GMkdVrIwjqq2kf3-8p20RGO4kBs94prPTXTuoeJ_OKFo0Q==,Kota Semarang,Prov. Jawa Tengah,-,Akbid Karsa Mulia,Tutup,Akademi Kebidanan Karsa Mulia,Swasta,1,-
YNl44qeG7wjow5sLH6vxGxHHQ07zrg-bFBU4gZLEYZOEUDPpExsb7aqRP0ulR-1SeBQJvQ==,Kota Bandung,Prov. Jawa Barat,B,Universitas Inaba,Aktif,Universitas Indonesia Membangun,Swasta,9,50.000 - 11.150.000
