prodi_code,prodi_name,jenjang,akreditasi_prodi,institution_code
96,PENDIDIKAN FISIKA,S1,B,1690
97,PENDIDIKAN BISNIS,S1,A,3283
98,SISTEM INFORMASI,D-III,B,2121
99,AGROTEKNOLOGI,S1,B,8
100,PENDIDIKAN EKONOMI,S1,B,3016
101,MANAJEMEN INFORMATIKA,D-III,A,441
102,PERENCANAAN PEMBANGUNAN WILAYAH DAN PENGELOLAAN LINGKUNGAN,S2,A,1590
103,FISIKA,S2,B,287
104,MANAJEMEN,S3,UNGGUL,3186
105,PSIKOLOGI PROFESI,S2,A,2665
106,MANAJEMEN INFORMATIKA,D-III,BAIK,678
107,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,S2,B,1102
108,HUKUM KELUARGA ISLAM,S2,B,494
109,PENDIDIKAN ISLAM ANAK USIA DINI,S1,B,1529
110,TEKNIK SIPIL,D-III,B,3283
111,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,S1,B,2455
112,AGROTEKNOLOGI,S1,B,3598
113,ILMU KOMUNIKASI,S1,B,2620
114,ADMINISTRASI PENDIDIKAN,S2,A,3294
115,AGRIBISNIS,S1,B,2314
116,NAUTIKA,D-III,B,2159
117,TEKNOLOGI INDUSTRI PERTANIAN,S1,A,585
118,PERPUSTAKAAN,D-III,B,647
119,PENDIDIKAN GURU PENDIDIKAN ANAK  USIA DINI,S1,B,3866
120,ILMU EKONOMI,S3,A,2049
121,PENDIDIKAN BAHASA INGGRIS,S1,B,290
122,EKONOMI PEMBANGUNAN,S1,B,743
123,ILMU HUKUM,S1,B,2983
124,DESAIN INTERIOR,S1,BAIK,424
125,AKUNTANSI,S1,BAIK,2023
126,AGRIBISNIS,S1,BAIK,3860
127,PENDIDIKAN ISLAM ANAK USIA DINI,S1,BAIK,3564
128,SISTEM INFORMASI,S1,B,3247
129,PENDIDIKAN ILMU PENGETAHUAN ALAM,S1,B,2227
130,MANAJEMEN PEMASARAN,D-III,B,67
131,MUSIK GEREJA,S2,B,3838
132,PEMBANGUNAN WILAYAH DAN PEDESAAN,S2,A,2049
133,PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,S1,B,1102
134,AKUNTANSI,S1,B,3233
135,HUKUM KELUARGA,S1,B,1943
136,ILMU KESEJAHTERAAN SOSIAL,S1,A,287
137,ADMINISTRASI PERKANTORAN,D-III,A,2665
138,PENDIDIKAN FISIKA,S1,B,1286
