id_sp,kab_kota_pt,provinsi_pt,akreditasi,nama_singkat,status_pt,nama_pt,jenis_pt,jumlah_prodi,range_biaya_kuliah
_uEkwz1P0gSiVWzVjV34wR0-yxkpQAw6buog-C3XbzkTz3_TokoINWsT0DswRL3w5Ja9Rg==,Kota Pangkalpinang,Prov. Bangka Belitung,Baik,ICI,Aktif,Institut Citra Internasional,Swasta,6,2.400.000 - 17.950.000
8jRCIvahJ2o5_v1AlmwP1k14l_HdRLNnk14qW03wMzzSXbPebjq2M0WOOLDyXcQK_ZgYKg==,Kota Surakarta,Prov. Jawa Tengah,,ABA Pignatelli,Alih Bentuk,Akademi Bahasa Asing St Pignatelli,Swasta,1,
KtWqF7DoDPOQ4HrnLMNp0qbMQQVASkL5fzuKxv-IzeuzmOBqElVp9eohxRbmCt0MLdAP_Q==,Kota Banda Aceh,Prov. Aceh,Baik,STTIT,Aktif,Sekolah Tinggi Teknik Iskandar Thani,Swasta,3,2.400.000 - 30.000.000
MRr2_NtIyFaLKAvbEekBUoiZvlTlPwvDRC1c-ud4E3vGx5C_JV0IgUvz-P0Njcy-u4kZAA==,Kota Medan,Prov. Sumatera Utara,,,Alih Bentuk,Akademi Kebidanan Imelda,Swasta,1,
fyjiHdpQHmYtw_bxpEyxOxQuDJbNDsfebTa7CKOkVNIHenp6cp2S-ow_rFvnH2TxvRPrHA==,Kota Jayapura,Prov. Papua,B,Uningrat Papua,Aktif,Universitas Doktor Husni Ingratubun Papua,Swasta,9,3.000.000 - 3.000.000
mmJb4Gfh0cnQkYF45JKIx-lZA5Eq6WOSVIj05RQS7g15TnfkY3GidlifjGYiGG5JhxAWbg==,Kab. Mandailing Natal,Prov. Sumatera Utara,,AKADEMI KEBIDANAN NA,Alih Bentuk,Akademi Kebidanan Namira Madina Panyabungan,Swasta,1,
pfUPWLHM5icWsW4M00fs4dL6wH_iGD2jIs_vcdl4g7dVczMmwv-Bb5YaWy9PdGVmI75lbg==,Kab. Bantul,Prov. D.I. Yogyakarta,,Stikes Alma Ata Yogy,Alih Bentuk,Sekolah Tinggi Ilmu Kesehatan Alma Ata Yogyakarta,Swasta,4,
gZfXNG0XZHKXa6EroNCQ_VW7U_Z-UIw50tlzhdCsCSDFEZWezN9L4cVrk9TgW7SOyoeRBw==,Kota tangerang Selatan,Prov. Banten,Baik Sekali,UNPAM,Aktif,Universitas Pamulang,Swasta,42,2.400.000 - 4.900.000
CpiSc8kkopM8EV5kWBU-7B2iY_IW3JUwX62Cqa17fc8wWf-tUgp6Lc6j5_XM_wtpxu-CBA==,Kota Palembang,Prov. Sumatera Selatan,,,Alih Bentuk,Akd Teknik Radiodiag. Dan Radioterapi Widya Dharma,Swasta,1,
QFkmlkPic0kk_eqChF6VX8-WjpVI9TKa4fka5S20xSjG8h5-JfbieJ7zCG-Q1s8eH-bvog==,Kab. Sorong Selatan,Prov. Papua Barat,Baik,UNSAR,Aktif,Universitas Werisar,Swasta,5,2.600.000 - 2.600.000
z-rQ-xdZ1AGgCGPee9qVO51i4_Mq0EYfxQ4A6PhKZsNfAMOZSz8ggc2KBIAUcYh9bqUD0A==,Kota Semarang,Prov. Jawa Tengah,,Akbid Karsa Mulia,Tutup,Akademi Kebidanan Karsa Mulia,Swasta,1,
