institution_code,institution_name,akreditasi_institusi,wilayah
146,UNIVERSITAS LINTAS INTERNASIONAL INDONESIA,BAIK SEKALI,WILAYAH 04
147,SEKOLAH TINGGI ILMU KESEHATAN NANI HASANUDDIN,B,WILAYAH 09
148,UNIVERSITAS METAMEDIA,B,WILAYAH 10
149,UNIVERSITAS ABDURACHMAN SALEH SITUBONDO,B,WILAYAH 07
150,INSTITUT AGAMA ISLAM NAHDLATUL ULAMA BANGIL,BAIK,WILAYAH PTAS
151,STIT MUHAMMADIYAH ACEH BARAT DAYA,BAIK,WILAYAH PTAS
152,INSTITUT AGAMA ISLAM K.H. SUFYAN TSAURI MAJENANG,BAIK,WILAYAH PTAS
154,UNIVERSITAS JEMBER,UNGGUL,WILAYAH PTN
156,SEKOLAH TINGGI ILMU EKONOMI BENTARA PERSADA BATAM,BAIK,WILAYAH 17
157,POLITEKNIK ARUTALA JOHANA HENDARTO,BAIK,WILAYAH 03
158,SEKOLAH TINGGI AGAMA ISLAM AL-RUZHAN,BAIK,WILAYAH PTAS
159,UNIVERSITAS MUHAMMADIYAH PALEMBANG,UNGGUL,WILAYAH 02
160,SEKOLAH TINGGI ILMU DAKWAH DAN KOMUNIKASI AL-HAMIDY PAMEKASAN,BAIK,WILAYAH PTAS
161,UNIVERSITAS ISLAM AL-AZIZIYAH INDONESIA,BAIK SEKALI,WILAYAH PTAS
162,SEKOLAH TINGGI AGAMA ISLAM AL-HIDAYAT,BAIK,WILAYAH PTAS
163,INSTITUT NAHDLATUL ULAMA CIAMIS,BAIK,WILAYAH PTAS
164,INSTITUT AGAMA ISLAM YPBWI,BAIK,WILAYAH PTAS
165,INSTITUT MEDIA DIGITAL EMTEK,BAIK,WILAYAH 03
166,SEKOLAH TINGGI ILMU KESEHATAN MEDISTRA INDONESIA,UNGGUL,WILAYAH 03
167,SEKOLAH TINGGI AGAMA ISLAM NURUL ISLAM MOJOKERTO,BAIK,WILAYAH PTAS
168,UNIVERSITAS MOHAMMAD NATSIR BUKITTINGGI,BAIK SEKALI,WILAYAH 10
169,UNIVERSITAS CENDEKIA ABDITAMA,BAIK,WILAYAH 04
171,INSTITUT BISNIS DAN KEUANGAN NITRO,B,WILAYAH 09
172,INSTITUT AGAMA ISLAM ROKAN,BAIK,WILAYAH PTAS
173,SEKOLAH TINGGI TEOLOGI SANGKAKALA,BAIK,WILAYAH PTAS
174,INSTITUT KESEHATAN MITRA BUNDA,B,WILAYAH 17
176,UNIVERSITAS ISLAM KEBANGSAAN INDONESIA,BAIK,WILAYAH 13
177,UNIVERSITAS BHAYANGKARA SURABAYA,B,WILAYAH 07
178,UNIVERSITAS DIRGANTARA MARSEKAL SURYADARMA,B,WILAYAH 03
179,UNIVERSITAS ISLAM DARUL `ULUM,BAIK,WILAYAH 07
180,UNIVERSITAS INDONESIA MEMBANGUN,B,WILAYAH 04
181,UNIVERSITAS MUHAMMADIYAH BARRU,B,WILAYAH 09
183,UNIVERSITAS FAMIKA,BAIK,WILAYAH 09
184,UNIVERSITAS KEPANJEN,B,WILAYAH 07
186,INSTITUT SAINS DAN TEKNOLOGI NASIONAL,B,WILAYAH 03
188,STAI NATUNA,BAIK,WILAYAH PTAS
189,UNIVERSITAS KHAIRUN,B,WILAYAH PTN
190,UNIVERSITAS ISLAM SYARIFUDDIN LUMAJANG,BAIK SEKALI,WILAYAH PTAS
191,UNIVERSITAS BHAKTI HUSADA INDONESIA,B,WILAYAH 04
192,INSTITUT TEKNOLOGI DAN BISNIS PGRI DEWANTARA JOMBANG,BAIK SEKALI,WILAYAH 07
194,SEKOLAH TINGGI ILMU KESEHATAN MUHAMMADIYAH ACEH,BAIK SEKALI,WILAYAH 13
195,INSTITUT TEKNOLOGI DAN BISNIS MUHAMMADIYAH PURBALINGGA,BAIK,WILAYAH 06
197,UNIVERSITAS MUHAMMADIYAH ASAHAN,BAIK,WILAYAH 01
198,UNIVERSITAS BHAKTI PERTIWI INDONESIA,BAIK,WILAYAH 03
199,UNIVERSITAS AN NASHER,BAIK,WILAYAH 04
