institution_code,institution_name,akreditasi_institusi,wilayah
882,AKADEMI FARMASI SANTO FRANSISKUS XAVERIUS,BAIK,WILAYAH 15
883,UNIVERSITAS NAGOYA INDONESIA,BAIK,WILAYAH 17
884,SEKOLAH TINGGI TEOLOGI SILOAM MEDAN,BAIK,WILAYAH PTAS
885,INSTITUT DHARMA BHARATA GRUP,BAIK,WILAYAH 09
886,UNIVERSITAS NASIONAL PASIM,BAIK,WILAYAH 04
888,UNIVERSITAS SULAWESI RAYA,BAIK,WILAYAH 09
890,SEKOLAH TINGGI ILMU SYARIAH AL-SYAIKH ABDUL WAHID BAU-BAU,BAIK,WILAYAH PTAS
891,UNIVERSITAS ROYAL,B,WILAYAH 01
892,INSTITUT AGAMA ISLAM AT-TAQWA BONDOWOSO,BAIK,WILAYAH PTAS
893,SEKOLAH TINGGI KEGURUAN DAN ILMU PENDIDIKAN AN-NUR NANGGROE ACEH DARUSSALAM,BAIK,WILAYAH 13
894,POLITEKNIK BISNIS DIGITAL INDONESIA,BAIK,WILAYAH 04
895,STISIP BINA PUTERA BANJAR,BAIK,WILAYAH 04
896,AKADEMI SEKRETARI DAN MANAJEMEN INSULINDO,BAIK,WILAYAH 04
897,STT GEREJA KRISTEN SUMBA,BAIK,WILAYAH PTAS
898,SEKOLAH TINGGI AGAMA ISLAM SADRA,C,WILAYAH PTAS
899,UNIVERSITAS PENDIDIKAN NASIONAL,UNGGUL,WILAYAH 08
900,UNIVERSITAS MUHAMMADIYAH SURABAYA,UNGGUL,WILAYAH 07
901,POLITEKNIK AKAMIGAS PALEMBANG,BAIK SEKALI,WILAYAH 02
903,SEKOLAH TINGGI ILMU EKONOMI EL HAKIM,BAIK,WILAYAH 10
904,SEKOLAH TINGGI ILMU HUKUM MUHAMMADIYAH TAKENGON,BAIK SEKALI,WILAYAH 13
905,STKIP ISLAM SABILAL MUHTADIN BANJARMASIN,BAIK,WILAYAH 11
906,SEKOLAH TINGGI KEGURUAN DAN ILMU PENDIDIKAN PERSADA EVAV TUAL,BAIK,WILAYAH 12
907,SEKOLAH TINGGI ILMU EKONOMI JAMBATAN BULAN,BAIK,WILAYAH 14
908,"STAI AL-HAUDL KETAPANG, KALIMANTAN BARAT",BAIK,WILAYAH PTAS
909,SEKOLAH TINGGI KEGURUAN DAN ILMU PENDIDIKAN TANJUNGPURA,BAIK,WILAYAH 11
910,UNIVERSITAS MUHAMMADIYAH BOGOR RAYA,BAIK SEKALI,WILAYAH 04
911,UNIVERSITAS WIDYA HUSADA SEMARANG,B,WILAYAH 06
912,INSTITUT TEKNOLOGI DAN BISNIS TRENGGALEK,BAIK,WILAYAH 07
913,SEKOLAH TINGGI TEOLOGI MAMASA,BAIK,WILAYAH PTAS
914,INSTITUT KH. AHMAD SANUSI SUKABUMI,BAIK,WILAYAH PTAS
915,STT OIKUMENE INJILI SIDIKALANG,BAIK,WILAYAH PTAS
916,SEKOLAH TINGGI TEOLOGI TABERNAKEL LAWANG,BAIK,WILAYAH PTAS
918,STT GEREJA INJILI DI INDONESIA,BAIK,WILAYAH PTAS
920,STT PERMATA BANGSA BARITO,BAIK,WILAYAH PTAS
922,SEKOLAH TINGGI ILMU TARBIYAH ISPINI,BAIK,WILAYAH PTAS
923,STP DON BOSCO TOMOHON,BAIK,WILAYAH PTAS
924,SEKOLAH TINGGI TEOLOGI PONTIANAK,BAIK,WILAYAH PTAS
925,"STIT AS-SALAMA TUAL MALUKU TENGGARA, MALUKU",BAIK,WILAYAH PTAS
926,SEKOLAH TINGGI KEGURUAN DAN ILMU PENDIDIKAN KRISTEN SORONG SELATAN,BAIK,WILAYAH 14
927,SEKOLAH TINGGI TEOLOGI WILLIAM CAREY MEDAN,BAIK,WILAYAH PTAS
928,SEKOLAH TINGGI TARBIYAH OTTO ISKANDAR DINATA BANTEN,BAIK,WILAYAH PTAS
930,SEKOLAH TINGGI ILMU KESEHATAN BAKTI UTAMA PATI,BAIK SEKALI,WILAYAH 06
931,UNIVERSITAS KALTARA,BAIK SEKALI,WILAYAH 11
932,UNIVERSITAS OSO,BAIK,WILAYAH 11
933,AKADEMI KEBIDANAN BANDUNG,BAIK,WILAYAH 04
934,SEKOLAH TINGGI ILMU HUKUM AL-BANNA,BAIK,WILAYAH 13
935,INSTITUT AGAMA KRISTEN NEGERI PALANGKA RAYA,BAIK SEKALI,WILAYAH PTAN
936,UNIVERSITAS BOROBUDUR,UNGGUL,WILAYAH 03
937,UNIVERSITAS WAHID HASYIM,UNGGUL,WILAYAH 06
938,UNIVERSITAS ISLAM NEGERI SULTAN AJI MUHAMMAD IDRIS SAMARINDA,UNGGUL,WILAYAH PTAN
939,UNIVERSITAS ISLAM NEGERI ANTASARI BANJARMASIN,UNGGUL,WILAYAH PTAN
940,SEKOLAH TINGGI TEOLOGI WILLFINGGER KAMPUNG BARU,BAIK,WILAYAH PTAS
941,AKADEMI SAGES,BAIK,WILAYAH 07
942,SEKOLAH TINGGI TEOLOGI SUNERGEO BANTEN,BAIK,WILAYAH PTAS
943,STKIP PANCAKARYA,BAIK,WILAYAH 04
944,AKADEMI KEBIDANAN MURUNG RAYA,BAIK,WILAYAH 11
945,SEKOLAH TINGGI TEOLOGI DAN ENTREPRENEURSHIP PRINGGADING,BAIK,WILAYAH PTAS
946,INSTITUT COKROAMINOTO PINRANG,BAIK,WILAYAH 09
948,INSTITUT TEKNOLOGI DAN BISNIS MUHAMMADIYAH KOLAKA,BAIK,WILAYAH 09
949,STMIK INDRAGIRI,BAIK,WILAYAH 17
950,UNIVERSITAS BUDI LUHUR,UNGGUL,WILAYAH 03
951,UNIVERSITAS ISLAM NEGERI MAHMUD YUNUS BATUSANGKAR,UNGGUL,WILAYAH PTAN
952,UNIVERSITAS SWISS GERMAN,BAIK SEKALI,WILAYAH 04
953,UNIVERSITAS ISLAM NEGERI SALATIGA,UNGGUL,WILAYAH PTAN
954,UNIVERSITAS ESA UNGGUL,UNGGUL,WILAYAH 03
955,IAIN KENDARI,BAIK SEKALI,WILAYAH PTAN
956,POLITEKNIK PERKAPALAN NEGERI SURABAYA,UNGGUL,WILAYAH PTN
957,UNIVERSITAS WIJAYA PUTRA,BAIK SEKALI,WILAYAH 07
958,SEKOLAH TINGGI ILMU EKONOMI PASUNDAN,BAIK SEKALI,WILAYAH 04
959,SEKOLAH TINGGI ILMU ADMINISTRASI AAN,BAIK SEKALI,WILAYAH 05
960,INSTITUT AGAMA ISLAM SYARIFUDDIN WONOREJO LUMAJANG,BAIK SEKALI,WILAYAH PTAS
961,SEKOLAH TINGGI KEGURUAN DAN ILMU PENDIDIKAN ROSALIA LAMPUNG,BAIK,WILAYAH 02
962,UNIVERSITAS DUMOGA KOTAMOBAGU,BAIK,WILAYAH 16
963,UNIVERSITAS NUSA NIPA,BAIK SEKALI,WILAYAH 15
964,UNIVERSITAS KARYA PERSADA MUNA,BAIK,WILAYAH 09
965,UNIVERSITAS SATU NUSA LAMPUNG,BAIK,WILAYAH 02
966,INSTITUT AGAMA ISLAM NEGERI SORONG,BAIK SEKALI,WILAYAH PTAN
967,UNIVERSITAS LELEMUKU SAUMLAKI,BAIK,WILAYAH 12
968,POLITEKNIK NEGERI SAMARINDA,BAIK SEKALI,WILAYAH PTN
969,STITEK DHARMA YADI MAKASSAR,BAIK,WILAYAH 09
970,INSTITUT KESEHATAN DAN TEKNOLOGI GRAHA MEDIKA,BAIK,WILAYAH 16
971,UNIVERSITAS SEHATI INDONESIA,BAIK,WILAYAH 04
972,STISIP SAMUDERA INDONESIA SELATAN,BAIK,WILAYAH 04
973,UNIVERSITAS MUHAMMADIYAH MADIUN,BAIK SEKALI,WILAYAH 07
974,SEKOLAH TINGGI TEKNOLOGI TEXMACO,BAIK,WILAYAH 04
975,INSTITUT TEKNOLOGI DAN SAINS NAHDLATUL ULAMA LAMPUNG,BAIK,WILAYAH 02
976,SEKOLAH TINGGI ILMU ADMINISTRASI PEMBANGUNAN,BAIK SEKALI,WILAYAH 07
977,SEKOLAH TINGGI ILMU EKONOMI GENTIARAS,BAIK SEKALI,WILAYAH 02
978,POLITEKNIK KATOLIK MANGUNWIJAYA,BAIK SEKALI,WILAYAH 06
979,UNIVERSITAS HKBP NOMMENSEN,BAIK SEKALI,WILAYAH 01
980,SEKOLAH TINGGI ILMU USHULUDDIN WADI MUBARAK BOGOR JAWA BARAT,BAIK,WILAYAH PTAS
981,UNIVERSITAS CARITAS INDONESIA,BAIK,WILAYAH 14
982,INSTITUT PESANTREN BABAKAN CIREBON,BAIK,WILAYAH PTAS
984,UNIVERSITAS AL-HIKMAH INDONESIA,BAIK,WILAYAH PTAS
986,SEKOLAH TINGGI ILMU TARBIYAH ASSUNNIYAH TAMBARANGAN RANTAU TAPIN,BAIK,WILAYAH PTAS
988,SEKOLAH TINGGI TEOLOGI LUTHERAN YOGYA,BAIK,WILAYAH PTAS
989,STAI MA`HAD ALY AL-HIKAM MALANG,BAIK SEKALI,WILAYAH PTAS
990,STIMI BANJARMASIN,BAIK SEKALI,WILAYAH 11
991,SEKOLAH TINGGI ILMU EKONOMI TRISAKTI,UNGGUL,WILAYAH 03
992,UNIVERSITAS ISLAM NEGERI WALISONGO SEMARANG,UNGGUL,WILAYAH PTAN
993,SEKOLAH TINGGI ILMU EKONOMI PGRI DEWANTARA,BAIK SEKALI,WILAYAH 07
994,SEKOLAH TINGGI ILMU HUKUM IBLAM,BAIK SEKALI,WILAYAH 03
995,UNIVERSITAS AMIKOM YOGYAKARTA,BAIK SEKALI,WILAYAH 05
996,SEKOLAH TINGGI ILMU EKONOMI INDONESIA MAKASSAR,BAIK,WILAYAH 09
997,STT ANUGERAH ALIANSE SEMARANG,BAIK,WILAYAH PTAS
998,SEKOLAH TINGGI TEOLOGI WALTER POST JAYAPURA PAPUA,BAIK,WILAYAH PTAS
999,SEKOLAH TINGGI TEOLOGI PRESBYTERIAN BATAM,BAIK,WILAYAH PTAS
1000,SEKOLAH TINGGI THEOLOGIA INJILI INDONESIA PONTIANAK,BAIK,WILAYAH PTAS
1003,AKADEMI MARITIM MALUKU,BAIK,WILAYAH 12
1004,POLITEKNIK PERTANIAN YASANTO,BAIK,WILAYAH 14
1005,POLITEKNIK BINTAN CAKRAWALA,BAIK,WILAYAH 17
1006,SEKOLAH TINGGI AGAMA KRISTEN ABDI WACANA PONTIANAK,BAIK,WILAYAH PTAS
1007,SEKOLAH TINGGI AGAMA ISLAM DAARUT TAUHIID,BAIK,WILAYAH PTAS
1008,SEKOLAH TINGGI ILMU TARBIYAH NAHDLATUL ULAMA SUMBER AGUNG OKU TIMUR,BAIK,WILAYAH PTAS
1009,POLITEKNIK INDONUSA SURAKARTA,BAIK SEKALI,WILAYAH 06
1010,SEKOLAH TINGGI ILMU HUKUM PROFESOR GAYUS LUMBUUN,BAIK SEKALI,WILAYAH 03
1011,SEKOLAH TINGGI ILMU BAHASA ASING BUMI BERINGIN,BAIK,WILAYAH 16
1013,SEKOLAH TINGGI ILMU EKONOMI BULUNGAN TARAKAN,BAIK,WILAYAH 11
1014,AKADEMI KOMUNITAS INDUSTRI PERTAMBANGAN BUKIT ASAM,BAIK,WILAYAH 02
1015,SEKOLAH TINGGI KEGURUAN DAN ILMU PENDIDIKAN SURYA KASIH,BAIK,WILAYAH 15
1016,POLITEKNIK BOMBANA,BAIK,WILAYAH 09
1017,"STIT YPI AL-YAQIN MUARO SIJUNJUNG, SAWAHLUNTO",BAIK,WILAYAH PTAS
1018,POLITEKNIK KESDAM VI BANJARMASIN,BAIK,WILAYAH 11
1019,SEKOLAH TINGGI TEOLOGI PELITA KEBENARAN,BAIK,WILAYAH PTAS
1020,INSTITUT TEKNOLOGI DAN KESEHATAN IKA BINA,BAIK,WILAYAH 01
1021,AKADEMI KEPERAWATAN TEUNGKU FAKINAH BANDA ACEH,BAIK,WILAYAH 13
1022,SEKOLAH TINGGI TEOLOGI JAFFRAY JAKARTA,BAIK,WILAYAH PTAS
1023,UNIVERSITAS RIAU,UNGGUL,WILAYAH PTN
1024,SEKOLAH TINGGI TEOLOGI YERUSALEM BARU MANADO,BAIK,WILAYAH PTAS
1026,UNIVERSITAS ISLAM NEGERI IMAM BONJOL PADANG,UNGGUL,WILAYAH PTAN
1027,UNIVERSITAS PAKUAN,UNGGUL,WILAYAH 04
1028,INSTITUT KESEHATAN HELVETIA PEKANBARU,BAIK,WILAYAH 17
1029,SEKOLAH TINGGI TEOLOGI PARAKLETOS SURABAYA,BAIK,WILAYAH PTAS
1030,STAI YAMISA SOREANG,BAIK,WILAYAH PTAS
1031,SEKOLAH TINGGI ILMU SYARIAH DARUL ULUM LAMPUNG TIMUR,BAIK,WILAYAH PTAS
1032,SEKOLAH TINGGI TEOLOGI PANTEKOSTA BATAM,BAIK,WILAYAH PTAS
1033,SEKOLAH TINGGI EKONOMI ISLAM SEKAYU PALEMBANG,BAIK,WILAYAH PTAS
1034,SEKOLAH TINGGI ILMU EKONOMI SYARIAH SALEH BUDIMAN,BAIK,WILAYAH PTAS
1035,STIS KEBUMEN JAWA TENGAH,BAIK,WILAYAH PTAS
1036,INSTITUT ISLAM AL-MUJADDID SABAK,BAIK,WILAYAH PTAS
1037,SEKOLAH TINGGI AGAMA ISLAM NEGERI MANDAILING NATAL,BAIK SEKALI,WILAYAH PTAN
1038,UNIVERSITAS ISLAM JAKARTA,BAIK SEKALI,WILAYAH 03
1039,UNIVERSITAS WANITA INTERNASIONAL,BAIK SEKALI,WILAYAH 04
1040,AKADEMI KESEHATAN KARTINI BATAM,BAIK,WILAYAH 17
1042,UNIVERSITAS MITRA BANGSA,BAIK SEKALI,WILAYAH 03
1044,UNIVERSITAS MUHAMMADIYAH TEGAL,BAIK,WILAYAH 06
1045,POLITEKNIK GUSDURIAN,BAIK,WILAYAH 06
1046,UNIVERSITAS SANTO BORROMEUS,B,WILAYAH 04
1047,SEKOLAH TINGGI TEOLOGI INJILI MAHKOTA SION SAUMLAKI,BAIK,WILAYAH PTAS
1048,SEKOLAH TINGGI OLAHRAGA DAN KESEHATAN BINA GUNA,BAIK SEKALI,WILAYAH 01
1050,UNIVERSITAS SEPULUH NOPEMBER PAPUA,BAIK,WILAYAH 14
1051,AKADEMI KOMUNITAS NURUL JADID,BAIK,WILAYAH 07
1052,SEKOLAH TINGGI AGAMA ISLAM SENORI TUBAN,BAIK,WILAYAH PTAS
1053,INSTITUT AGAMA ISLAM NEGERI PONOROGO,UNGGUL,WILAYAH PTAN
1054,SEKOLAH TINGGI TEOLOGI EXCELSIUS,BAIK,WILAYAH PTAS
1057,STT RUMAH MURID KRISTUS BITUNG,BAIK,WILAYAH PTAS
1058,POLITEKNIK DAMARA,BAIK,WILAYAH 06
1059,INSTITUT TEKNOLOGI DAN SAINS MANDALA,BAIK SEKALI,WILAYAH 07
1060,SEKOLAH TINGGI AGAMA ISLAM IMAM BUKHORI BULUKUMBA,BAIK,WILAYAH PTAS
1061,UNIVERSITAS ACHMAD YANI BANJARMASIN,B,WILAYAH 11
1063,AKADEMI PENERBANG INDONESIA BANYUWANGI,BAIK SEKALI,WILAYAH PTKL
1064,UNIVERSITAS NAHDLATUL ULAMA INDONESIA,BAIK SEKALI,WILAYAH 03
1065,POLITEKNIK UNGGULAN CIPTA MANDIRI,BAIK,WILAYAH 01
1066,INSTITUT DIGITAL EKONOMI LPKIA,BAIK,WILAYAH 04
1067,SEKOLAH TINGGI ILMU KESEHATAN BOGOR HUSADA,BAIK,WILAYAH 04
1068,INSTITUT BISNIS DAN INFORMATIKA KOSGORO 1957,BAIK SEKALI,WILAYAH 03
1069,SEKOLAH TINGGI ILMU ADMINISTRASI KARYA DHARMA MERAUKE,BAIK,WILAYAH 14
1070,SEKOLAH TINGGI KEGURUAN DAN ILMU PENDIDIKAN MUHAMMADIYAH OKU TIMUR,BAIK,WILAYAH 02
1071,SEKOLAH TINGGI ILMU KESEHATAN MITRA HUSADA MEDAN,UNGGUL,WILAYAH 01
1072,UNIVERSITAS QUALITY BERASTAGI,BAIK,WILAYAH 01
1073,INSTITUT SYEKH ABDUL HALIM HASAN BINJAI,BAIK,WILAYAH PTAS
1074,AKADEMI KOMUNITAS TOYOTA INDONESIA,BAIK SEKALI,WILAYAH 04
1075,SEKOLAH TINGGI ILMU EKONOMI SULAWESI UTARA,BAIK,WILAYAH 16
1076,AKADEMI KEBIDANAN WIJAYA KUSUMA MALANG,BAIK,WILAYAH 12
1077,UNIVERSITAS INTERNASIONAL JAKARTA,BAIK,WILAYAH 04
1078,INSTITUT TEKNOLOGI BISNIS DAN KESEHATAN MUHAMMADIYAH TULUNGAGUNG,BAIK,WILAYAH 07
1079,INSTITUT AGAMA ISLAM SYEKH MAULANA QORI BANGKO,BAIK SEKALI,WILAYAH PTAS
1080,SEKOLAH TINGGI AGAMA ISLAM ALIF LAAM MIIM SURABAYA,BAIK,WILAYAH PTAS
1081,STITNU SAKINAH DHARMASRAYA,BAIK,WILAYAH PTAS
1082,UNIVERSITAS PRASETIYA MULYA,BAIK SEKALI,WILAYAH 03
1083,SEKOLAH TINGGI ILMU KEPERAWATAN FAMIKA,BAIK,WILAYAH 09
1084,SEKOLAH TINGGI ILMU KESEHATAN INDAH MEDAN,BAIK,WILAYAH 01
1085,UNIVERSITAS ICHSAN SIDENRENG RAPPANG,BAIK,WILAYAH 09
1086,UNIVERSITAS MITRA INDONESIA,BAIK SEKALI,WILAYAH 02
1087,INSTITUT BISNIS DAN EKONOMI INDONESIA,BAIK,WILAYAH 11
1088,"STAI RAUDHATUL AKMAL, DELI SERDANG, SUMATERA UTARA",BAIK,WILAYAH PTAS
1089,AKADEMI KEBIDANAN SISMADI,BAIK,WILAYAH 03
1091,POLITEKNIK PELAYARAN SURABAYA,UNGGUL,WILAYAH PTKL
1092,UNIVERSITAS BHAKTI ASIH TANGERANG,BAIK,WILAYAH 04
1093,UNIVERSITAS MERCUBAKTIJAYA,B,WILAYAH 10
1094,UNIVERSITAS PGRI KALIMANTAN,B,WILAYAH 11
1095,INSTITUT AGAMA ISLAM PERSIS BANDUNG,BAIK SEKALI,WILAYAH PTAS
1096,POLITEKNIK PRASETIYA MANDIRI,BAIK,WILAYAH 04
1097,INSTITUT PAHLAWAN 12,BAIK,WILAYAH 02
1098,INSTITUT AGAMA ISLAM PEMALANG,BAIK,WILAYAH PTAS
1099,UNIVERSITAS SYEDZA SAINTIKA,B,WILAYAH 10
1100,UNIVERSITAS ISLAM NEGERI SUMATERA UTARA MEDAN,UNGGUL,WILAYAH PTAN
1101,UNIVERSITAS ISLAM NEGERI SULTAN SYARIF KASIM RIAU,UNGGUL,WILAYAH PTAN
1102,UNIVERSITAS JAMBI,UNGGUL,WILAYAH PTN
1103,SEKOLAH TINGGI FILSAFAT TEOLOGI WIDYA SASANA,B,WILAYAH 07
1104,AMIK TOMAKAKA,BAIK,WILAYAH 09
1105,SEKOLAH TINGGI ILMU ADMINISTRASI TRINITAS,BAIK,WILAYAH 12
1106,SEKOLAH TINGGI ILMU EKONOMI IGI,BAIK,WILAYAH 03
1107,UNIVERSITAS 45 SURABAYA,BAIK,WILAYAH 07
1108,SEKOLAH TINGGI ILMU EKONOMI PUTRA TIMOR,BAIK,WILAYAH 15
1109,SEKOLAH TINGGI TEOLOGI PANTEKOSTA JAKARTA,BAIK,WILAYAH PTAS
1110,SEKOLAH TINGGI TEOLOGI ABDI GUSTI NGANJUK,BAIK,WILAYAH PTAS
1111,STT PRESBYTERIAN INDONESIA,BAIK,WILAYAH PTAS
1112,SEKOLAH TINGGI ILMU TARBIYAH HIDAYATULLAH BATAM KEPULAUAN RIAU,BAIK,WILAYAH PTAS
1113,INSTITUT KEISLAMAN TUAH NEGERI,BAIK,WILAYAH PTAS
1114,SEKOLAH TINGGI ILMU EKONOMI PELITA BUANA,BAIK,WILAYAH 09
1115,SEKOLAH TINGGI ILMU EKONOMI DHARMA AGUNG INDONESIA,BAIK,WILAYAH 04
1117,INSITUT ILMU KESEHATAN NAHDLATUL ULAMA TUBAN,BAIK SEKALI,WILAYAH 07
1119,AKADEMI SEKRETARI DAN MANAJEMEN PERSADA BUNDA,BAIK,WILAYAH 17
1120,INSTITUT DARUL ULUM SAROLANGUN,BAIK,WILAYAH PTAS
1121,STAI MIFTAHUL ULUM TASIKMALAYA,BAIK,WILAYAH PTAS
1122,INSTITUT UMMUL QURO AL-ISLAMI BOGOR JAWA BARAT,BAIK,WILAYAH PTAS
1124,UNIVERSITAS W R SUPRATMAN,BAIK,WILAYAH 07
1125,SEKOLAH TINGGI EKONOMI DAN BISNIS ISLAM AL JABAR BANDUNG JAWA BARAT,BAIK,WILAYAH PTAS
1127,SEKOLAH TINGGI ILMU TARBIYAH AZ ZAHRA TASIKMALAYA,BAIK,WILAYAH PTAS
1128,SEKOLAH TINGGI TEOLOGI EKKLESIA PONTIANAK,BAIK,WILAYAH PTAS
1129,STT HARAPAN INDAH,BAIK,WILAYAH PTAS
1130,UNIVERSITAS CENDEKIA MITRA INDONESIA,BAIK,WILAYAH 05
1131,INSTITUT TEKNOLOGI BACHARUDDIN JUSUF HABIBIE,BAIK,WILAYAH PTN
1132,SEKOLAH TINGGI AGAMA ISLAM AL-UTSMANI BONDOWOSO,BAIK,WILAYAH PTAS
1133,UNIVERSITAS GRAHA NUSANTARA,B,WILAYAH 01
1134,UNIVERSITAS MUHAMMADIYAH CILEUNGSI,BAIK,WILAYAH 04
1135,STKIP SINAR CENDEKIA,BAIK,WILAYAH 04
1136,POLITEKNIK KRAKATAU,BAIK,WILAYAH 04
1137,SEKOLAH TINGGI ILMU HUKUM CENDANA WANGI,BAIK,WILAYAH 15
1138,SEKOLAH TINGGI AGAMA ISLAM KUPANG,BAIK,WILAYAH PTAS
1140,UNIVERSITAS TOMAKAKA,BAIK,WILAYAH 09
1141,POLITEKNIK SIBER DAN SANDI NEGARA,BAIK SEKALI,WILAYAH PTKL
1142,UNIVERSITAS MUHAMMADIYAH MAHAKARYA ACEH,BAIK SEKALI,WILAYAH 13
1143,"SEKOLAH TINGGI TEOLOGI BETHEL THE WAY, JAKARTA",BAIK,WILAYAH PTAS
1144,SEKOLAH TINGGI ILMU KESEHATAN PEMKAB JOMBANG,BAIK SEKALI,WILAYAH 07
1145,STKIP PESISIR SELATAN,BAIK,WILAYAH 10
1146,POLITEKNIK MUARA TEWEH,BAIK,WILAYAH 11
1147,UNIVERSITAS ISLAM NEGERI SUNAN AMPEL,UNGGUL,WILAYAH PTAN
1148,AMIK MASTER LAMPUNG,BAIK,WILAYAH 02
1149,SEKOLAH TINGGI ILMU KESEHATAN MAYAPADA,BAIK,WILAYAH 03
1150,SEKOLAH TINGGI BAHASA ASING MALANG,BAIK,WILAYAH 07
1151,STT INJILI JAKARTA,BAIK,WILAYAH PTAS
1152,UNIVERSITAS ISLAM RIAU,UNGGUL,WILAYAH 17
1153,UNIVERSITAS PEMBANGUNAN PANCA BUDI,UNGGUL,WILAYAH 01
1154,UNIVERSITAS ISLAM NEGERI SJECH M. DJAMIL DJAMBEK BUKITTINGGI,UNGGUL,WILAYAH PTAN
1155,UNIVERSITAS SULTAN AGENG TIRTAYASA,UNGGUL,WILAYAH PTN
1156,SEKOLAH TINGGI ILMU SYARIAH UMMUL AYMAN PIDIE JAYA,BAIK,WILAYAH PTAS
1157,STAI AL-FATAH CILEUNGSI BOGOR,BAIK,WILAYAH PTAS
1158,STT PERIAGO,BAIK,WILAYAH PTAS
1160,SEKOLAH TINGGI ILMU HUKUM SUMPAH PEMUDA,UNGGUL,WILAYAH 02
1161,SEKOLAH TINGGI ILMU KESEHATAN SERULINGMAS,BAIK SEKALI,WILAYAH 06
1162,UNIVERSITAS MUHAMMADIYAH PEKAJANGAN PEKALONGAN,BAIK SEKALI,WILAYAH 06
1163,UNIVERSITAS SARJANAWIYATA TAMANSISWA,BAIK SEKALI,WILAYAH 05
1164,AKADEMI KEBIDANAN MINASA UPA,BAIK,WILAYAH 09
1165,INSTITUT TEKNOLOGI KELING KUMANG,BAIK,WILAYAH 11
1166,UNIVERSITAS 17 AGUSTUS 1945 SAMARINDA,BAIK SEKALI,WILAYAH 11
1167,UNIVERSITAS OKMIN PAPUA,BAIK,WILAYAH 14
1168,STKIP NUSA TIMOR,BAIK,WILAYAH 15
1169,UNIVERSITAS SATYAGAMA,BAIK,WILAYAH 03
1170,SEKOLAH TINGGI TEKNOLOGI IMMANUEL,BAIK,WILAYAH 01
1171,POLITEKNIK PIKSI GANESHA INDONESIA,BAIK SEKALI,WILAYAH 06
1172,AKADEMI KOMUNITAS NEGERI REJANG LEBONG,BAIK,WILAYAH PTN
1173,POLITEKNIK DEWANTARA,BAIK,WILAYAH 09
1174,UNIVERSITAS AL WASHLIYAH DARUSSALAM BANDA ACEH,BAIK,WILAYAH 13
1175,SEKOLAH TINGGI TEOLOGI TABGHA BATAM,BAIK,WILAYAH PTAS
1177,SEKOLAH TINGGI TEOLOGI IMMANUEL SINTANG KAL-BAR,BAIK,WILAYAH PTAS
1178,SEKOLAH TINGGI ILMU KESEHATAN PELITA ILMU DEPOK,BAIK,WILAYAH 04
1179,AKADEMI KEBIDANAN SARI HUSADA,BAIK,WILAYAH 01
1180,POLITEKNIK LENGGURU,BAIK,WILAYAH 14
1181,UNIVERSITAS DOKTOR HUSNI INGRATUBUN PAPUA,B,WILAYAH 14
1182,UNIVERSITAS BANTEN,BAIK,WILAYAH 04
1184,INSTITUT SAINS DAN BISNIS INTERNASIONAL SINGKAWANG,BAIK SEKALI,WILAYAH 11
1185,SEKOLAH TINGGI ILMU KESEHATAN KAMUS ARUNIKA,BAIK,WILAYAH 09
1186,STISIP BUNDA TANAH MELAYU,BAIK,WILAYAH 17
1187,SEKOLAH TINGGI TEOLOGI INJILI DAN KEJURUAN KUPANG,BAIK,WILAYAH PTAS
1188,AKADEMIK KEBIDANAN ARMINA CENTRE PANYABUNGAN,BAIK,WILAYAH 01
1189,POLITEKNIK KARTINI JAKARTA,BAIK,WILAYAH 03
1190,"STIT PAGAR ALAM, SUMATERA SELATAN",BAIK,WILAYAH PTAS
1191,AMIK BUMI NUSANTARA,BAIK,WILAYAH 04
1192,SEKOLAH TINGGI EKONOMI DAN BISNIS ISLAM PAGARALAM,BAIK,WILAYAH PTAS
1193,SEKOLAH TINGGI TEOLOGI PRESBYTERIAN MEDAN,BAIK,WILAYAH PTAS
1194,SEKOLAH TINGGI ILMU TARBIYAH HIDAYATUNNAJAH BEKASI,BAIK,WILAYAH PTAS
1195,SEKOLAH TINGGI EKONOMI DAN BISNIS ISLAM KYAI HAJI AHMAD SYAIRAZI,BAIK,WILAYAH PTAS
1196,UNIVERSITAS TRUNOJOYO,UNGGUL,WILAYAH PTN
1197,AKADEMI KOMUNITAS BPPMNU BANAT,BAIK,WILAYAH 06
1198,POLITEKNIK KESEHATAN BHAKTI MULIA,BAIK,WILAYAH 06
1199,"STAI DDI MANGKOSO, BARRU, SULAWESI SELATAN",BAIK,WILAYAH PTAS
1201,AKADEMI AKUNTANSI BANDUNG,BAIK,WILAYAH 04
1203,STMIK KRISTEN NEUMANN INDONESIA,BAIK,WILAYAH 01
1205,SEKOLAH TINGGI AGAMA KRISTEN LUWUK BANGGAI,BAIK,WILAYAH PTAS
1206,SEKOLAH TINGGI ILMU KESEHATAN ABDI PERSADA BANJARMASIN,BAIK,WILAYAH 11
1207,STAI YPBWI SURABAYA,BAIK,WILAYAH PTAS
1208,UNIVERSITAS ARY GINANJAR,BAIK,WILAYAH 03
1209,STAI AL-MASTHURIYAH SUKABUMI,BAIK,WILAYAH PTAS
1210,SEKOLAH TINGGI TEOLOGI PRESBYTERIAN SHEMA,BAIK,WILAYAH PTAS
1211,POLITEKNIK TRIDAYA VIRTU MOROSI,BAIK,WILAYAH 09
