institution_name,province,campus_accreditation,acc_score,cost_per_year,cluster_lokasi_lvl1,cluster_institusi_lvl2
UNIVERSITAS DHARMA ANDALAS,SUMATERA BARAT,BAIK SEKALI,3.0,8300000.0,,
UNIVERSITAS NAHDLATUL ULAMA SUNAN GIRI,JAWA TIMUR,BAIK SEKALI,3.0,8300000.0,1.0,3.0
SEKOLAH TINGGI ILMU MANAJEMEN YKPN YOGYAKARTA,D.I. YOGYAKARTA,BAIK SEKALI,3.0,8300000.0,,
UNIVERSITAS NAHDLATUL ULAMA NUSA TENGGARA BARAT,NUSA TENGGARA BARAT,BAIK SEKALI,3.0,8200000.0,,
SEKOLAH TINGGI ILMU EKONOMI PERBANKAN INDONESIA,SUMATERA BARAT,BAIK,1.0,8200000.0,,
UNIVERSITAS SURYAKANCANA,JAWA BARAT,B,2.0,8160000.0,,
UNIVERSITAS DWIJENDRA,BALI,B,2.0,11000000.0,,
INSTITUT PENDIDIKAN INDONESIA GARUT,JAWA BARAT,BAIK SEKALI,3.0,8110000.0,,
SEKOLAH TINGGI ILMU KESEHATAN INDAH MEDAN,SUMATERA UTARA,BAIK,1.0,8100000.0,,
SEKOLAH TINGGI ILMU EKONOMI MANAJEMEN BISNIS INDONESIA,JAWA BARAT,BAIK,1.0,8100000.0,,
UNIVERSITAS ISLAM KALIMANTAN MUHAMMAD ARSYAD AL BANJARI BANJARMASIN,KALIMANTAN SELATAN,BAIK SEKALI,3.0,8095000.0,,
UNIVERSITAS BPD,JAWA TENGAH,BAIK SEKALI,3.0,8080000.0,,
UNIVERSITAS BAKTI INDONESIA,JAWA TIMUR,BAIK,1.0,5600000.0,1.0,1.0
SEKOLAH TINGGI ILMU KESEHATAN KESDAM IX/UDAYANA,BALI,BAIK,1.0,13300000.0,,
UNIVERSITAS MUHAMMADIYAH PONTIANAK,KALIMANTAN BARAT,B,2.0,8000000.0,,
UNIVERSITAS BOJONEGORO,JAWA TIMUR,BAIK,1.0,8000000.0,1.0,1.0
SEKOLAH TINGGI ILMU KOMUNIKASI PROFESI INDONESIA,DKI JAKARTA,BAIK,1.0,8000000.0,,
STMIK DCI,JAWA BARAT,BAIK,1.0,8000000.0,,
SEKOLAH TINGGI ILMU EKONOMI INSAN PEMBANGUNAN,JAWA BARAT,BAIK,1.0,8000000.0,,
INSTITUT ILMU SOSIAL DAN BISNIS ANDI SAPADA,SULAWESI SELATAN,B,2.0,8000000.0,,
STMIK PONTIANAK,KALIMANTAN BARAT,BAIK,1.0,8000000.0,,
STIKES BAKTI NUSANTARA GORONTALO,GORONTALO,BAIK,1.0,8000000.0,,
SEKOLAH TINGGI ILMU EKONOMI SULTAN AGUNG,SUMATERA UTARA,BAIK,1.0,8000000.0,,
STIKES MEDIKA NURUL ISLAM,ACEH,BAIK,1.0,8000000.0,,
UNIVERSITAS PUTRA ABADI LANGKAT,SUMATERA UTARA,BAIK,1.0,8000000.0,,
STISIP WIDYAPURI MANDIRI,JAWA BARAT,BAIK,1.0,8000000.0,,
STMIK IM,JAWA BARAT,TIDAK TERAKREDITASI,0.0,8000000.0,,
UNIVERSITAS NAHDLATUL WATHAN MATARAM,NUSA TENGGARA BARAT,BAIK SEKALI,3.0,8000000.0,,
UNIVERSITAS ALMA ATA,D.I. YOGYAKARTA,B,2.0,8000000.0,,
UNIVERSITAS MEGA BUANA PALOPO,SULAWESI SELATAN,BAIK SEKALI,3.0,8000000.0,,
SEKOLAH TINGGI ILMU EKONOMI INDONESIA PONTIANAK,KALIMANTAN BARAT,BAIK,1.0,8000000.0,,
UNIVERSITAS MUHAMMADIYAH MATARAM,NUSA TENGGARA BARAT,B,2.0,8000000.0,,
SEKOLAH TINGGI ILMU KESEHATAN NUSANTARA,NUSA TENGGARA TIMUR,B,2.0,8000000.0,,
STKIP AL HIKMAH SURABAYA,JAWA TIMUR,BAIK,1.0,8000000.0,1.0,1.0
SEKOLAH TINGGI ILMU KESEHATAN ARTA KABANJAHE,SUMATERA UTARA,BAIK,1.0,8000000.0,,
STMIK MULTICOM BOLAAN MONGONDOW,SULAWESI UTARA,BAIK,1.0,8000000.0,,
SEKOLAH TINGGI ILMU KOMPUTER PGRI BANYUWANGI,JAWA TIMUR,BAIK,1.0,8000000.0,1.0,1.0
UNIVERSITAS CARITAS INDONESIA,PAPUA BARAT,BAIK,1.0,8000000.0,,
STIMI BANJARMASIN,KALIMANTAN SELATAN,BAIK SEKALI,3.0,8000000.0,,
STKIP MUTIARA BANTEN,BANTEN,BAIK,1.0,8000000.0,,
SEKOLAH TINGGI KEGURUAN DAN ILMU PENDIDIKAN ROSALIA LAMPUNG,LAMPUNG,BAIK,1.0,8000000.0,,
UNIVERSITAS ICHSAN SIDENRENG RAPPANG,SULAWESI SELATAN,BAIK,1.0,8000000.0,,
SEKOLAH TINGGI ILMU EKONOMI BULUNGAN TARAKAN,KALIMANTAN UTARA,BAIK,1.0,8000000.0,,
SEKOLAH TINGGI ILMU MANAJEMEN SUKMA,SUMATERA UTARA,B,2.0,8000000.0,,
SEKOLAH TINGGI ILMU MANAJEMEN INDONESIA HANDAYANI,BALI,BAIK,1.0,8000000.0,,
STIKIP CATUR SAKTI,D.I. YOGYAKARTA,BAIK,1.0,8000000.0,,
STKIP ARRAHMANIYAH,JAWA BARAT,BAIK,1.0,8000000.0,,
STIKES PAMENANG,JAWA TIMUR,BAIK,1.0,8000000.0,1.0,1.0
SEKOLAH TINGGI ILMU KESEHATAN BARAMULI,SULAWESI SELATAN,BAIK,1.0,8000000.0,,
UNIVERSITAS SEBELAS APRIL,JAWA BARAT,BAIK SEKALI,3.0,8000000.0,,
STIKES BUANA HUSADA PONOROGO,JAWA TIMUR,BAIK,1.0,8000000.0,1.0,1.0
STMIK PRANATA INDONESIA,JAWA BARAT,BAIK,1.0,7994000.0,,
SEKOLAH TINGGI ILMU KESEHATAN NOTOKUSUMO YOGYAKARTA,D.I. YOGYAKARTA,BAIK SEKALI,3.0,7950000.0,,
UNIVERSITAS BATANGHARI JAMBI,JAMBI,BAIK SEKALI,3.0,7900500.0,,
UNIVERSITAS MUHAMMADIYAH MALUKU UTARA,MALUKU UTARA,BAIK SEKALI,3.0,7886750.0,,
STMIK BANJARBARU,KALIMANTAN SELATAN,BAIK,1.0,7875000.0,,
SEKOLAH TINGGI BAHASA ASING CIPTO HADI PRANOTO,JAWA BARAT,BAIK,1.0,7850000.0,,
INSTITUT TEKNOLOGI LOMBOK,NUSA TENGGARA BARAT,BAIK,1.0,7840000.0,,
INSTITUT NASIONAL FLORES,NUSA TENGGARA TIMUR,BAIK,1.0,7830000.0,,
UNIVERSITAS PEMBINAAN MASYARAKAT INDONESIA,SUMATERA UTARA,BAIK,1.0,6560000.0,,
SEKOLAH TINGGI BAHASA ASING IEC JAKARTA,DKI JAKARTA,BAIK,1.0,7800000.0,,
STIKES SATRIA BHAKTI NGANJUK,JAWA TIMUR,BAIK,1.0,7800000.0,1.0,1.0
SEKOLAH TINGGI ILMU EKONOMI TRI DHARMA WIDYA,DKI JAKARTA,BAIK,1.0,7800000.0,,
STIKES DIAN HUSADA,JAWA TIMUR,BAIK,1.0,7800000.0,1.0,1.0
UNIVERSITAS NUSANTARA PGRI KEDIRI,JAWA TIMUR,BAIK SEKALI,3.0,7800000.0,1.0,3.0
SEKOLAH TINGGI KESEHATAN PONDOK PESANTREN ASSANADIYAH PALEMBANG,SUMATERA SELATAN,BAIK,1.0,7800000.0,,
STKIP PGRI BANGKALAN,JAWA TIMUR,BAIK SEKALI,3.0,7800000.0,1.0,3.0
UNIVERSITAS HKBP NOMMENSEN PEMATANGSIANTAR,SUMATERA UTARA,BAIK SEKALI,3.0,7800000.0,,
INSTITUT SAINS TEKNOLOGI DAN KESEHATAN INSAN CENDEKIA HUSADA BOJONEGORO,JAWA TIMUR,BAIK SEKALI,3.0,7800000.0,1.0,3.0
SEKOLAH TINGGI TEKNIK LINGKUNGAN MATARAM,NUSA TENGGARA BARAT,BAIK,1.0,7800000.0,,
SEKOLAH TINGGI ILMU EKONOMI CENDEKIA BOJONEGORO,JAWA TIMUR,BAIK,1.0,7800000.0,1.0,1.0
SEKOLAH TINGGI ILMU EKONOMI NU TRATE,JAWA TIMUR,BAIK,1.0,7775000.0,1.0,1.0
SEKOLAH TINGGI ILMU EKONOMI ARTHA BODHI ISWARA,JAWA TIMUR,BAIK,1.0,7750000.0,1.0,1.0
UNIVERSITAS COKROAMINOTO PALOPO,SULAWESI SELATAN,B,2.0,7750000.0,,
UNIVERSITAS NAHDLATUL ULAMA KALIMANTAN SELATAN,KALIMANTAN SELATAN,BAIK,1.0,7750000.0,,
UNIVERSITAS KATOLIK WIDYA MANDIRA KUPANG,NUSA TENGGARA TIMUR,B,2.0,7725000.0,,
UNIVERSITAS BINA BANGSA,BANTEN,BAIK,1.0,7700077.0,,
INSTITUT SAINS DAN TEKNOLOGI AL-KAMAL,DKI JAKARTA,BAIK,1.0,7700000.0,,
UNIVERSITAS MUHAMMADIYAH BUTON,SULAWESI TENGGARA,BAIK SEKALI,3.0,7700000.0,,
INSTITUT TEKNOLOGI DEL,SUMATERA UTARA,BAIK SEKALI,3.0,7650000.0,,
SEKOLAH TINGGI ILMU HUKUM IBLAM,DKI JAKARTA,BAIK SEKALI,3.0,7625000.0,,
UNIVERSITAS PANDANARAN,JAWA TENGAH,B,2.0,7600000.0,,
STMIK MARDIRA INDONESIA,JAWA BARAT,BAIK,1.0,7600000.0,,
UNIVERSITAS NUSA PUTRA,JAWA BARAT,UNGGUL,5.0,7600000.0,,
UNIVERSITAS KUSUMA HUSADA SURAKARTA,JAWA TENGAH,BAIK,1.0,7550000.0,,
SEKOLAH TINGGI TEKNOLOGI MIGAS,KALIMANTAN TIMUR,B,2.0,7550000.0,,
SEKOLAH TINGGI MANAJEMEN INFORMATIKA DAN KOMPUTER PESAT NABIRE,PAPUA,BAIK,1.0,7550000.0,,
UNIVERSITAS NUSA BANGSA,JAWA BARAT,BAIK,1.0,7550000.0,,
SEKOLAH TINGGI ILMU EKONOMI PEMNAS INDONESIA,JAWA TIMUR,BAIK,1.0,7500000.0,1.0,1.0
UNIVERSITAS DHARMA WACANA,LAMPUNG,B,2.0,7500000.0,,
UNIVERSITAS AL-AZHAR,SUMATERA UTARA,BAIK,1.0,7500000.0,,
UNIVERSITAS TANGERANG RAYA,BANTEN,BAIK,1.0,7500000.0,,
UNIVERSITAS METAMEDIA,SUMATERA BARAT,B,2.0,7500000.0,,
STIKES TANAWALI TAKALAR,SULAWESI SELATAN,BAIK,1.0,7500000.0,,
INSTITUT PRIMA BANGSA,JAWA BARAT,B,2.0,7500000.0,,
UNIVERSITAS FAJAR,SULAWESI SELATAN,B,2.0,7500000.0,,
UNIVERSITAS COKROAMINOTO YOGYAKARTA,D.I. YOGYAKARTA,BAIK SEKALI,3.0,7500000.0,,
UNIVERSITAS LAMAPPAPOLEONRO,SULAWESI SELATAN,B,2.0,7500000.0,,
STIKES YAHYA BIMA,NUSA TENGGARA BARAT,BAIK,1.0,7500000.0,,
UNIVERSITAS ISLAM LAMONGAN,JAWA TIMUR,BAIK SEKALI,3.0,7500000.0,1.0,3.0
INSTITUT TEKNOLOGI DAN BISNIS KRISTEN BUKIT PENGHARAPAN,JAWA TENGAH,BAIK,1.0,7500000.0,,
SEKOLAH TINGGI ILMU ADMINISTRASI MALANG,JAWA TIMUR,BAIK,1.0,7500000.0,1.0,1.0
INSTITUT TEKNOLOGI DAN ILMU SOSIAL KHATULISTIWA,SUMATERA BARAT,B,2.0,7500000.0,,
SEKOLAH TINGGI ILMU EKONOMI MUHAMMADIYAH CILACAP,JAWA TENGAH,BAIK,1.0,7500000.0,,
SEKOLAH TINGGI ILMU HUKUM SOELTHAN M TSJAFIOEDDIN,KALIMANTAN BARAT,BAIK,1.0,7500000.0,,
SEKOLAH TINGGI ILMU KESEHATAN FITRAH ALDAR,SUMATERA SELATAN,BAIK,1.0,7500000.0,,
UNIVERSITAS PERSATUAN ISLAM,JAWA BARAT,BAIK SEKALI,3.0,7500000.0,,
SEKOLAH TINGGI ILMU KESEHATAN SALEWANGANG MAROS,SULAWESI SELATAN,BAIK SEKALI,3.0,7500000.0,,
UNIVERSITAS ABDURACHMAN SALEH SITUBONDO,JAWA TIMUR,B,2.0,7500000.0,1.0,3.0
UNIVERSITAS MUSI RAWAS,SUMATERA SELATAN,BAIK,1.0,7500000.0,,
STIPER SANTO THOMAS AQUINAS JAYAPURA,PAPUA,BAIK,1.0,7460000.0,,
SEKOLAH TINGGI PARIWISATA ARS INTERNASIONAL,JAWA BARAT,BAIK,1.0,7450000.0,,
UNIVERSITAS ANNUQAYAH,JAWA TIMUR,BAIK,1.0,7450000.0,1.0,1.0
UNIVERSITAS BOYOLALI,JAWA TENGAH,B,2.0,7450000.0,,
UNIVERSITAS PRIMA NUSANTARA BUKITTINGGI,SUMATERA BARAT,UNGGUL,5.0,7410000.0,,
UNIVERSITAS QUALITY,SUMATERA UTARA,BAIK,1.0,7400001.0,,
IKIP PGRI PONTIANAK,KALIMANTAN,B,2.0,7400000.0,,
STKIP MUHAMMADIYAH LUMAJANG,JAWA TIMUR,BAIK,1.0,3000000.0,1.0,1.0
UNIVERSITAS TRIATMA MULYA,BALI,BAIK SEKALI,3.0,7400000.0,,
UNIVERSITAS KH. A. WAHAB HASBULLAH,JAWA TIMUR,BAIK SEKALI,3.0,7400000.0,1.0,3.0
STMIK JAYAKARTA,DKI JAKARTA,BAIK,1.0,7400000.0,,
STKIP PGRI SIDOARJO,JAWA TIMUR,B,2.0,7400000.0,1.0,3.0
UNIVERSITAS MUHADI SETIABUDI,JAWA TENGAH,BAIK SEKALI,3.0,7351000.0,,
STISIP MARGARANA,BALI,BAIK,1.0,7350000.0,,
INSTITUT TEKNOLOGI STATISTIKA DAN BISNIS MUHAMMADIYAH SEMARANG,JAWA TENGAH,BAIK SEKALI,3.0,7350000.0,,
UNIVERSITAS MANGKU WIYATA,BANTEN,TIDAK TERAKREDITASI,0.0,7350000.0,,
UNIVERSITAS SUMATERA BARAT,SUMATERA BARAT,B,2.0,7350000.0,,
SEKOLAH TINGGI ILMU BISNIS KUMALA NUSA,D.I. YOGYAKARTA,BAIK,1.0,7340000.0,,
SEKOLAH TINGGI TEKNIK WIWOROTOMO,JAWA TENGAH,BAIK,1.0,7315000.0,,
SEKOLAH TINGGI ILMU EKONOMI KASIH BANGSA,DKI JAKARTA,BAIK,1.0,7300000.0,,
UNIVERSITAS PAMULANG,BANTEN,C,0.0,7300000.0,,
UNIVERSITAS ICHSAN GORONTALO,GORONTALO,B,2.0,7250000.0,,
STIH PUTRI MAHARAJA,SUMATERA BARAT,BAIK,1.0,7250000.0,,
UNIVERSITAS MAHENDRADATTA,BALI,BAIK SEKALI,3.0,7250000.0,,
STIKES MARANATHA KUPANG,NUSA TENGGARA TIMUR,BAIK,1.0,7200000.0,,
UNIVERSITAS YARSI PRATAMA,BANTEN,BAIK,1.0,7200000.0,,
STIKES PIALA SAKTI PARIAMAN,SUMATERA BARAT,BAIK,1.0,7200000.0,,
STMIK LOMBOK,NUSA TENGGARA BARAT,BAIK,1.0,7200000.0,,
INSTITUT SAINS DAN BISNIS INTERNASIONAL SINGKAWANG,KALIMANTAN BARAT,BAIK SEKALI,3.0,7190000.0,,
STMIK TRIGUNA DHARMA,SUMATERA UTARA,B,2.0,7136000.0,,
UNIVERSITAS NURUL HUDA,SUMATERA SELATAN,BAIK,1.0,7120000.0,,
SEKOLAH TINGGI PEMBANGUNAN MASYARAKAT SANTA URSULA,NUSA TENGGARA TIMUR,BAIK,1.0,7100000.0,,
UNIVERSITAS 17 AGUSTUS 1945 BANYUWANGI,JAWA TIMUR,BAIK SEKALI,3.0,7100000.0,1.0,3.0
STKIP VETERAN SIDRAP,SULAWESI SELATAN,BAIK,1.0,7100000.0,,
SEKOLAH TINGGI ILMU EKONOMI DHARMA BUMI PUTRA,DKI JAKARTA,BAIK,1.0,7075000.0,,
UNIVERSITAS TEKNOLOGI DIGITAL,JAWA BARAT,BAIK,1.0,8100000.0,,
UNIVERSITAS PENDIDIKAN MANDALIKA,NUSA TENGGARA BARAT,BAIK SEKALI,3.0,7050000.0,,
INSTITUT TEKNOLOGI DAN BISNIS ASIA MALANG,JAWA TIMUR,BAIK,1.0,7600000.0,1.0,1.0
SEKOLAH TINGGI ILMU HUKUM JENDERAL SUDIRMAN,JAWA TIMUR,BAIK SEKALI,3.0,7000000.0,1.0,3.0
INSTITUT TEKNOLOGI AL-MUHAJIRIN,JAWA BARAT,BAIK,1.0,7000000.0,,
SEKOLAH TINGGI ILMU HUKUM MANOKWARI,PAPUA BARAT,BAIK SEKALI,3.0,7000000.0,,
STIKES SAKINAH HUSADA TANJUNG BALAI,SUMATERA UTARA,BAIK,1.0,7000000.0,,
STKIP MUHAMMADIYAH ACEH BARAT DAYA,ACEH,BAIK,1.0,7000000.0,,
UNIVERSITAS HARAPAN MEDAN,SUMATERA UTARA,BAIK,1.0,7000000.0,,
SEKOLAH TINGGI ILMU KESEHATAN DARMO,SUMATERA UTARA,BAIK,1.0,7000000.0,,
UNIVERSITAS WASKITA DHARMA,JAWA TIMUR,BAIK,1.0,7000000.0,1.0,1.0
SEKOLAH TINGGI ILMU EKONOMI MUARA TEWEH,KALIMANTAN TENGAH,BAIK,1.0,7000000.0,,
SEKOLAH TINGGI ILMU HUKUM PROFESOR GAYUS LUMBUUN,DKI JAKARTA,BAIK SEKALI,3.0,7000000.0,,
UNIVERSITAS TRIDINANTI,SUMATERA SELATAN,B,2.0,7000000.0,,
UNIVERSITAS BILLFATH,JAWA TIMUR,BAIK,1.0,7000000.0,1.0,1.0
UNIVERSITAS ABDURACHMAN SALEH,JAWA TIMUR,B,2.0,7000000.0,1.0,3.0
UNIVERSITAS PERJUANGAN TASIKMALAYA,JAWA BARAT,BAIK,1.0,7000000.0,,
UNIVERSITAS MUHAMMADIYAH MAMUJU,SULAWESI BARAT,BAIK,1.0,7000000.0,,
STIKES NAULI HUSADA,SUMATERA UTARA,BAIK,1.0,7000000.0,,
UNIVERSITAS ISLAM MAKASSAR,SULAWESI SELATAN,B,2.0,7000000.0,,
SEKOLAH TINGGI ILMU EKONOMI SATYA DHARMA,BALI,BAIK,1.0,7000000.0,,
SEKOLAH TINGGI ILMU KESEHATAN SEHAT MEDAN,SUMATERA UTARA,BAIK,1.0,7000000.0,,
INSTITUT PENDIDIKAN DAN BAHASA INVADA,JAWA BARAT,B,2.0,7000000.0,,
SEKOLAH TINGGI ILMU HUKUM MIMIKA,PAPUA,BAIK,1.0,7000000.0,,
INSTITUT TEKNOLOGI KESEHATAN DAN SAINS WIYATA HUSADA SAMARINDA,KALIMANTAN TIMUR,BAIK SEKALI,3.0,7000000.0,,
SEKOLAH TINGGI ILMU EKONOMI PARIWISATA,SULAWESI UTARA,BAIK,1.0,7000000.0,,
SEKOLAH TINGGI ILMU KESEHATAN AR-RUM,JAWA TENGAH,BAIK,1.0,7000000.0,,
SEKOLAH TINGGI ILMU KOMUNIKASI PEMBANGUNAN,SUMATERA UTARA,BAIK,1.0,7000000.0,,
UNIVERSITAS PGRI MPU SINDOK,JAWA TIMUR,BAIK,1.0,7000000.0,1.0,1.0
UNIVERSITAS LANGLANG BUANA,JAWA BARAT,BAIK SEKALI,3.0,7000000.0,,
SEKOLAH TINGGI ILMU KESEHATAN COLUMBIA ASIA,SUMATERA UTARA,BAIK,1.0,6973500.0,,
SEKOLAH TINGGI ILMU ADMINISTRASI TABALONG,KALIMANTAN SELATAN,BAIK,1.0,6962500.0,,
UNIVERSITAS CENDEKIA MITRA INDONESIA,D.I. YOGYAKARTA,BAIK,1.0,6950000.0,,
UNIVERSITAS WIDYA GAMA MAHAKAM SAMARINDA,KALIMANTAN TIMUR,BAIK SEKALI,3.0,6950000.0,,
UNIVERSITAS PUTRA INDONESIA YPTK PADANG,SUMATERA BARAT,B,2.0,6950000.0,,
UNIVERSITAS MUHAMMADIYAH MADIUN,JAWA TIMUR,BAIK SEKALI,3.0,6950000.0,1.0,3.0
UNIVERSITAS KAHURIPAN KEDIRI,JAWA TIMUR,BAIK,1.0,6950000.0,1.0,1.0
SEKOLAH TINGGI ILMU KESEHATAN AN NUR HUSADA LAMPUNG UTARA,LAMPUNG,BAIK,1.0,6900000.0,,
SEKOLAH TINGGI ILMU KESEHATAN GRIYA HUSADA SURABAYA,JAWA TIMUR,BAIK,1.0,6900000.0,1.0,1.0
UNIVERSITAS MUHAMMADIYAH BOGOR RAYA,JAWA BARAT,BAIK SEKALI,3.0,6900000.0,,
UNIVERSITAS DHARMA AUB SURAKARTA,JAWA TENGAH,BAIK SEKALI,3.0,6900000.0,,
UNIVERSITAS NGURAH RAI,BALI,BAIK SEKALI,3.0,6900000.0,,
SEKOLAH TINGGI ILMU KESEHATAN MUHAMMADIYAH WONOSOBO,JAWA TENGAH,BAIK SEKALI,3.0,6900000.0,,
UNIVERSITAS MURNI TEGUH,SUMATERA UTARA,BAIK SEKALI,3.0,6890000.0,,
STMIK PELITA NUSANTARA,SUMATERA UTARA,BAIK SEKALI,3.0,6875000.0,,
STKIP BUDIDAYA,SUMATERA UTARA,BAIK,1.0,6860000.0,,
UNIVERSITAS NAHDLATUL ULAMA SURAKARTA,JAWA TENGAH,BAIK SEKALI,3.0,6820000.0,,
INSTITUT BUDI UTOMO NASIONAL,JAWA BARAT,BAIK,1.0,6810000.0,,
INSTITUT TEKNOLOGI DAN BISNIS PGRI DEWANTARA JOMBANG,JAWA TIMUR,BAIK SEKALI,3.0,6800000.0,1.0,3.0
SEKOLAH TINGGI ILMU EKONOMI KARYA,NUSA TENGGARA TIMUR,BAIK,1.0,6800000.0,,
UNIVERSITAS PRABUMULIH,SUMATERA SELATAN,BAIK,1.0,6800000.0,,
UNIVERSITAS MUHAMMADIYAH KENDAL BATANG,JAWA TENGAH,BAIK,1.0,6795000.0,,
UNIVERSITAS MIKROSKIL,SUMATERA UTARA,B,2.0,12500000.0,,
SEKOLAH TINGGI ILMU KESEHATAN MAHARANI,JAWA TIMUR,B,2.0,6750000.0,1.0,3.0
SEKOLAH TINGGI ILMU KOMUNIKASI,JAWA TIMUR,BAIK,1.0,6750000.0,1.0,1.0
SEKOLAH TINGGI ILMU EKONOMI RAGAM TUNAS,LAMPUNG,BAIK,1.0,6750000.0,,
SEKOLAH TINGGI ILMU KESEHATAN MITRA ADIGUNA,SUMATERA SELATAN,BAIK,1.0,6750000.0,,
SEKOLAH TINGGI ILMU HUKUM HABARING HURUNG SAMPIT,KALIMANTAN TENGAH,BAIK SEKALI,3.0,6750000.0,,
SEKOLAH TINGGI ILMU EKONOMI BII BEKASI,JAWA BARAT,BAIK,1.0,6710000.0,,
UNIVERSITAS WIRA BHAKTI,SULAWESI SELATAN,BAIK,1.0,6700000.0,,
UNIVERSITAS YPPI REMBANG,JAWA TENGAH,BAIK,1.0,7805000.0,,
SEKOLAH TINGGI ILMU EKONOMI PELITA HARAPAN NABIRE,PAPUA,BAIK,1.0,6640000.0,,
UNIVERSITAS NAHDLATUL ULAMA AL GHAZALI CILACAP,JAWA TENGAH,BAIK SEKALI,3.0,6630000.0,,
STIKES BUSTANUL ULUM LANGSA,ACEH,BAIK,1.0,6600000.0,,
UNIVERSITAS MAYJEN SUNGKONO,JAWA TIMUR,BAIK SEKALI,3.0,6600000.0,1.0,3.0
SEKOLAH TINGGI KEGURUAN DAN ILMU PENDIDIKAN MELAWI,KALIMANTAN BARAT,BAIK,1.0,6600000.0,,
UNIVERSITAS MUHAMMADIYAH BENGKULU,BENGKULU,B,2.0,6600000.0,,
UNIVERSITAS NAHDLATUL ULAMA LAMPUNG,LAMPUNG,BAIK,1.0,6600000.0,,
UNIVERSITAS MUHAMMADIYAH MAHAKARYA ACEH,ACEH,BAIK SEKALI,3.0,6600000.0,,
UNIVERSITAS MAYASARI BAKTI,JAWA BARAT,BAIK,1.0,6575000.0,,
UNIVERSITAS SEPULUH NOPEMBER PAPUA,PAPUA,BAIK,1.0,6562500.0,,
UNIVERSITAS PGRI PONTIANAK,KALIMANTAN BARAT,B,2.0,6560000.0,,
SEKOLAH TINGGI PENERBANGAN AVIASI,DKI JAKARTA,BAIK,1.0,6550000.0,,
UNIVERSITAS KRISTEN TEKNOLOGI SOLO,JAWA TENGAH,BAIK,1.0,6535000.0,,
UNIVERSITAS TIGA SERANGKAI,JAWA TENGAH,BAIK,1.0,6520000.0,,
INSTITUT BAKTI NUSANTARA,LAMPUNG,BAIK,1.0,6520000.0,,
UNIVERSITAS ICHSAN SATYA,BANTEN,BAIK,1.0,6515000.0,,
STIE PASIM SUKABUMI,JAWA BARAT,BAIK,1.0,4800000.0,,
UNIVERSITAS TAMANSISWA,SUMATERA BARAT,BAIK SEKALI,3.0,6500001.0,,
INSTITUT TEKNOLOGI DAN KESEHATAN SUMATERA UTARA,SUMATERA UTARA,BAIK,1.0,6500000.0,,
UNIVERSITAS NAHDLATUL ULAMA PURWOKERTO,JAWA TENGAH,BAIK,1.0,6500000.0,,
INSTITUT TEKNOLOGI PAGAR ALAM,SUMATERA SELATAN,BAIK,1.0,6500000.0,,
STMIK WIDYA CIPTA DHARMA,KALIMANTAN TIMUR,B,2.0,6500000.0,,
UNIVERSITAS MUHAMMADIYAH SAMPIT,KALIMANTAN TENGAH,BAIK SEKALI,3.0,6500000.0,,
SEKOLAH TINGGI BAHASA ASING TECHNOCRAT,BANTEN,BAIK,1.0,6500000.0,,
INSTITUT TEKNOLOGI DAN KESEHATAN TRI TUNAS NASIONAL,SULAWESI SELATAN,BAIK,1.0,6500000.0,,
UNIVERSITAS ISLAM MULIA YOGYAKARTA,D.I. YOGYAKARTA,BAIK,1.0,6500000.0,,
SEKOLAH TINGGI ILMU KESEHATAN RS BAPTIS KEDIRI,JAWA TIMUR,B,2.0,6500000.0,1.0,3.0
UNIVERSITAS MERDEKA MADIUN,JAWA TIMUR,B,2.0,6500000.0,1.0,3.0
SEKOLAH TINGGI ILMU EKONOMI KOPERASI MALANG,JAWA TIMUR,BAIK,1.0,6400000.0,1.0,1.0
SEKOLAH TINGGI ILMU KESEHATAN GUNUNG SARI,SULAWESI SELATAN,BAIK,1.0,6400000.0,,
INSTITUT TEKNOLOGI BISNIS DAN KESEHATAN BHAKTI PUTRA BANGSA INDONESIA,JAWA TENGAH,BAIK,1.0,6400000.0,,
UNIVERSITAS OSO,KALIMANTAN BARAT,BAIK,1.0,6400000.0,,
UNIVERSITAS DOKTOR HUSNI INGRATUBUN TUAL,MALUKU,BAIK,1.0,6400000.0,,
STKIP DARUD DA WAH WAL IRSYAD PINRANG,SULAWESI SELATAN,BAIK,1.0,6400000.0,,
UNIVERSITAS NGGUSUWARU,NUSA TENGGARA BARAT,BAIK,1.0,6400000.0,,
SEKOLAH TINGGI ILMU KESEHATAN INTAN MARTAPURA,KALIMANTAN SELATAN,BAIK,1.0,6400000.0,,
SEKOLAH TINGGI ILMU PERIKANAN MALANG,JAWA TIMUR,BAIK,1.0,6400000.0,1.0,1.0
STMIK BORNEO INTERNASIONAL,KALIMANTAN TIMUR,BAIK,1.0,6400000.0,,
UNIVERSITAS MANDIRI BINA PRESTASI,SUMATERA UTARA,BAIK,1.0,6400000.0,,
UNIVERSITAS ISLAM KEBANGSAAN INDONESIA,ACEH,BAIK,1.0,6400000.0,,
SEKOLAH TINGGI ILMU ADMINISTRASI PEMBANGUNAN,JAWA TIMUR,BAIK SEKALI,3.0,6400000.0,1.0,3.0
SEKOLAH TINGGI MANAJEMEN TRANSPORTASI MALAHAYATI,DKI JAKARTA,BAIK,1.0,6400000.0,,
UNIVERSITAS CAHAYA BANGSA,KALIMANTAN SELATAN,BAIK,1.0,6400000.0,,
