institution_name,province,campus_accreditation,acc_score,cost_per_year,cluster_lokasi_lvl1,cluster_institusi_lvl2
STIKES BORNEO CENDEKIA MEDIKA,KALIMANTAN TENGAH,BAIK SEKALI,3.0,16000000.0,,
SEKOLAH TINGGI TEKNOLOGI TERPADU NURUL FIKRI,JAWA BARAT,C,0.0,16000000.0,,
SEKOLAH TINGGI FARMASI MAHAGANESHA,BALI,BAIK,1.0,16000000.0,,
SEKOLAH TINGGI MANAJEMEN ASURANSI TRISAKTI,DKI JAKARTA,BAIK SEKALI,3.0,16000000.0,,
UNIVERSITAS KRISTEN DUTA WACANA,D.I. YOGYAKARTA,A,4.0,16000000.0,,
SEKOLAH TINGGI ILMU KESEHATAN BINALITA SUDAMA,SUMATERA UTARA,BAIK,1.0,16000000.0,,
UNIVERSITAS AHMAD DAHLAN,D.I. YOGYAKARTA,A,4.0,16000000.0,,
SEKOLAH TINGGI ILMU KESEHATAN HOLISTIK,JAWA BARAT,BAIK,1.0,16000000.0,,
SEKOLAH TINGGI ILMU KESEHATAN RS PROF. DR. J.A. LATUMETEN,MALUKU,BAIK,1.0,16000000.0,,
UNIVERSITAS WIDYA NUSANTARA,SULAWESI TENGAH,BAIK SEKALI,3.0,15750000.0,,
UNIVERSITAS MUHAMMADIYAH PALOPO,SULAWESI SELATAN,BAIK SEKALI,3.0,15600000.0,,
UNIVERSITAS BHAMADA SLAWI,JAWA TENGAH,BAIK SEKALI,3.0,15510000.0,,
UNIVERSITAS MUHAMMADIYAH ACEH,ACEH,BAIK SEKALI,3.0,15505000.0,,
STIKES SUAKA INSAN,KALIMANTAN SELATAN,BAIK,1.0,15500000.0,,
UNIVERSITAS KATOLIK SOEGIJAPRANATA,JAWA TENGAH,A,4.0,15500000.0,,
UNIVERSITAS SAHID,DKI JAKARTA,UNGGUL,5.0,15450000.0,,
SEKOLAH TINGGI ILMU KESEHATAN KEPANJEN,JAWA TIMUR,BAIK SEKALI,3.0,15450000.0,1.0,3.0
UNIVERSITAS ISLAM BALITAR,JAWA TIMUR,B,2.0,15375000.0,1.0,3.0
SEKOLAH TINGGI ILMU KESEHATAN PELITA ILMU DEPOK,JAWA BARAT,BAIK,1.0,15300000.0,,
UNIVERSITAS HALMAHERA,MALUKU UTARA,BAIK SEKALI,3.0,15260000.0,,
STIKES MAMBA UL ULUM SURAKARTA,JAWA TENGAH,B,2.0,15250000.0,,
SEKOLAH TINGGI TEKNOLOGI PEKERJAAN UMUM,DKI JAKARTA,BAIK,1.0,15225000.0,,
STIKES BHAKTI MULIA,JAWA TIMUR,BAIK,1.0,15200000.0,1.0,1.0
UNIVERSITAS NAZHATUT THULLAB AL-MUAFA SAMPANG,JAWA TIMUR,BAIK,1.0,15200000.0,1.0,1.0
UNIVERSITAS TEKNOLOGI AKBA MAKASSAR,SULAWESI SELATAN,BAIK,1.0,15190000.0,,
INSTITUT TEKNOLOGI DAN BISNIS SWADHARMA,DKI JAKARTA,BAIK,1.0,15160000.0,,
UNIVERSITAS MARITIM AMNI,JAWA TENGAH,BAIK SEKALI,3.0,15100000.0,,
SEKOLAH TINGGI ILMU KESEHATAN HANG TUAH SURABAYA,JAWA TIMUR,BAIK,1.0,15050000.0,1.0,1.0
STIKES WIRA MEDIKA BALI,BALI,BAIK SEKALI,3.0,15000001.0,,
SEKOLAH TINGGI ILMU KESEHATAN PAMENTAS,DKI JAKARTA,BAIK,1.0,15000000.0,,
SEKOLAH TINGGI BAHASA ASING JIA,JAWA BARAT,BAIK,1.0,15000000.0,,
INSTITUT KESEHATAN INDONESIA,DKI JAKARTA,BAIK,1.0,15000000.0,,
SEKOLAH TINGGI ILMU KESEHATAN CIANJUR,JAWA BARAT,BAIK,1.0,15000000.0,,
SEKOLAH TINGGI ILMU KEPERAWATAN PPNI JAWA BARAT,JAWA BARAT,TERAKREDITASI,0.0,15000000.0,,
UNIVERSITAS ALIFAH PADANG,SUMATERA BARAT,BAIK SEKALI,3.0,15000000.0,,
SEKOLAH TINGGI HUKUM BANDUNG,JAWA BARAT,A,4.0,15000000.0,,
SEKOLAH TINGGI ILMU KESEHATAN KESDAM IV / DIPONEGORO,JAWA TENGAH,BAIK,1.0,15000000.0,,
SEKOLAH TINGGI MANAJEMEN RISIKO DAN ASURANSI,DKI JAKARTA,C,0.0,15000000.0,,
UNIVERSITAS PEMBANGUNAN PANCA BUDI,SUMATERA UTARA,B,2.0,15000000.0,,
UNIVERSITAS ISLAM SYEKH YUSUF,BANTEN,B,2.0,15000000.0,,
UNIVERSITAS PEMBANGUNAN JAYA,BANTEN,BAIK SEKALI,3.0,14960000.0,,
SEKOLAH TINGGI ILMU KESEHATAN HARAPAN IBU JAMBI,JAMBI,BAIK SEKALI,3.0,14950000.0,,
UNIVERSITAS DARWAN ALI,KALIMANTAN TENGAH,BAIK,1.0,14895000.0,,
STIKES RAFLESIA,JAWA BARAT,BAIK,1.0,27870000.0,,
UNIVERSITAS KATOLIK DARMA CENDIKA,JAWA TIMUR,B,2.0,14775000.0,1.0,3.0
SEKOLAH TINGGI ILMU EKONOMI JAMBATAN BULAN,PAPUA,BAIK,1.0,14630000.0,,
INSTITUT TEKNOLOGI ADHI TAMA SURABAYA,JAWA TIMUR,BAIK SEKALI,3.0,14600000.0,1.0,3.0
SEKOLAH TINGGI ILMU EKONOMI PARIWISATA INDONESIA,JAWA TENGAH,B,2.0,14500000.0,,
UNIVERSITAS IMELDA MEDAN,SUMATERA UTARA,BAIK SEKALI,3.0,14500000.0,,
STIKES PANAKKUKANG,SULAWESI SELATAN,BAIK,1.0,14500000.0,,
INSTITUT BISNIS NUSANTARA,DKI JAKARTA,BAIK,1.0,14472500.0,,
UNIVERSITAS PGRI ADI BUANA,JAWA TIMUR,BAIK SEKALI,3.0,14450000.0,1.0,3.0
SEKOLAH TINGGI PARIWISATA AMBARRUKMO YOGYAKARTA,D.I. YOGYAKARTA,B,2.0,14450000.0,,
UNIVERSITAS SARJANAWIYATA TAMANSISWA,D.I. YOGYAKARTA,B,2.0,14430003.0,,
SEKOLAH TINGGI ILMU KESEHATAN SAMBAS,KALIMANTAN BARAT,BAIK,1.0,14400000.0,,
SEKOLAH TINGGI ILMU KESEHATAN NANI HASANUDDIN,SULAWESI SELATAN,B,2.0,14375000.0,,
UNIVERSITAS PGRI MAHADEWA INDONESIA,BALI,B,2.0,14350000.0,,
SEKOLAH TINGGI ILMU KESEHATAN MAYAPADA,DKI JAKARTA,BAIK,1.0,14300000.0,,
SEKOLAH TINGGI MEDIA KOMUNIKASI TRISAKTI,DKI JAKARTA,BAIK,1.0,14300000.0,,
STIKES KUSUMA BANGSA,NUSA TENGGARA BARAT,BAIK,1.0,14300000.0,,
UNIVERSITAS TRIBHUWANA TUNGGA DEWI,JAWA TIMUR,C,0.0,14250000.0,1.0,1.0
IKIP PGRI BOJONEGORO,JAWA TIMUR,BAIK,1.0,14180000.0,1.0,1.0
SEKOLAH TINGGI PERPAJAKAN INDONESIA,DKI JAKARTA,B,2.0,14150000.0,,
UNIVERSITAS NAROTAMA,JAWA TIMUR,B,2.0,14100000.0,1.0,3.0
UNIVERSITAS ADVENT SURYA NUSANTARA,SUMATERA UTARA,BAIK,1.0,14100000.0,,
STIKES DARUL AZHAR BATULICIN,KALIMANTAN SELATAN,BAIK,1.0,14000000.0,,
INSTITUT MODERN ARSITEKTUR DAN TEKNOLOGI,SUMATERA UTARA,BAIK,1.0,14000000.0,,
STIKES FAATHIR HUSADA,BANTEN,BAIK,1.0,14000000.0,,
UNIVERSITAS INTERNASIONAL SEMEN INDONESIA,JAWA TIMUR,BAIK SEKALI,3.0,14000000.0,1.0,3.0
SEKOLAH TINGGI ILMU KESEHATAN KELUARGA BUNDA JAMBI,JAMBI,BAIK,1.0,14000000.0,,
INSTITUT TEKNOLOGI DAN BISNIS AHMAD DAHLAN,DKI JAKARTA,B,2.0,14000000.0,,
SEKOLAH TINGGI ILMU EKONOMI YKPN,D.I. YOGYAKARTA,UNGGUL,5.0,14000000.0,,
SEKOLAH TINGGI ILMU KESEHATAN SAMARINDA,KALIMANTAN TIMUR,BAIK,1.0,14000000.0,,
SEKOLAH TINGGI PARIWISATA SAHID SURAKARTA,JAWA TENGAH,B,2.0,14000000.0,,
INSTITUT TEKNOLOGI INDONESIA,BANTEN,BAIK SEKALI,3.0,14000000.0,,
INSTITUT TEKNOLOGI DAN BISNIS BINA SARANA GLOBAL,BANTEN,B,2.0,14000000.0,,
INSTITUT TEKNOLOGI PADANG,SUMATERA BARAT,B,2.0,14000000.0,,
SEKOLAH TINGGI ILMU KESEHATAN SAPTA BAKTI,BENGKULU,BAIK,1.0,14000000.0,,
UNIVERSITAS KARYA HUSADA SEMARANG,JAWA TENGAH,BAIK,1.0,14000000.0,,
SEKOLAH TINGGI ILMU KESEHATAN NASIONAL,JAWA TENGAH,BAIK,1.0,13970000.0,,
INSTITUT TEKNOLOGI DAN BISNIS STIKOM BALI,BALI,B,2.0,13900000.0,,
STKIP TAMAN SISWA BIMA,NUSA TENGGARA BARAT,BAIK,1.0,13900000.0,,
SEKOLAH TINGGI ILMU KESEHATAN ISFI BANJARMASIN,KALIMANTAN SELATAN,BAIK,1.0,13850000.0,,
UNIVERSITAS TEKNOLOGI MUHAMMADIYAH JAKARTA,DKI JAKARTA,BAIK SEKALI,3.0,13805000.0,,
INSTITUT KEGURUAN DAN ILMU PENDIDIKAN SILIWANGI,JAWA BARAT,BAIK SEKALI,3.0,13800000.0,,
UNIVERSITAS WISNUWARDHANA,JAWA TIMUR,B,2.0,13800000.0,1.0,3.0
UNIVERSITAS KEPANJEN,JAWA TIMUR,B,2.0,13800000.0,1.0,3.0
SEKOLAH TINGGI ILMU EKONOMI DAHANI DAHANAI BUNTOK,KALIMANTAN TENGAH,BAIK,1.0,13750000.0,,
SEKOLAH TINGGI ILMU KESEHATAN INDONESIA,SUMATERA BARAT,BAIK,1.0,13700000.0,,
INSTITUT SHANTI BHUANA,KALIMANTAN BARAT,BAIK SEKALI,3.0,13625000.0,,
INSTITUT DIGITAL EKONOMI LPKIA,JAWA BARAT,BAIK,1.0,13600000.0,,
UNIVERSITAS KRISTEN IMMANUEL,D.I. YOGYAKARTA,B,2.0,13575923.0,,
