cluster,cluster_name,institution_name,institution_code,body_type,link,province,campus_accreditation,banpt_code,rank,institution_code,student_amount,lecturer_amount,average_semester_fee,starting_semester_fee,ending_semester_fee,average_yearly_fee,starting_yearly_fee,ending_yearly_fee
1,Perguruan Tinggi Murah di Kota Besar,UNIVERSITAS PANCASILA,46,SWASTA,https://campus.quipper.com/directory/universitas-pancasila,D.K.I. JAKARTA,A,banpt-2125,127,46,13380.0,405.0,68340000.0,12000000.0,135680000.0,136680000.0,24000000.0,271360000.0
4,Perguruan Tinggi Premium & Prestisius,UNIVERSITAS HINDU INDONESIA,47,SWASTA,-,BALI,B,banpt-3122,309,47,-1.0,-1.0,4700000.0,4050000.0,5350000.0,142175000.0,22350000.0,262000000.0
1,Perguruan Tinggi Murah di Kota Besar,UNIVERSITAS PERTAMINA,48,SWASTA,https://rencanamu.id/cari-kampus/universitas-pertamina,D.K.I. JAKARTA,BAIK,banpt-3823,84,48,1198.0,1198.0,63000000.0,11750000.0,125000000.0,126000000.0,23500000.0,250000000.0
1,Perguruan Tinggi Murah di Kota Besar,UNIVERSITAS ISLAM AL-AZHAR,49,SWASTA,-,NUSA TENGGARA BARAT,BAIK SEKALI,banpt-551,,49,-1.0,-1.0,57550000.0,500000.0,114600000.0,115100000.0,1000000.0,229200000.0
1,Perguruan Tinggi Murah di Kota Besar,UNIVERSITAS 17 AGUSTUS 1945 JAKARTA,50,SWASTA,https://rencanamu.id/cari-kampus/universitas-17-agustus-1945-jakarta,D.K.I. JAKARTA,BAIK SEKALI,banpt-3990,,50,1914.0,1914.0,57490000.0,2500000.0,114730000.0,114980000.0,5000000.0,229460000.0
4,Perguruan Tinggi Premium & Prestisius,UNIVERSITAS BINA NUSANTARA,51,SWASTA,https://campus.quipper.com/directory/binus-university,D.K.I. JAKARTA,UNGGUL,banpt-3224,6,51,45000.0,1600.0,47629750.0,20000000.0,95259500.0,95259501.0,40000000.0,190519000.0
4,Perguruan Tinggi Premium & Prestisius,UNIVERSITAS ISLAM BANDUNG,52,SWASTA,https://rencanamu.id/cari-kampus/universitas-islam-bandung,JAWA BARAT,UNGGUL,banpt-3121,70,52,10167.0,10167.0,46625000.0,6075000.0,92750000.0,93250000.0,12150000.0,185500000.0
4,Perguruan Tinggi Premium & Prestisius,SEKOLAH TINGGI ILMU KESEHATAN BUDI KEMULIAAN,53,SWASTA,-,D.K.I. JAKARTA,BAIK,banpt-4004,,53,-1.0,-1.0,42925000.0,850000.0,85000000.0,85850000.0,1700000.0,170000000.0
4,Perguruan Tinggi Premium & Prestisius,UNIVERSITAS AL-IRSYAD CILACAP,54,SWASTA,-,JAWA TENGAH,BAIK,banpt-2617,,54,-1.0,-1.0,42625000.0,1250000.0,84000000.0,85250000.0,2500000.0,168000000.0
4,Perguruan Tinggi Premium & Prestisius,INSTITUT TEKNOLOGI KESEHATAN CENDEKIA UTAMA KUDUS,55,SWASTA,-,JAWA TENGAH,BAIK SEKALI,banpt-27,,55,-1.0,-1.0,7475000.0,6000000.0,8950000.0,89700000.0,72000000.0,107400000.0
4,Perguruan Tinggi Premium & Prestisius,UNIVERSITAS PRESIDEN,56,SWASTA,https://campus.quipper.com/directory/president-university,JAWA BARAT,UNGGUL,banpt-815,122,56,7135.0,217.0,39850250.0,32000000.0,79700000.0,79700500.0,64000000.0,159400000.0
4,Perguruan Tinggi Premium & Prestisius,UNIVERSITAS KALBIS,57,SWASTA,-,D.K.I. JAKARTA,BAIK SEKALI,banpt-1557,,57,-1.0,-1.0,39430000.0,1860000.0,77000000.0,78860000.0,3720000.0,154000000.0
4,Perguruan Tinggi Premium & Prestisius,UNIVERSITAS MUHAMMADIYAH PROF DR HAMKA,58,SWASTA,https://campus.quipper.com/directory/universitas-muhammadiyah-prof-dr-hamka,D.K.I. JAKARTA,UNGGUL,banpt-3222,,58,21566.0,656.0,37900000.0,1200000.0,75000000.0,75800000.0,2400000.0,150000000.0
4,Perguruan Tinggi Premium & Prestisius,UNIVERSITAS 17 AGUSTUS 1945 CIREBON,59,SWASTA,https://campus.quipper.com/directory/universitas-17-agustus-1945-cirebon,JAWA BARAT,BAIK SEKALI,banpt-21,554,59,1651.0,95.0,37750000.0,3500000.0,75000000.0,75500000.0,7000000.0,150000000.0
4,Perguruan Tinggi Premium & Prestisius,UNIVERSITAS MUHAMMADIYAH SURAKARTA,60,SWASTA,https://rencanamu.id/cari-kampus/universitas-muhammadiyah-surakarta,JAWA TENGAH,A,banpt-3341,36,60,22758.0,22758.0,36050000.0,36050000.0,288400000.0,72100000.0,72100000.0,288400000.0
4,Perguruan Tinggi Premium & Prestisius,UNIVERSITAS KADIRI,61,SWASTA,https://campus.quipper.com/directory/universitas-kadiri,JAWA TIMUR,BAIK SEKALI,banpt-3653,241,61,5906.0,278.0,35625000.0,3350000.0,71090000.0,71250000.0,6700000.0,142180000.0
4,Perguruan Tinggi Premium & Prestisius,STIKES PASAPUA AMBON,62,SWASTA,-,MALUKU,BAIK,banpt-2612,,62,-1.0,-1.0,35350002.0,700000.0,70000004.0,70700004.0,1400000.0,140000008.0
4,Perguruan Tinggi Premium & Prestisius,UNIVERSITAS MUHAMMADIYAH TANGERANG,63,SWASTA,https://rencanamu.id/cari-kampus/universitas-muhammadiyah-tangerang,BANTEN,B,banpt-441,184,63,11757.0,11757.0,34125000.0,3450000.0,67750000.0,68250000.0,6900000.0,135500000.0
4,Perguruan Tinggi Premium & Prestisius,UNIVERSITAS ISLAM NUSANTARA,64,SWASTA,https://rencanamu.id/cari-kampus/universitas-islam-nusantara,JAWA BARAT,BAIK SEKALI,banpt-1725,178,64,3793.0,3793.0,33520000.0,2700000.0,67000000.0,67040000.0,5400000.0,134000000.0
4,Perguruan Tinggi Premium & Prestisius,UNIVERSITAS KATOLIK PARAHYANGAN,65,SWASTA,https://campus.quipper.com/directory/universitas-katolik-parahyangan,JAWA BARAT,A,banpt-2736,82,65,10532.0,428.0,33200000.0,12700000.0,53700000.0,66400000.0,25400000.0,107400000.0
4,Perguruan Tinggi Premium & Prestisius,UNIVERSITAS KEBANGSAAN REPUBLIK INDONESIA,66,SWASTA,-,JAWA BARAT,BAIK SEKALI,banpt-716,,66,-1.0,-1.0,33100001.0,4200000.0,62000003.0,66200003.0,8400000.0,124000006.0
4,Perguruan Tinggi Premium & Prestisius,INSTITUT IPMI,67,SWASTA,-,D.K.I. JAKARTA,BAIK SEKALI,banpt-708,,67,-1.0,-1.0,32500000.0,2500000.0,62500000.0,65000000.0,5000000.0,125000000.0
4,Perguruan Tinggi Premium & Prestisius,INSTITUT KESEHATAN MEDISTRA LUBUK PAKAM,68,SWASTA,-,SUMATERA UTARA,UNGGUL,banpt-627,,68,-1.0,-1.0,31000000.0,2000000.0,60000000.0,62000000.0,4000000.0,120000000.0
4,Perguruan Tinggi Premium & Prestisius,UNIVERSITAS PELITA HARAPAN,69,SWASTA,https://rencanamu.id/cari-kampus/universitas-pelita-harapan,BANTEN,B,banpt-2069,50,69,9854.0,9854.0,30500000.0,30500000.0,244000000.0,61000000.0,61000000.0,244000000.0
4,Perguruan Tinggi Premium & Prestisius,UNIVERSITAS LINTAS INTERNASIONAL INDONESIA,70,SWASTA,-,BANTEN,BAIK SEKALI,banpt-223,483,70,-1.0,-1.0,30500000.0,18000000.0,43000000.0,61000000.0,36000000.0,86000000.0
4,Perguruan Tinggi Premium & Prestisius,UNIVERSITAS TARUMANAGARA,71,SWASTA,https://rencanamu.id/cari-kampus/universitas-tarumanagara,D.K.I. JAKARTA,A,banpt-3128,71,71,12556.0,12556.0,30050000.0,10300000.0,82400000.0,60100000.0,20600000.0,119000000.0
4,Perguruan Tinggi Premium & Prestisius,UNIVERSITAS CIPUTRA SURABAYA,72,SWASTA,https://campus.quipper.com/directory/universitas-ciputra-surabaya,JAWA TIMUR,UNGGUL,banpt-2476,,72,5187.0,222.0,29500000.0,18000000.0,41000000.0,59000000.0,36000000.0,82000000.0
4,Perguruan Tinggi Premium & Prestisius,UNIVERSITAS SWISS GERMAN,73,SWASTA,https://rencanamu.id/cari-kampus/universitas-swiss-german,BANTEN,BAIK SEKALI,banpt-1017,257,73,868.0,868.0,29500000.0,29500000.0,236000000.0,59000000.0,59000000.0,236000000.0
4,Perguruan Tinggi Premium & Prestisius,INSTITUT BISNIS DAN KEUANGAN NITRO,74,SWASTA,-,SULAWESI SELATAN,B,banpt-248,,74,-1.0,-1.0,28950000.0,1900000.0,56000000.0,57900000.0,3800000.0,112000000.0
4,Perguruan Tinggi Premium & Prestisius,UNIVERSITAS KOPERASI INDONESIA,75,SWASTA,-,JAWA BARAT,BAIK SEKALI,banpt-751,,75,-1.0,-1.0,28525000.0,1800000.0,55250000.0,57050000.0,3600000.0,110500000.0
4,Perguruan Tinggi Premium & Prestisius,UNIVERSITAS KRISTEN KRIDA WACANA,76,SWASTA,https://campus.quipper.com/directory/universitas-kristen-krida-wacana,D.K.I. JAKARTA,C,banpt-1706,228,76,3000.0,300.0,28000000.0,28000000.0,28000000.0,56000000.0,56000000.0,56000000.0
4,Perguruan Tinggi Premium & Prestisius,INSTITUT SAINS DAN TEKNOLOGI NASIONAL,77,SWASTA,https://campus.quipper.com/directory/institut-sains-dan-teknologi-nasional,D.K.I. JAKARTA,B,banpt-263,,77,2994.0,120.0,27750000.0,5500000.0,50000000.0,55500000.0,11000000.0,100000000.0
4,Perguruan Tinggi Premium & Prestisius,UNIVERSITAS INDO GLOBAL MANDIRI,78,SWASTA,-,SUMATERA SELATAN,TERAKREDITASI,banpt-43,292,78,-1.0,-1.0,27500000.0,27500000.0,27500000.0,55000000.0,55000000.0,55000000.0
4,Perguruan Tinggi Premium & Prestisius,UNIVERSITAS LOGISTIK DAN BISNIS INTERNASIONAL,79,SWASTA,-,JAWA BARAT,B,banpt-1926,,79,-1.0,-1.0,26950000.0,500000.0,53400000.0,53900000.0,1000000.0,106800000.0
4,Perguruan Tinggi Premium & Prestisius,UNIVERSITAS 17 AGUSTUS 1945 SURABAYA,80,SWASTA,https://rencanamu.id/cari-kampus/universitas-17-agustus-1945-surabaya,JAWA TIMUR,A,banpt-2075,139,80,10443.0,10443.0,26575000.0,3750000.0,52250000.0,53150000.0,7500000.0,104500000.0
4,Perguruan Tinggi Premium & Prestisius,UNIVERSITAS KRISTEN MARANATHA,81,SWASTA,https://rencanamu.id/cari-kampus/universitas-kristen-maranatha,JAWA BARAT,B,banpt-1859,109,81,6005.0,6005.0,26176250.0,3900000.0,52252500.0,52352500.0,7800000.0,104505000.0
4,Perguruan Tinggi Premium & Prestisius,INSTITUT BIO SCIENTIA INTERNASIONAL INDONESIA,82,SWASTA,-,D.K.I. JAKARTA,BAIK SEKALI,banpt-28,,82,-1.0,-1.0,25750000.0,2500000.0,49000000.0,51500000.0,5000000.0,98000000.0
4,Perguruan Tinggi Premium & Prestisius,UNIVERSITAS PRASETIYA MULYA,83,SWASTA,https://campus.quipper.com/directory/universitas-prasetiya-mulya,D.K.I. JAKARTA,BAIK SEKALI,banpt-1146,136,83,4704.0,185.0,25500000.0,22000000.0,92000000.0,51000000.0,44000000.0,100000000.0
4,Perguruan Tinggi Premium & Prestisius,SEKOLAH TINGGI ILMU KESEHATAN BORNEO NUSANTARA,84,SWASTA,-,KALIMANTAN SELATAN,BAIK,banpt-1442,,84,-1.0,-1.0,25250000.0,500000.0,50000000.0,50500000.0,1000000.0,100000000.0
4,Perguruan Tinggi Premium & Prestisius,STMIK BANDUNG,85,SWASTA,-,JAWA BARAT,BAIK,banpt-2232,,85,-1.0,-1.0,25125000.0,250000.0,50000000.0,50250000.0,500000.0,100000000.0
4,Perguruan Tinggi Premium & Prestisius,SAE INDONESIA,86,SWASTA,https://campus.quipper.com/directory/sae-indonesia,DKI JAKARTA,B,-,,86,200.0,30.0,25000000.0,25000000.0,25000000.0,50000000.0,50000000.0,50000000.0
4,Perguruan Tinggi Premium & Prestisius,UNIVERSITAS METHODIST INDONESIA,87,SWASTA,https://campus.quipper.com/directory/universitas-methodist-indonesia,SUMATERA UTARA,B,banpt-2372,458,87,4687.0,167.0,25000000.0,25000000.0,30000000.0,50000000.0,50000000.0,60000000.0
4,Perguruan Tinggi Premium & Prestisius,INSTITUT TRANSPORTASI  DAN LOGISTIK TRISAKTI,88,SWASTA,-,D.K.I. JAKARTA,BAIK SEKALI,banpt-3536,,88,-1.0,-1.0,24337515.0,9075030.0,39600000.0,48675030.0,18150060.0,79200000.0
4,Perguruan Tinggi Premium & Prestisius,STIKES HUTAMA ABDI HUSADA TULUNGAGUNG,89,SWASTA,-,JAWA TIMUR,BAIK SEKALI,banpt-730,,89,-1.0,-1.0,24250000.0,3500000.0,45000000.0,48500000.0,7000000.0,90000000.0
4,Perguruan Tinggi Premium & Prestisius,UNIVERSITAS PGRI DELTA,90,SWASTA,-,JAWA TIMUR,BAIK SEKALI,banpt-334,,90,-1.0,-1.0,24240000.0,480000.0,48000000.0,48480000.0,960000.0,96000000.0
4,Perguruan Tinggi Premium & Prestisius,SEKOLAH TINGGI TEKNOLOGI RONGGOLAWE,91,SWASTA,-,JAWA TENGAH,BAIK,banpt-1909,,91,-1.0,-1.0,24180000.0,1360000.0,47000000.0,48360000.0,2720000.0,94000000.0
4,Perguruan Tinggi Premium & Prestisius,INSTITUT TEKNOLOGI NASIONAL BANDUNG,92,SWASTA,-,JAWA BARAT,UNGGUL,banpt-3161,,92,-1.0,-1.0,24167500.0,250000.0,48085000.0,48335000.0,500000.0,96170000.0
4,Perguruan Tinggi Premium & Prestisius,UNIVERSITAS MUHAMMADIYAH METRO,93,SWASTA,https://campus.quipper.com/directory/universitas-muhammadiyah-metro,LAMPUNG,BAIK SEKALI,banpt-3538,181,93,4461.0,196.0,24057500.0,5000000.0,48115000.0,48115001.0,10000000.0,96230000.0
4,Perguruan Tinggi Premium & Prestisius,SEKOLAH TINGGI FARMASI INDONESIA,94,SWASTA,-,JAWA BARAT,B,banpt-3120,,94,-1.0,-1.0,27000000.0,6000000.0,48000000.0,84000000.0,72000000.0,96000000.0
4,Perguruan Tinggi Premium & Prestisius,UNIVERSITAS NAHDLATUL ULAMA SURABAYA,95,SWASTA,https://campus.quipper.com/directory/universitas-nahdlatul-ulama-surabaya,JAWA TIMUR,UNGGUL,banpt-2188,128,95,6078.0,237.0,23738000.0,5000000.0,46504000.0,47476000.0,10000000.0,93008000.0
4,Perguruan Tinggi Premium & Prestisius,UNIVERSITAS MUHAMMADIYAH JEMBER,96,SWASTA,https://rencanamu.id/cari-kampus/universitas-muhammadiyah-jember,JAWA TIMUR,B,banpt-369,129,96,5299.0,5299.0,23430100.0,4905000.0,46860000.0,46860200.0,9810000.0,93720000.0
