institution_name,province,prodi_normalized,campus_accreditation,average_yearly_fee,cluster_label,link
UNIVERSITAS MUHAMMADIYAH YOGYAKARTA,DI YOGYAKARTA,AGRIBISNIS,A,27000000.0,DI YOGYAKARTA | Ekonomi & Bisnis | Mahal (20-50jt) | Unggul / A,https://campus.quipper.com/directory/universitas-muhammadiyah-yogyakarta
UNIVERSITAS MUHAMMADIYAH YOGYAKARTA,DI YOGYAKARTA,KEDOKTERAN,B,27000000.0,DI YOGYAKARTA | Kesehatan | Mahal (20-50jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-muhammadiyah-yogyakarta
UNIVERSITAS MUHAMMADIYAH YOGYAKARTA,DI YOGYAKARTA,KEPERAWATAN,B,27000000.0,DI YOGYAKARTA | Kesehatan | Mahal (20-50jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-muhammadiyah-yogyakarta
SEKOLAH TINGGI ILMU KESEHATAN PANTI RAPIH YOGYAKARTA,DI YOGYAKARTA,GIZI,BAIK SEKALI,19370000.0,DI YOGYAKARTA | Kesehatan | Menengah (10-20jt) | Baik Sekali / B,-
SEKOLAH TINGGI ILMU KESEHATAN PANTI RAPIH YOGYAKARTA,DI YOGYAKARTA,KEPERAWATAN,BAIK SEKALI,19370000.0,DI YOGYAKARTA | Kesehatan | Menengah (10-20jt) | Baik Sekali / B,-
UNIVERSITAS JENDERAL ACHMAD YANI YOGYAKARTA,DI YOGYAKARTA,FARMASI,B,19000000.0,DI YOGYAKARTA | Kesehatan | Menengah (10-20jt) | Baik Sekali / B,-
UNIVERSITAS JENDERAL ACHMAD YANI YOGYAKARTA,DI YOGYAKARTA,KEBIDANAN,BAIK,19000000.0,DI YOGYAKARTA | Kesehatan | Menengah (10-20jt) | Baik Sekali / B,-
UNIVERSITAS JENDERAL ACHMAD YANI YOGYAKARTA,DI YOGYAKARTA,KEPERAWATAN,BAIK SEKALI,19000000.0,DI YOGYAKARTA | Kesehatan | Menengah (10-20jt) | Baik Sekali / B,-
SEKOLAH TINGGI ILMU KESEHATAN BETHESDA YAKKUM,DI YOGYAKARTA,ADMINISTRASI KESEHATAN,BAIK,17995000.0,DI YOGYAKARTA | Kesehatan | Menengah (10-20jt) | Baik Sekali / B,-
SEKOLAH TINGGI ILMU KESEHATAN BETHESDA YAKKUM,DI YOGYAKARTA,FISIOTERAPI,BAIK,17995000.0,DI YOGYAKARTA | Kesehatan | Menengah (10-20jt) | Baik Sekali / B,-
SEKOLAH TINGGI ILMU KESEHATAN BETHESDA YAKKUM,DI YOGYAKARTA,KEPERAWATAN,BAIK SEKALI,17995000.0,DI YOGYAKARTA | Kesehatan | Menengah (10-20jt) | Baik Sekali / B,-
UNIVERSITAS RESPATI YOGYAKARTA,DI YOGYAKARTA,GIZI,B,17800000.0,DI YOGYAKARTA | Kesehatan | Menengah (10-20jt) | Baik Sekali / B,https://rencanamu.id/cari-kampus/universitas-respati-yogyakarta
UNIVERSITAS RESPATI YOGYAKARTA,DI YOGYAKARTA,KEBIDANAN,B,17800000.0,DI YOGYAKARTA | Kesehatan | Menengah (10-20jt) | Baik Sekali / B,https://rencanamu.id/cari-kampus/universitas-respati-yogyakarta
UNIVERSITAS RESPATI YOGYAKARTA,DI YOGYAKARTA,KEPERAWATAN,B,17800000.0,DI YOGYAKARTA | Kesehatan | Menengah (10-20jt) | Baik Sekali / B,https://rencanamu.id/cari-kampus/universitas-respati-yogyakarta
UNIVERSITAS RESPATI YOGYAKARTA,DI YOGYAKARTA,KESEHATAN MASYARAKAT,B,17800000.0,DI YOGYAKARTA | Kesehatan | Menengah (10-20jt) | Baik Sekali / B,https://rencanamu.id/cari-kampus/universitas-respati-yogyakarta
UNIVERSITAS AHMAD DAHLAN,DI YOGYAKARTA,GIZI,BAIK SEKALI,16000000.0,DI YOGYAKARTA | Kesehatan | Menengah (10-20jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-ahmad-dahlan
UNIVERSITAS AHMAD DAHLAN,DI YOGYAKARTA,KEDOKTERAN,BAIK SEKALI,16000000.0,DI YOGYAKARTA | Kesehatan | Menengah (10-20jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-ahmad-dahlan
UNIVERSITAS AHMAD DAHLAN,DI YOGYAKARTA,KESEHATAN MASYARAKAT,B,16000000.0,DI YOGYAKARTA | Kesehatan | Menengah (10-20jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-ahmad-dahlan
UNIVERSITAS KRISTEN DUTA WACANA,DI YOGYAKARTA,KEDOKTERAN,B,16000000.0,DI YOGYAKARTA | Kesehatan | Menengah (10-20jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-kristen-duta-wacana
UNIVERSITAS KRISTEN IMMANUEL,DI YOGYAKARTA,FARMASI,BAIK SEKALI,13575923.0,DI YOGYAKARTA | Kesehatan | Menengah (10-20jt) | Baik Sekali / B,-
UNIVERSITAS TEKNOLOGI YOGYAKARTA,DI YOGYAKARTA,INFORMATIKA MEDIS,BAIK,12200000.0,DI YOGYAKARTA | Kesehatan | Menengah (10-20jt) | Baik Sekali / B,https://rencanamu.id/cari-kampus/universitas-teknologi-yogyakarta
UNIVERSITAS PGRI YOGYAKARTA,DI YOGYAKARTA,BIOMEDIS,BAIK,12100000.0,DI YOGYAKARTA | Kesehatan | Menengah (10-20jt) | Baik Sekali / B,https://rencanamu.id/cari-kampus/universitas-pgri-yogyakarta
UNIVERSITAS PGRI YOGYAKARTA,DI YOGYAKARTA,FARMASI,BAIK,12100000.0,DI YOGYAKARTA | Kesehatan | Menengah (10-20jt) | Baik Sekali / B,https://rencanamu.id/cari-kampus/universitas-pgri-yogyakarta
UNIVERSITAS PGRI YOGYAKARTA,DI YOGYAKARTA,GIZI,BAIK,12100000.0,DI YOGYAKARTA | Kesehatan | Menengah (10-20jt) | Baik Sekali / B,https://rencanamu.id/cari-kampus/universitas-pgri-yogyakarta
UNIVERSITAS NAHDLATUL ULAMA YOGYAKARTA,DI YOGYAKARTA,FARMASI,BAIK SEKALI,12000000.0,DI YOGYAKARTA | Kesehatan | Menengah (10-20jt) | Baik Sekali / B,-
