parent_institution_name,prodi_name,jenjang,wilayah,no_sk,tahun_sk,akreditasi_prodi,tanggal_kadaluarsa
Universitas San Pedro,Statistika,S1,15,075/SK/LAMSAMA/Akred/S/VII/2023,2023,Baik,2028-07-20
"SEKOLAH TINGGI ILMU KESEHATAN SENIOR MEDAN, MEDAN",RADIODIAGNOSTIK DAN RADIOTERAPI,D-III,01,0534/LAM-PTKes/Akr/Dip/VII/2023,2023,BAIK SEKALI,2028-07-27
"UNIVERSITAS HASANUDDIN, MAKASSAR",JANTUNG DAN PEMBULUH DARAH,Spesialis,PTN,0531/LAM-PTKes/Akr/Spe/VII/2023,2023,UNGGUL,2028-07-27
Universitas Islam Negeri Alauddin Makassar,Pendidikan Agama Islam,S1,PTAN,716/SK/LAMDIK/Ak/S/VI/2023,2023,Unggul,2028-07-31
Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Abdi Wacana Wamena,Pendidikan Matematika,S1,14,656/SK/LAMDIK/Ak/S/VIII/2023,2023,Baik,2028-04-03
Sekolah Tinggi Keguruan Dan Ilmu Pendidikan PGRI Bandar Lampung,Bimbingan Dan Konseling,S1,02,597/SK/LAMDIK/Ak/S/VIII/2023,2023,Baik Sekali,2028-06-06
Universitas Pignatelli Triputra,Akuntansi,D-III,06,606/DE/A.5/AR.10/VIII/2023,2023,Baik,2028-03-21
Politeknik Negeri Medan,Akuntansi Keuangan Publik,D-IV,PTN,607/DE/A.5/AR.10/VIII/2023,2023,Unggul,2028-05-22
Sekolah Tinggi Ilmu Ekonomi Satria,Manajemen,S1,06,591/DE/A.5/AR.10/VIII/2023,2023,Baik,2028-08-02
Universitas Cokroaminoto Makassar,Ekonomi Syariah,S1,09,582/DE/A.5/AR.10/VIII/2023,2023,Baik,2028-08-02
Universitas Majalengka,Ekonomi Syariah,S1,04,583/DE/A.5/AR.10/VIII/2023,2023,Baik Sekali,2028-08-02
Universitas Katolik Widya Mandala Surabaya,Manajemen (Kampus Kota Madiun),S1,07,584/DE/A.5/AR.10/VIII/2023,2023,Baik Sekali,2028-08-02
Sekolah Tinggi Ilmu Ekonomi Panca Bhakti Palu,Manajemen,S1,16,585/DE/A.5/AR.10/VIII/2023,2023,Baik Sekali,2028-08-02
STIE IBEK Pangkalpinang Bangka,Manajemen,S1,02,586/DE/A.5/AR.10/VIII/2023,2023,Baik,2028-08-02
Universitas Deli Sumatera,Manajemen,S1,01,587/DE/A.5/AR.10/VIII/2023,2023,Baik,2028-08-02
Universitas Musamus Merauke,Manajemen,S1,PTN,588/DE/A.5/AR.10/VIII/2023,2023,Baik Sekali,2028-08-02
Universitas Perjuangan Tasikmalaya,Manajemen,S1,04,589/DE/A.5/AR.10/VIII/2023,2023,Baik Sekali,2028-08-02
Institut Agama Islam Al Mawaddah Warrahmah Kolaka Sulawesi Tenggara,Perbankan Syariah,S1,PTAS,590/DE/A.5/AR.10/VIII/2023,2023,Baik,2028-08-02
Sekolah Tinggi Ilmu Ekonomi Indonesia Banjarmasin,Akuntansi,S1,11,598/DE/A.5/AR.10/VIII/2023,2023,Baik Sekali,2028-08-02
Sekolah Tinggi Agama Islam Al Ittihad Cianjur Jawa Barat,Ekonomi Syariah,S1,PTAS,592/DE/A.5/AR.10/VIII/2023,2023,Baik,2028-08-02
Universitas Internasional Batam,Manajemen,S1,17,593/DE/A.5/AR.10/VIII/2023,2023,Unggul,2028-08-02
Universitas Islam Al-Ihya Kuningan,Perbankan Syariah,S1,04,594/DE/A.5/AR.10/VIII/2023,2023,Baik,2028-08-02
Universitas Gajayana,Akuntansi,S1,07,596/DE/A.5/AR.10/VIII/2023,2023,Unggul,2028-08-02
Universitas Airlangga,Manajemen Pemasaran,D-III,PTN,579/DE/A.5/AR.10/VIII/2023,2023,Baik Sekali,2028-08-02
Universitas Islam Riau,Akuntansi,S1,17,599/DE/A.5/AR.10/VIII/2023,2023,Baik Sekali,2028-08-02
Universitas Muhammadiyah Prof Dr Hamka,Ekonomi Islam,S1,03,600/DE/A.5/AR.10/VIII/2023,2023,Baik Sekali,2028-08-02
Universitas Al-Azhar Indonesia,Manajemen,S1,03,602/DE/A.5/AR.10/VIII/2023,2023,Baik Sekali,2028-08-02
Universitas Lambung Mangkurat,Akuntansi,S2,PTN,603/DE/A.5/AR.10/VIII/2023,2023,Baik Sekali,2028-08-02
Universitas Islam Negeri Mahmud Yunus Batusangkar,Ekonomi Syariah,S2,PTAN,604/DE/A.5/AR.10/VIII/2023,2023,Baik Sekali,2028-08-02
Universitas Syiah Kuala,Ilmu Manajemen,S3,PTN,605/DE/A.5/AR.10/VIII/2023,2023,Unggul,2028-08-02
Universitas Sultan Ageng Tirtayasa,Manajemen Pemasaran,D-III,PTN,580/DE/A.5/AR.10/VIII/2023,2023,Baik Sekali,2028-08-02
Universitas Katolik Santo Thomas,Akuntansi,S1,01,575/DE/A.5/AR.10/VIII/2023,2023,Baik Sekali,2028-08-02
Universitas Budi Luhur,Manajemen,S2,03,578/DE/A.5/AR.10/VIII/2023,2023,Baik Sekali,2028-08-02
Sekolah Tinggi Ilmu Ekonomi Isti Ekatana Upaweda,Manajemen,S1,05,566/DE/A.5/AR.10/VIII/2023,2023,Baik,2028-08-02
Universitas Cenderawasih,Manajemen,S1,PTN,558/DE/A.5/AR.10/VIII/2023,2023,Baik Sekali,2028-08-02
Universitas Merdeka Malang,Akuntansi,S1,07,559/DE/A.5/AR.10/VIII/2023,2023,Unggul,2028-08-02
Universitas Muhammadiyah Pekajangan Pekalongan,Akuntansi,D-III,06,560/DE/A.5/AR.10/VIII/2023,2023,Baik Sekali,2028-08-02
Universitas Widya Dharma,Manajemen Perpajakan,D-III,06,561/DE/A.5/AR.10/VIII/2023,2023,Baik Sekali,2028-08-02
Sekolah Tinggi Ilmu Ekonomi Muhammadiyah Jakarta,Akuntansi,S1,03,562/DE/A.5/AR.10/VIII/2023,2023,Baik Sekali,2028-08-02
Universitas Muhammadiyah Magelang,Manajemen,S1,06,577/DE/A.5/AR.10/VIII/2023,2023,Baik Sekali,2028-08-02
Sekolah Tinggi Ilmu Ekonomi Bentara Persada Batam,Manajemen,S1,17,565/DE/A.5/AR.10/VIII/2023,2023,Baik,2028-08-02
Universitas Katolik Widya Karya,Akuntansi,S1,07,563/DE/A.5/AR.10/VIII/2023,2023,Baik,2028-08-02
Universitas Pendidikan Nasional,Manajemen,S1,08,567/DE/A.5/AR.10/VIII/2023,2023,Unggul,2028-08-02
Universitas Pattimura,Ekonomi Pembangunan,S1,PTN,568/DE/A.5/AR.10/VIII/2023,2023,Baik Sekali,2028-08-02
Institut Teknologi Dan Bisnis Ahmad Dahlan,Manajemen,S1,03,576/DE/A.5/AR.10/VIII/2023,2023,Baik Sekali,2028-08-02
Universitas Baturaja,Ekonomi Pertanian,S2,02,570/DE/A.5/AR.10/VIII/2023,2023,Baik,2028-08-02
Institut Keuangan-Perbankan Dan Informatika Asia Perbanas,Manajemen,S2,03,571/DE/A.5/AR.10/VIII/2023,2023,Unggul,2028-08-02
Akademi Akuntansi Effendi Harahap,Akuntansi,D-III,06,572/DE/A.5/AR.10/VIII/2023,2023,Baik,2028-08-02
Universitas Pamulang,Akuntansi Perpajakan,S1 Terapan,04,573/DE/A.5/AR.10/VIII/2023,2023,Baik,2028-08-02
Universitas Agung Podomoro,Akuntansi,S1,03,574/DE/A.5/AR.10/VIII/2023,2023,Baik Sekali,2028-08-02
Universitas Kristen Satya Wacana,Akuntansi,S1,06,581/DE/A.5/AR.10/VIII/2023,2023,Unggul,2028-08-15
Universitas Mulawarman,Administrasi Bisnis,S1,PTN,597/DE/A.5/AR.10/VIII/2023,2023,Baik Sekali,2028-08-21
Universitas Trunojoyo,Ekonomi Pembangunan,S1,PTN,569/DE/A.5/AR.10/VIII/2023,2023,Baik Sekali,2028-09-04
STIE Indonesia Banking School,Manajemen Keuangan Dan Perbankan Syariah,S1,03,601/DE/A.5/AR.10/VIII/2023,2023,Unggul,2028-09-18
Universitas Katolik Widya Mandala Surabaya,Biologi (Kampus Kota Madiun),S1,07,062/SK/LAMSAMA/Akred/S/VII/2023,2023,Baik Sekali,2028-07-14
Universitas Muhammadiyah Sampit,Pendidikan Matematika,S1,11,3198/SK/BAN-PT/Ak-PNB/S/VIII/2023,2023,Baik,2027-08-09
Universitas Setia Budhi Rangkasbitung,Pendidikan Sejarah,S1,04,3193/SK/BAN-PT/Ak-PNB/S/VIII/2023,2023,Baik,2026-12-29
Universitas Setia Budhi Rangkasbitung,Pendidikan Bahasa Inggris,S1,04,3194/SK/BAN-PT/Ak-PNB/S/VIII/2023,2023,Baik,2027-07-05
Universitas Setia Budhi Rangkasbitung,Pendidikan Bahasa Dan Sastra Indonesia,S1,04,3195/SK/BAN-PT/Ak-PNB/S/VIII/2023,2023,B,2027-01-11
Institut Teknologi Dan Bisnis Yadika Pasuruan,Akuntansi,S1,07,3196/SK/BAN-PT/Ak-PNB/S/VIII/2023,2023,B,2026-09-03
Institut Pendidikan Soe,Pendidikan Bahasa Inggris,S1,15,805/SK/LAMDIK/Ak-PNB/S/VIII/2023,2023,Baik Sekali,2027-09-12
Universitas Pendidikan Ganesha,Pendidikan Geografi,S1,PTN,592/SK/LAMDIK/Ak/S/VII/2023,2023,Baik Sekali,2028-08-15
Universitas Negeri Padang,Pendidikan Dasar,S2,PTN,662/SK/LAMDIK/Ak/M/VI/2023,2023,Unggul,2028-08-15
Universitas Katolik Widya Mandira Kupang,Pendidikan Biologi,S1,15,514/SK/LAMDIK/Ak/S/V/2023,2023,Baik Sekali,2028-08-15
Institut Agama Islam Negeri Manado,Pendidikan Bahasa Arab,S1,PTAN,403/SK/LAMDIK/Ak/S/III/2023,2023,Unggul,2028-08-15
Universitas Cipasung Tasikmalaya,Pendidikan Biologi,S1,04,697/SK/LAMDIK/Ak-PSB/S/VIII/2023,2023,Baik,-
Institut Agama Islam Negeri Ambon,Tadris Bahasa Indonesia,S1,PTAN,691/SK/LAMDIK/Ak-PSB/S/VIII/2023,2023,Baik,-
Universitas Cipasung Tasikmalaya,Pendidikan Matematika,S1,04,690/SK/LAMDIK/Ak-PSB/S/VIII/2023,2023,Baik,-
Sekolah Tinggi Keguruan Dan Ilmu Pendidikan PGRI Banjarmasin,Pendidikan Bahasa Inggris,S1,11,668/SK/LAMDIK/Ak/S/VIII/2023,2023,Baik Sekali,2028-05-02
"INSTITUT KESEHATAN HELVETIA, MEDAN",KEBIDANAN,S1,01,0042/LAM-PTKes/Akr/Sar/Khs2/I/2022,2022,Baik,2027-01-27
"UNIVERSITAS AIRLANGGA, SURABAYA",MIKROBIOLOGI KLINIK,Spesialis,PTN,0527/LAM-PTKes/Akr/Spe/VII/2023,2023,UNGGUL,2028-07-27
"UNIVERSITAS SANTO BORROMEUS, BANDUNG",KEPERAWATAN,D-III,04,0547/LAM-PTKes/Akr/Dip/VII/2023,2023,UNGGUL,2028-07-27
Universitas Mahendradatta,Manajemen,S1,08,508/DE/A.5/AR.10/VII/2023,2023,Baik Sekali,2028-07-17
Universitas PGRI Ronggolawe,Matematika,S1,07,072/SK/LAMSAMA/AKred/S/VII/2023,2023,Baik,2028-07-17
Universitas Pejuang Republik Indonesia,Ilmu Administrasi Negara,S1,09,3269/SK/BAN-PT/Ak.Ppj/S/VIII/2023,2023,B,2027-04-26
Universitas Veteran Bangun Nusantara,Peternakan,S1,06,3264/SK/BAN-PT/Ak.Ppj/S/VIII/2023,2023,Baik Sekali,2028-08-22
Universitas Puangrimaggalatung,Administrasi Publik,S2,09,3272/SK/BAN-PT/Ak.Ppj/M/VIII/2023,2023,B,2028-08-22
Universitas Muara Bungo,Agroteknologi,S1,10,3267/SK/BAN-PT/Ak.Ppj/S/VIII/2023,2023,B,2027-10-25
Universitas Bina Taruna Gorontalo,Ilmu Administrasi,S2,16,3270/SK/BAN-PT/Ak.Ppj/M/VIII/2023,2023,B,2027-10-11
Universitas Muara Bungo,Agribisnis,S1,10,3265/SK/BAN-PT/Ak.Ppj/S/VIII/2023,2023,B,2027-10-11
Sekolah Tinggi Teologi Gereja Kalimantan Evangelis (GKE),Teologi (Akademik),S1,PTAS,3266/SK/BAN-PT/Ak.Ppj/S/VIII/2023,2023,B,2028-01-04
Universitas Negeri Yogyakarta,Psikologi,S1,PTN,3271/SK/BAN-PT/Ak.Ppj/S/VIII/2023,2023,B,2028-08-28
Universitas Muhammadiyah Malang,Ilmu Komunikasi,S1,07,3262/SK/BAN-PT/Ak.Ppj/S/VIII/2023,2023,A,2028-03-28
Universitas Pamulang,Ilmu Hukum,S2,04,3199/SK/BAN-PT/Ak/M/VIII/2023,2023,Baik Sekali,2028-08-15
Universitas Islam Al-Ihya Kuningan,Pendidikan Agama Islam,S2,04,3225/SK/BAN-PT/Ak/M/VIII/2023,2023,Baik,2028-08-15
Universitas Al-azhar Indonesia,Pendidikan Agama Islam,S1,03,3218/SK/BAN-PT/Ak/S/VIII/2023,2023,Baik Sekali,2028-08-15
Institut Sains Dan Teknologi Td Pardede,Teknik Geologi,S1,01,3209/SK/BAN-PT/Ak/S/VIII/2023,2023,Baik,2028-08-15
Universitas Dehasen Bengkulu,Rekayasa Sistem Komputer,S1,02,3226/SK/BAN-PT/Ak/S/VIII/2023,2023,Baik,2028-08-15
Universitas Garut,Akuntansi,S1,04,3210/SK/BAN-PT/Ak/S/VIII/2023,2023,Baik Sekali,2028-08-15
Universitas Nusantara Manado,Manajemen,S1,16,3237/SK/BAN-PT/Ak/S/VIII/2023,2023,Baik,2028-08-15
Akademi Komunitas BPPMNU Banat,Tata Busana,D-II,06,3211/SK/BAN-PT/Ak/D2/VIII/2023,2023,Baik,2028-08-15
Akademi Komunitas Darussalam Blokagung,Administrasi Jaringan Komputer,D-II,07,3238/SK/BAN-PT/Ak/D2/VIII/2023,2023,Baik,2028-08-15
STAI Ma'had Ali Cirebon,Pendidikan Islam Anak Usia Dini,S1,PTAS,3212/SK/BAN-PT/Ak/S/VIII/2023,2023,Baik,2028-08-15
Universitas Islam Negeri Ar-Raniry Banda Aceh,Perbankan Syariah,S1,PTAN,3217/SK/BAN-PT/Ak/S/VIII/2023,2023,Baik Sekali,2028-08-15
Universitas Kristen Indonesia Tomohon,Teologi (Akademik),S3,16,3213/SK/BAN-PT/Ak/D/VIII/2023,2023,Baik,2028-08-15
Institut Teknologi Dan Bisnis Diniyyah Lampung,Manajemen Ritel,S1,02,3214/SK/BAN-PT/Ak/S/VIII/2023,2023,Baik,2028-08-15
UIN Datokarama Palu,Pendidikan Islam Anak Usia Dini,S1,PTAN,3227/SK/BAN-PT/Ak/S/VIII/2023,2023,Baik,2028-08-15
Universitas Klabat,Ilmu Filsafat,S1,16,3228/SK/BAN-PT/Ak.Ppj/S/VIII/2023,2023,Baik,2028-08-15
Universitas Islam Negeri Syarif Hidayatullah,Hukum Pidana Islam,S1,PTAN,3229/SK/BAN-PT/Ak.Ppj/S/VIII/2023,2023,Unggul,2028-08-15
Institut Ummul Quro AL-Islami Bogor Jawa Barat,Pendidikan Bahasa Arab,S1,PTAS,3215/SK/BAN-PT/Ak/S/VIII/2023,2023,Baik,2028-08-15
Politeknik Negeri Jakarta,Teknik KontrukSi Gedung,D-IV,PTN,3236/SK/BAN-PT/Ak/STr/VIII/2023,2023,Unggul,2028-08-15
Universitas Dayanu Ikhsanuddin,Pendidikan Matematika,S1,09,3239/SK/BAN-PT/Ak/S/VIII/2023,2023,Baik,2028-08-15
Institut Agama Islam Al-Qur'an Al-Ittifaqiah Indralaya,Perbankan Syariah,S1,PTAS,3208/SK/BAN-PT/Ak/S/VIII/2023,2023,Baik,2028-08-15
Universitas Tadulako,Kehutanan,S1,PTN,3200/SK/BAN-PT/Ak/S/VIII/2023,2023,Baik Sekali,2028-08-15
Universitas Ahmad Dahlan,Bahasa Dan Sastra Arab,S1,05,3259/SK/BAN-PT/Ak.KP/S/VIII/2023,2023,Unggul,2025-11-01
Universitas Hein Namotemo,Agroteknologi,S1,12,3201/SK/BAN-PT/Ak/S/VIII/2023,2023,Baik,2028-08-15
Sekolah Tinggi Teologi Providensia Adonay,Teologi,S1,PTAS,3219/SK/BAN-PT/Ak/S/VIII/2023,2023,Baik,2028-08-15
Universitas Prima Indonesia,Kenotariatan,S2,01,3202/SK/BAN-PT/Ak/M/VIII/2023,2023,Unggul,2028-08-15
ST Agama Kristen William Booth Jakarta,Teologi,S1,PTAS,3220/SK/BAN-PT/Ak/S/VIII/2023,2023,Baik,2028-08-15
Universitas Ciputra Surabaya,Psikologi,S1,07,3203/SK/BAN-PT/Ak/S/VIII/2023,2023,Baik Sekali,2028-08-15
Universitas Adiwangsa Jambi,Arsitektur,S1,10,3221/SK/BAN-PT/Ak/S/VIII/2023,2023,Baik,2028-08-15
Universitas Warmadewa,Rekayasa Infrastruktur Dan Lingkungan,S2,08,3222/SK/BAN-PT/Ak/M/VIII/2023,2023,Baik Sekali,2028-08-15
Universitas Islam Negeri Sumatera Utara Medan,Aqidah Dan Filsafat Islam,S1,PTAN,3260/SK/BAN-PT/Ak.KP/S/VIII/2023,2023,Unggul,2027-01-11
Universitas Kebangsaan Republik Indonesia,Arsitektur,S1,04,3204/SK/BAN-PT/Ak/S/VIII/2023,2023,Baik Sekali,2028-08-15
Universitas Islam Nusantara,Manajemen,S1,04,3223/SK/BAN-PT/Ak/S/VIII/2023,2023,Baik Sekali,2028-08-15
Institut Teknologi Dan Bisnis Kalla,Manajemen Retail,S1,09,3205/SK/BAN-PT/Ak/S/VIII/2023,2023,Baik,2028-08-15
Universitas Andalas,Teknologi Industri Pertanian,S1,PTN,3224/SK/BAN-PT/Ak/S/VIII/2023,2023,Baik,2028-08-15
Institut Teknologi Dan Bisnis Kalla,Kewirausahaan,S1,09,3206/SK/BAN-PT/Ak/S/VIII/2023,2023,Baik,2028-08-15
Universitas Muhammadiyah Sidoarjo,Pendidikan Guru Madrasah Ibtidaiyah,S1,07,3207/SK/BAN-PT/Ak/S/VIII/2023,2023,Unggul,2028-08-15
Sekolah Tinggi Teologi Bina Insani Indonesia Kasih Abadi Pematang Siantar,Teologi,S1,PTAS,3216/SK/BAN-PT/Ak/S/VIII/2023,2023,Baik,2028-08-15
Universitas Amikom Purwokerto,Informatika,S1,06,043/SK/LAM-INFOKOM/Ak.B/S/VIII/2023,2023,Baik Sekali,2028-08-17
"UNIVERSITAS BINA SEHAT PPNI MOJOKERTO, MOJOKERTO",KEPERAWATAN,D-III,07,0546/LAM-PTKes/Akr/Dip/VII/2023,2023,BAIK SEKALI,2028-07-27
"UNIVERSITAS MUHAMMADIYAH PEKAJANGAN PEKALONGAN, PEKALONGAN",BIDAN,Profesi,06,0597/LAM-PTKes/Akr/Pro/VIII/2023,2023,Baik,2028-08-11
"UNIVERSITAS MUHAMMADIYAH PEKAJANGAN PEKALONGAN, PEKALONGAN",KEBIDANAN,S1,06,0596/LAM-PTKes/Akr/Sar/VIII/2023,2023,Baik,2028-08-11
Sekolah Tinggi Ilmu Tarbiyah Sirojul Falah Bogor,Pendidikan Agama Islam,S1,PTAS,653/SK/LAMDIK/Ak/S/VIII/2023,2023,Baik,2027-10-17
Universitas Telkom,Teknik Telekomunikasi (Kampus Jakarta),D-III,04,0306/SK/LAM Teknik/VD3/VIII/2023,2023,Baik Sekali,2027-12-20
Institut Teknologi Petroleum Balongan,Teknik Kimia,D-III,04,0305/SK/LAM Teknik/VD3/VIII/2023,2023,Baik Sekali,2027-08-20
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN SEMARANG, SEMARANG",GIZI,D-III,PTKL,0576/LAM-PTKes/Akr/Dip/VII/2023,2023,UNGGUL,2028-07-27
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN SEMARANG, SEMARANG",RADIOLOGI,D-III,PTKL,0583/LAM-PTKes/Akr/Dip/VIII/2023,2023,UNGGUL,2028-08-11
"POLITEKNIK SANDI KARSA, MAKASSAR",KEPERAWATAN,D-III,09,0592/LAM-PTKes/Akr/Dip/VIII/2023,2023,BAIK SEKALI,2028-08-11
"SEKOLAH TINGGI ILMU KESEHATAN GARUDA PUTIH, JAMBI",KEPERAWATAN,D-III,10,0591/LAM-PTKes/Akr/Dip/VIII/2023,2023,BAIK SEKALI,2028-08-11
"SEKOLAH TINGGI ILMU KESEHATAN HUTAMA ABDI HUSADA TULUNGAGUNG, TULUNGAGUNG",TEKNOLOGI LABORATORIUM MEDIS,D-IV,07,0613/LAM-PTKes/Akr/Dip/VIII/2023,2023,Baik,2028-08-11
"SEKOLAH TINGGI ILMU KESEHATAN MADANI, YOGYAKARTA",FARMASI,D-III,05,0605/LAM-PTKes/Akr/Dip/VIII/2023,2023,BAIK SEKALI,2028-08-11
Universitas Hang Tuah Pekanbaru,Teknik Informatika,S1,17,109/SK/LAM-INFOKOM/Ak/S/VIII/2023,2023,Baik Sekali,2028-08-18
Universitas Diponegoro,Informatika,S1,PTN,108/SK/LAM-INFOKOM/Ak/S/VIII/2023,2023,Unggul,2028-08-18
Institut Teknologi Garut,Teknik Informatika,S1,04,071/SK/LAM-INFOKOM/Ak/S/VIII/2023,2023,Baik Sekali,2028-08-07
Politeknik Negeri Cilacap,Teknik Informatika,D-III,PTN,070/SK/LAM-INFOKOM/Ak/D3/VIII/2023,2023,Baik Sekali,2028-08-07
Universitas Syiah Kuala,Kecerdasan Buatan,S2,PTN,020/SK/LAM-INFOKOM/Ak.P/M/VIII/2023,2023,Baik Sekali,2028-08-19
Politeknik Negeri Padang,Teknik Komputer (kampus Kab Solok Selatan),D-III,PTN,019/SK/LAM-INFOKOM/Ak.P/D3/VIII/2023,2023,Baik Sekali,2028-08-19
Politeknik Negeri Padang,Manajemen Informatika (kampus Kab Pelalawan),D-III,PTN,018/SK/LAM-INFOKOM/Ak.P/D3/VIII/2023,2023,Baik Sekali,2028-08-19
Politeknik Negeri Padang,Sistem Informasi (kampus Kab. Tanah Datar),D-III,PTN,017/SK/LAM-INFOKOM/Ak.P/D3/VIII/2023,2023,Baik Sekali,2028-08-19
Universitas Telkom,Sains Data,S1,04,016/SK/LAM-INFOKOM/Ak.P/S/VIII/2023,2023,Baik Sekali,2028-08-19
Universitas Telkom,Ilmu Forensik,S2,04,015/SK/LAM-INFOKOM/Ak.P/M/VIII/2023,2023,Baik Sekali,2028-08-19
Universitas Telkom,Sistem Informasi,S2,04,014/SK/LAM-INFOKOM/Ak.P/M/VIII/2023,2023,Baik Sekali,2028-08-19
STMIK Multicom Bolaan Mongondow,Teknik Informatika,S1,16,130/SK/LAM-INFOKOM/Ak/S/VIII/2023,2023,Baik Sekali,2028-08-19
Universitas Kristen Maranatha,Teknik Informatika,S1,04,069/SK/LAM-INFOKOM/Ak/S/VIII/2023,2023,Unggul,2028-08-07
Institut Teknologi Dan Bisnis Swadharma ,Teknik Informatika,S1,03,068/SK/LAM-INFOKOM/Ak/S/VIII/2023,2023,Baik Sekali,2028-08-07
Universitas Bumigora,Ilmu Komputer,S1,08,107/SK/LAM-INFOKOM/Ak/S/VIII/2023,2023,Baik Sekali,2028-08-18
Universitas Handayani Makassar,Sistem Komputer,S1,09,057/SK/LAM-INFOKOM/Ak.B/S/VIII/2023,2023,Baik Sekali,2028-08-19
Universitas Pat Petulai,Ilmu Komputer,S1,02,040/SK/LAM-INFOKOM/Ak.B/S/VIII/2023,2023,Baik,2028-08-07
Politeknik Astra,Manajemen Informatika,D-III,03,129/SK/LAM-INFOKOM/Ak/D3/VIII/2023,2023,Unggul,2028-08-19
Universitas Nusa Mandiri,Sains Data,S1,03,009/SK/LAM-INFOKOM/Ak.P/S/VIII/2023,2023,Baik,2028-08-07
Sekolah Tinggi Teknologi Muhammadiyah Cileungsi,Teknik Informatika,S1,04,123/SK/LAM-INFOKOM/Ak/S/VIII/2023,2023,Baik,2028-08-18
STMIK Bandung,Sistem Informasi,S1,04,056/SK/LAM-INFOKOM/Ak.B/S/VIII/2023,2023,Baik,2028-08-19
Universitas Khairun,Teknik Informatika,S1,PTN,067/SK/LAM-INFOKOM/Ak/S/VIII/2023,2023,Baik Sekali,2028-08-07
Universitas Udayana,Teknologi Informasi,S1,PTN,128/SK/LAM-INFOKOM/Ak/S/VIII/2023,2023,Unggul,2028-08-19
Politeknik Negeri Malang,Teknik Informatika,D-IV,PTN,127/SK/LAM-INFOKOM/Ak/STr/VIII/2023,2023,Unggul,2028-08-19
Universitas Darussalam Gontor,Teknik Informatika,S1,07,126/SK/LAM-INFOKOM/Ak/S/VIII/2023,2023,Baik Sekali,2028-08-19
STMIK Pelita Nusantara,Teknik Informatika,S1,01,125/SK/LAM-INFOKOM/Ak/S/VIII/2023,2023,Baik Sekali,2028-08-19
Politeknik Lembaga Pendidikan Dan Pengembangan Profesi Indonesia,Manajemen Informatika,D-II,04,102/SK/LAM-INFOKOM/Ak/D2/VIII/2023,2023,Baik,2028-08-18
Universitas Teknologi Yogyakarta,Informatika,S1,05,066/SK/LAM-INFOKOM/Ak/S/VIII/2023,2023,Unggul,2028-08-07
Universitas Atma Jaya Makassar,Sistem Informasi,S1,09,038/SK/LAM-INFOKOM/Ak.B/S/VIII/2023,2023,Baik,2028-08-07
"UNIVERSITAS BHAKTI KENCANA, BANDUNG",KEPERAWATAN (KAMPUS KOTA JAKARTA),D-III,04,0595/LAM-PTKes/Akr/Dip/VIII/2023,2023,BAIK SEKALI,2028-08-11
Institut Teknologi Pagar Alam,Teknik Informatika,S1,02,106/SK/LAM-INFOKOM/Ak/S/VIII/2023,2023,Baik Sekali,2028-08-18
Universitas Widyatama,Sistem Informasi,S1,04,085/SK/LAM-INFOKOM/Ak/S/VIII/2023,2023,Baik Sekali,2028-08-17
Universitas Bina Insani,Teknik Informatika,S1,04,065/SK/LAM-INFOKOM/Ak/S/VIII/2023,2023,Baik Sekali,2028-08-07
Politeknik Negeri Lhokseumawe,Teknologi Rekayasa Komputer Jaringan,D-IV,PTN,079/SK/LAM-INFOKOM/Ak/STr/VIII/2023,2023,Baik Sekali,2028-08-17
Politeknik Lembaga Pendidikan Dan Pengembangan Profesi Indonesia,Manajemen Informatika (kampus Kota Cirebon),D-III,04,037/SK/LAM-INFOKOM/Ak.B/D3/VIII/2023,2023,Baik,2028-08-07
Universitas Komputer Indonesia,Teknik Informatika,S1,04,055/SK/LAM-INFOKOM/Ak.B/S/VIII/2023,2023,Unggul,2028-08-18
Universitas Dharma AUB Surakarta,Sistem Komputer,S1,06,124/SK/LAM-INFOKOM/Ak/S/VIII/2023,2023,Baik Sekali,2028-08-18
Universitas Pancasila,Teknik Informatika,S1,03,064/SK/LAM-INFOKOM/Ak/S/VIII/2023,2023,Unggul,2028-08-07
Universitas Gadjah Mada,Ilmu Komputer,S1,PTN,104/SK/LAM-INFOKOM/Ak/S/VIII/2023,2023,Unggul,2028-08-18
Universitas Komputer Indonesia,Komputerisasi Akuntansi,D-III,04,060/SK/LAM-INFOKOM/Ak/D3/VIII/2023,2023,Unggul,2028-08-07
Institut Teknologi Garut,Sistem Informasi,S1,04,103/SK/LAM-INFOKOM/Ak/S/VIII/2023,2023,Baik Sekali,2028-08-18
Universitas Potensi Utama,Rekayasa Perangkat Lunak,S1,01,036/SK/LAM-INFOKOM/Ak.B/S/VIII/2023,2023,Baik,2028-08-07
Universitas Pertamina,Ilmu Komputer,S1,03,063/SK/LAM-INFOKOM/Ak/S/VIII/2023,2023,Baik Sekali,2028-08-07
Universitas Muhammadiyah Pekajangan Pekalongan,Manajemen Informatika,D-III,06,122/SK/LAM-INFOKOM/Ak/D3/VIII/2023,2023,Baik Sekali,2028-08-18
Universitas Tarumanagara,Sistem Informasi,S1,03,078/SK/LAM-INFOKOM/Ak/S/VIII/2023,2023,Unggul,2028-08-17
