parent_institution_name,prodi_name,jenjang,wilayah,no_sk,tahun_sk,akreditasi_prodi,tanggal_kadaluarsa
Universitas Tidar,Pendidikan Bahasa Dan Sastra Indonesia,S1,PTN,6589/SK/BAN-PT/Ak/S/IX/2022,2022,Unggul,2027-09-27
Institut Agama Islam (IAI) Al-Khoziny,Pendidikan Islam Anak Usia Dini,S1,PTAS,6584/SK/BAN-PT/Ak/S/IX/2022,2022,Baik,2027-09-27
Universitas Islam Negeri Walisongo Semarang,Studi Islam,S3,PTAN,6512/SK/BAN-PT/Ak.Ppj/D/IX/2022,2022,Baik Sekali,2027-09-27
STAI Taruna Surabaya,Pendidikan Guru Madrasah Ibtidaiyah,S1,PTAS,6503/SK/BAN-PT/Ak/S/IX/2022,2022,Baik,2027-09-27
Universitas Serang Raya,Sistem Informasi,S1,04,6588/SK/BAN-PT/Ak.Ppj/S/IX/2022,2022,Baik,2027-09-27
Universitas Islam Majapahit,Ilmu Pemerintahan,S1,07,6587/SK/BAN-PT/Ak.Ppj/S/IX/2022,2022,Baik,2027-09-27
Universitas Narotama,Sistem Informasi,S1,07,6511/SK/BAN-PT/Ak.Ppj/S/IX/2022,2022,Baik Sekali,2027-09-27
Universitas Pendidikan Indonesia,Pendidikan Bahasa Indonesia,S2,PTN,6586/SK/BAN-PT/Ak.Ppj/M/IX/2022,2022,Unggul,2027-09-27
STKIP Harapan Bima,Pendidikan Guru Sekolah Dasar,S1,08,6499/SK/BAN-PT/Ak/S/IX/2022,2022,Baik,2027-09-27
Institut Agama Islam As Siddiq Kie Raha Maluku Utara,Sejarah Peradaban Islam,S1,PTAS,6583/SK/BAN-PT/Ak/S/IX/2022,2022,Baik,2027-09-27
Universitas Palangka Raya,Ilmu Hukum,S2,PTN,6506/SK/BAN-PT/Ak.KP/M/IX/2022,2022,Baik,2026-01-12
Universitas Muhammadiyah Sorong,Manajemen Sumber Daya Perairan,S1,14,6577/SK/BAN-PT/Ak.KP/S/IX/2022,2022,Baik,2026-05-28
Sekolah Tinggi Teologi Injili Indonesia Ambon,Teologi (Akademik),S1,PTAS,10316/SK/BAN-PT/Ak.KP/S/XII/2022,2022,Baik,2025-11-03
Sekolah Tinggi Bahasa Asing Pertiwi Indonesia,Sastra Inggris,S1,03,6625/SK/BAN-PT/Ak.KP/S/IX/2022,2022,Baik,2026-03-17
