institution_code,institution_name,akreditasi_institusi,no_sk,tahun_sk,wilayah,tanggal_kadaluarsa
banpt-72,Universitas Linggabuana PGRI Sukabumi,Baik,2778/SK/BAN-PT/Ak/PT/X/2025,2025,04,2030-10-01
banpt-73,Politeknik Banggai Industri,Terakreditasi Sementara,2549/SK/BAN-PT/Ak.P/2.0/PT/IX/2025,2025,16,2033-09-30
banpt-74,Sekolah Tinggi Ilmu Ekonomi Satya Dharma,Baik,2546/SK/BAN-PT/Ak.Ppj/2.0/PT/IX/2025,2025,08,2030-11-11
banpt-75,Sekolah Tinggi Ilmu Dakwah Sirnarasa,Baik,2545/SK/BAN-PT/Ak.Ppj/2.0/PT/IX/2025,2025,PTAS,2030-11-04
banpt-76,Akademi Gizi Karya Husada Kediri,Baik,2543/SK/BAN-PT/Ak.Ppj/2.0/PT/IX/2025,2025,07,2030-12-02
banpt-77,STKIP Insan Madani Airmolek,Baik,2536/SK/BAN-PT/Ak.Ppj/2.0/PT/IX/2025,2025,17,2030-08-31
banpt-78,Sekolah Tinggi Ilmu Pertanian Wuna Raha,Baik,2537/SK/BAN-PT/Ak.Ppj/2.0/PT/IX/2025,2025,09,2030-08-31
banpt-79,STITNU Al-Mahsuni,Baik,2518/SK/BAN-PT/Ak.Ppj/2.0/PT/IX/2025,2025,PTAS,2030-10-28
banpt-80,Universitas Islam Madura,Baik,2535/SK/BAN-PT/Ak.Ppj/2.0/PT/IX/2025,2025,07,2030-08-31
banpt-81,STIKES Panti Waluya Malang,B,2534/SK/BAN-PT/Ak.Ppj/2.0/PT/IX/2025,2025,07,2030-08-31
banpt-82,STKIP Darud Da wah Wal Irsyad Pinrang,Baik,2533/SK/BAN-PT/Ak.Ppj/2.0/PT/IX/2025,2025,09,2030-08-23
banpt-83,Sekolah Tinggi Ilmu Kesehatan Kesdam IX/Udayana,Baik,2532/SK/BAN-PT/Ak.Ppj/2.0/PT/IX/2025,2025,08,2030-08-23
banpt-84,Universitas Islam Depok,Baik,2753/SK/BAN-PT/Ak-PNB/PT/IX/2025,2025,PTAS,2027-11-08
banpt-85,Universitas Wirahusada Medan,Baik,2760/SK/BAN-PT/Ak-PNB/PT/IX/2025,2025,01,2026-03-06
banpt-86,Politeknik Alkon Kalimantan,Baik,2746/SK/BAN-PT/Ak-PNB/PT/IX/2025,2025,11,2026-06-30
banpt-87,Institut Nida El Adabi,Baik,2761/SK/BAN-PT/Ak-PNB/PT/IX/2025,2025,PTAS,2025-12-20
banpt-88,Universitas Sultan Muhammad Syafiuddin Sambas,Baik,2762/SK/BAN-PT/Ak-PNB/PT/IX/2025,2025,PTAS,2028-12-29
banpt-89,Institut Darul Qur`an Payakumbuh,Baik Sekali,2763/SK/BAN-PT/Ak-PNB/PT/IX/2025,2025,PTAS,2028-02-22
banpt-90,Institut Agama Islam Diniyyah Pekanbaru,Baik Sekali,2734/SK/BAN-PT/Ak/PT/IX/2025,2025,PTAS,2030-09-23
banpt-91,Universitas Sebelas April,Baik Sekali,2735/SK/BAN-PT/Ak/PT/IX/2025,2025,04,2030-09-23
banpt-92,Universitas Sang Bumi Ruwa Jurai,Baik Sekali,2741/SK/BAN-PT/Ak/PT/IX/2025,2025,02,2030-09-23
banpt-93,Akademi Kuliner Monas Pasifik,Baik Sekali,2736/SK/BAN-PT/Ak/PT/IX/2025,2025,07,2030-09-23
banpt-94,Universitas Wahidiyah,Baik,2733/SK/BAN-PT/Ak/PT/IX/2025,2025,07,2030-09-23
banpt-95,Akademi Bakti Kemanusiaan Palang Merah Indonesia,Baik Sekali,2737/SK/BAN-PT/Ak/PT/IX/2025,2025,03,2030-09-23
banpt-96,Sekolah Tinggi Ilmu Syariah Husnul Khotimah (STISHK) Kuningan,Baik Sekali,2738/SK/BAN-PT/Ak/PT/IX/2025,2025,PTAS,2030-09-23
banpt-97,Sekolah Tinggi Agama Hindu Bhatara Guru Kendari Sulawesi Tenggara,Baik,2739/SK/BAN-PT/Ak/PT/IX/2025,2025,PTAN,2030-09-23
banpt-98,Sekolah Tinggi Ilmu Kesehatan Pasar Rebo,Baik,2759/SK/BAN-PT/Ak-PNB/PT/IX/2025,2025,03,2025-12-15
banpt-99,Universitas PGRI Mpu Sindok,Baik,2748/SK/BAN-PT/Ak-PNB/PT/IX/2025,2025,07,2027-09-06
banpt-100,Politeknik Palopo,Baik,2745/SK/BAN-PT/Ak-PNB/PT/IX/2025,2025,09,2028-08-06
banpt-101,Universitas Islam Ibrahimy Banyuwangi,Baik,2754/SK/BAN-PT/Ak-PNB/PT/IX/2025,2025,PTAS,2026-03-23
banpt-102,Universitas Persada Bunda Indonesia,Baik Sekali,2749/SK/BAN-PT/Ak-PNB/PT/IX/2025,2025,17,2025-12-16
banpt-103,Universitas Bhinneka Nusantara,Baik Sekali,2751/SK/BAN-PT/Ak-PNB/PT/IX/2025,2025,07,2027-03-01
banpt-104,Universitas Muhammadiyah PKU Surakarta,Baik Sekali,2755/SK/BAN-PT/Ak-PNB/PT/IX/2025,2025,06,2027-10-18
banpt-105,Institut Bisnis dan Teknologi Kalimantan,Baik Sekali,2750/SK/BAN-PT/Ak-PNB/PT/IX/2025,2025,11,2029-02-27
banpt-106,Akademi Kebidanan Mega Buana,Baik,2744/SK/BAN-PT/Ak.Ppj/PT/IX/2025,2025,09,2030-05-11
banpt-107,Sekolah Tinggi Ilmu Pertanian Amuntai,Baik,2742/SK/BAN-PT/Ak.Ppj/PT/IX/2025,2025,11,2030-04-20
banpt-108,STMIK DCI,Baik,2743/SK/BAN-PT/Ak.Ppj/PT/IX/2025,2025,04,2030-04-20
banpt-109,Institut Pendidikan dan Teknologi `Aisyiyah Riau,Baik,2756/SK/BAN-PT/Ak-PNB/PT/IX/2025,2025,17,2028-12-29
banpt-110,Universitas Tiga Serangkai,Baik,2747/SK/BAN-PT/Ak-PNB/PT/IX/2025,2025,06,2029-03-26
banpt-111,Universitas Muhammadiyah Brebes,Baik,2757/SK/BAN-PT/Ak-PNB/PT/IX/2025,2025,06,2029-03-05
banpt-112,Universitas Sunan Gresik,Baik,2752/SK/BAN-PT/Ak-PNB/PT/IX/2025,2025,07,2026-10-13
banpt-113,Politeknik Sorowako,Baik,2758/SK/BAN-PT/Ak-PNB/PT/IX/2025,2025,09,2028-08-17
