institution_code,institution_name,akreditasi_institusi,no_sk,tahun_sk,wilayah,tanggal_kadaluarsa
banpt-2411,Sekolah Tinggi Manajemen Risiko Dan Asuransi,Baik,542/SK/BAN-PT/Ak/PT/VIII/2023,2023,03,2028-08-22
banpt-2412,"STAI Ma`arif Sampang Madura, Jawa Timur",Baik,543/SK/BAN-PT/Ak/PT/VIII/2023,2023,PTAS,2028-08-22
banpt-2413,Sekolah Tinggi Ilmu Administrasi Puangrimaggalatung,Baik Sekali,538/SK/BAN-PT/Ak/PT/VIII/2023,2023,09,2028-08-16
banpt-2414,Akademi Manajemen Informatika Dan Komputer Dumai,Baik,537/SK/BAN-PT/Ak.Ppj/PT/VIII/2023,2023,10,2028-08-28
banpt-2415,Sekolah Tinggi Ilmu Ekonomi Tuah Negeri,Baik,535/SK/BAN-PT/Ak.Ppj/PT/VIII/2023,2023,17,2028-08-28
banpt-2416,Universitas Kristen Immanuel,B,534/SK/BAN-PT/Ak.Ppj/PT/VIII/2023,2023,05,2028-01-04
banpt-2417,"STAI Al-Hikmah Medan, Sumatera Utara",Baik,536/SK/BAN-PT/Ak.Ppj/PT/VIII/2023,2023,PTAS,2027-08-16
banpt-2418,Universitas Nahdlatul Ulama Sidoarjo,Baik Sekali,529/SK/BAN-PT/Ak/PT/VIII/2023,2023,07,2028-08-15
banpt-2419,STFT Gki Izaak Samuel Kijne Jayapura,Baik,530/SK/BAN-PT/Ak/PT/VIII/2023,2023,14,2028-08-15
banpt-2420,Sekolah Tinggi Teologi Reformed Indonesia,Baik,527/SK/BAN-PT/Ak.Ppj/PT/VIII/2023,2023,PTAS,2028-08-17
banpt-2421,Akademi Kebidanan Alifa Pringsewu Lampung,Baik,528/SK/BAN-PT/Ak.Ppj/PT/VIII/2023,2023,02,2028-08-17
banpt-2422,Sekolah Tinggi Teknologi YBS Internasional,Baik,520/SK/BAN-PT/Ak/PT/VIII/2023,2023,04,2028-08-08
banpt-2423,STKIP Bina Bangsa Meulaboh,Baik,521/SK/BAN-PT/Ak/PT/VIII/2023,2023,13,2028-08-08
banpt-2424,Sekolah Tinggi Ilmu Ekonomi Nasional Samarinda,Baik,522/SK/BAN-PT/Ak/PT/VIII/2023,2023,11,2028-08-08
banpt-2425,STIKES Dharma Landbouw,B,518/SK/BAN-PT/Ak.Ppj/PT/VIII/2023,2023,10,2028-04-25
banpt-2426,Universitas Muhammadiyah Lampung,B,516/SK/BAN-PT/Ak.Ppj/PT/VIII/2023,2023,02,2027-09-13
banpt-2427,Sekolah Tinggi Ilmu Kesehatan Husada Jombang,B,517/SK/BAN-PT/Ak.Ppj/PT/VIII/2023,2023,07,2027-08-16
banpt-2428,Sekolah Tinggi Ilmu Tarbiyah Al-Ihsan Baleendah Bandung Jawa Barat,Baik,512/SK/BAN-PT/Ak/PT/VIII/2023,2023,PTAS,2028-08-01
banpt-2429,Sekolah Tinggi Ilmu Kesehatan Sambas,Baik,513/SK/BAN-PT/Ak/PT/VIII/2023,2023,11,2028-08-01
banpt-2430,Sekolah Tinggi Ilmu Farmasi Pelita Mas Palu,Baik,510/SK/BAN-PT/Ak-PNB/PT/VII/2023,2023,16,2026-12-08
banpt-2431,Sekolah Tinggi Teknologi Wastukancana,Baik,504/SK/BAN-PT/Ak.Ppj/PT/VII/2023,2023,04,2028-08-09
banpt-2432,Sekolah Tinggi Ilmu Syariah (STIS) Dayah Amal,Baik,495/SK/BAN-PT/Ak/PT/VII/2023,2023,PTAS,2028-07-25
banpt-2433,Institut Teknologi Indonesia,Baik Sekali,494/SK/BAN-PT/Ak/PT/VII/2023,2023,03,2028-07-25
banpt-2434,Universitas Adiwangsa Jambi,Baik Sekali,493/SK/BAN-PT/Ak/PT/VII/2023,2023,10,2028-07-25
banpt-2435,AMIK Selat Panjang,Baik,503/SK/BAN-PT/Ak.Ppj/PT/VII/2023,2023,17,2028-08-08
banpt-2436,STIT Ahlussunnah Bukittinggi,Baik,502/SK/BAN-PT/Ak.Ppj/PT/VII/2023,2023,PTAS,2028-08-08
banpt-2437,Sekolah Tinggi Ekonomi Syari'ah Bhakti Nugraha,Baik,496/SK/BAN-PT/Ak/PT/VII/2023,2023,PTAS,2028-07-25
banpt-2438,Universitas Islam Tribakti Lirboyo Kediri,Baik,488/SK/BAN-PT/Ak-PNB/PT/VII/2023,2023,PTAS,2026-01-30
banpt-2439,Universitas Siber Indonesia,Baik,490/SK/BAN-PT/Ak-PNB/PT/VII/2023,2023,03,2026-06-29
banpt-2440,Sekolah Tinggi Ilmu Administrasi Maulana Yusuf Banten,Baik,476/SK/BAN-PT/Ak.Ppj/PT/VII/2023,2023,04,2027-10-11
banpt-2441,Akademi Kesejahteraan Sosial Ibu Kartini,Baik Sekali,473/SK/BAN-PT/Ak/PT/VII/2023,2023,06,2028-07-18
banpt-2442,Universitas Bestari,Baik,486/SK/BAN-PT/Ak-PNB/PT/VII/2023,2023,04,2026-06-02
banpt-2443,Sekolah Tinggi Ilmu Ekonomi Dwi Sakti Baturaja,Baik,475/SK/BAN-PT/Ak.Ppj/PT/VII/2023,2023,02,2028-08-01
banpt-2444,Institut Teknologi dan Bisnis Indragiri,Baik,481/SK/BAN-PT/Ak-PNB/PT/VII/2023,2023,17,2026-12-28
banpt-2445,Institut Bisnis dan Komputer Indonesia,Baik,482/SK/BAN-PT/Ak-PNB/PT/VII/2023,2022,01,2026-08-03
banpt-2446,Sekolah Tinggi Ilmu Kesehatan Budi Mulia Sriwijaya,Baik,483/SK/BAN-PT/Ak-PNB/PT/VII/2023,2023,02,2025-12-28
banpt-2447,Akademi Pariwisata Siliwangi,Baik,492/SK/BAN-PT/Ak/PT/VII/2023,2023,04,2028-07-18
banpt-2448,Sekolah Tinggi Ilmu Ekonomi Ottow & Geissler Serui,Baik,466/SK/BAN-PT/Ak/PT/VII/2023,2023,14,2028-07-11
banpt-2449,Institut Teknologi dan Bisnis Kalla,Baik,463/SK/BAN-PT/Ak/PT/VII/2023,2023,09,2028-07-11
banpt-2450,Sekolah Tinggi Ilmu Hukum Gunung Jati,Baik,465/SK/BAN-PT/Ak/PT/VII/2023,2023,04,2028-07-11
banpt-2451,STT Agape Indonesia Misi Internasional (AIMI),Baik,462/SK/BAN-PT/Ak/PT/VII/2023,2023,PTAS,2028-07-11
banpt-2452,Sekolah Tinggi Agama Islam Mulia Astuti Wonogiri Jawa Tengah,Baik,461/SK/BAN-PT/Ak/PT/VII/2023,2023,PTAS,2028-07-11
banpt-2453,Universitas Nahdlatul Ulama Sumatera Barat,Baik,464/SK/BAN-PT/Ak/PT/VII/2023,2023,10,2028-07-11
banpt-2454,Sekolah Tinggi Teknologi Industri dan Farmasi Bogor,Baik,472/SK/BAN-PT/Ak.Ppj/PT/VII/2023,2023,04,2028-07-25
banpt-2455,Sekolah Tinggi Agama Buddha Negeri Raden Wijaya,B,470/SK/BAN-PT/Ak.Ppj/PT/VII/2023,2023,PTAN,2028-07-25
banpt-2456,Universitas Mega Buana Palopo,Baik Sekali,467/SK/BAN-PT/Ak/PT/VII/2023,2023,09,2028-07-11
banpt-2457,Universitas Mandiri,Baik,457/SK/BAN-PT/Ak.Ppj/PT/VII/2023,2023,04,2028-07-18
banpt-2458,AMIK Laksi-31,Tidak Terakreditasi,448/SK/BAN-PT/Ak-TMSP/PT/VII/2023,2023,03,
banpt-2459,Sekolah Tinggi Ilmu Ekonomi Bisnis Indonesia,Baik,449/SK/BAN-PT/Ak/PT/VII/2023,2023,03,2028-07-04
banpt-2460,Sekolah Tinggi Teologi Torsina,Baik,459/SK/BAN-PT/Ak.Ppj/PT/VII/2023,2023,PTAS,2028-07-18
banpt-2461,STIKES Pekanbaru Medical Center,Baik,458/SK/BAN-PT/Ak.Ppj/PT/VII/2023,2023,17,2028-07-18
banpt-2462,STISIP Veteran Palopo,Baik,460/SK/BAN-PT/Ak.Ppj/PT/VII/2023,2023,09,2028-07-18
banpt-2463,Universitas Sebelas Maret,Unggul,451/SK/BAN-PT/Ak.Ppj/PT/VII/2023,2023,PTN,2028-07-18
banpt-2464,STT Ebenhaezer Tanjung Enim,Baik,446/SK/BAN-PT/Ak.Ppj/PT/VI/2023,2023,PTAS,2028-07-10
banpt-2465,Akademi Pariwisata Denpasar,Baik,438/SK/BAN-PT/Ak/PT/VI/2023,2023,08,2028-06-27
banpt-2466,Akademi Militer Magelang,Unggul,439/SK/BAN-PT/Ak.KP/PT/VI/2023,2023,PTKL,2027-10-18
banpt-2467,Sekolah Tinggi Teknologi Payakumbuh,Baik,445/SK/BAN-PT/Ak.Ppj/PT/VI/2023,2023,10,2028-04-11
banpt-2468,Akademi Analis Kesehatan Delima Husada Gresik,Baik,442/SK/BAN-PT/Ak.Ppj/PT/VI/2023,2023,07,2028-06-07
banpt-2469,Universitas Labuhanbatu,B,444/SK/BAN-PT/Ak.Ppj/PT/VI/2023,2023,01,2028-07-10
banpt-2470,Akademi Kebidanan Banjarbaru,Baik,443/SK/BAN-PT/Ak.Ppj/PT/VI/2023,2023,11,2028-07-10
banpt-2471,STIMIK Tunas Bangsa Banjarnegara,Baik,437/SK/BAN-PT/Ak/PT/VI/2023,2023,06,2028-06-27
banpt-2472,Universitas Nurtanio,B,431/SK/BAN-PT/Ak.Ppj/PT/VI/2023,2023,04,2027-05-24
banpt-2473,Politeknik Bina Trada Semarang,Baik,427/SK/BAN-PT/Ak/PT/VI/2023,2023,06,2028-06-20
banpt-2474,Sekolah Tinggi Ilmu Kesehatan Kesehatan Baru,Baik,428/SK/BAN-PT/Ak/PT/VI/2023,2023,01,2028-06-20
banpt-2475,Politeknik ATMI,Baik Sekali,429/SK/BAN-PT/Ak/PT/VI/2023,2023,06,2028-06-20
banpt-2476,Universitas Ciputra Surabaya,Unggul,430/SK/BAN-PT/Ak.KP/PT/VI/2023,2023,07,2027-10-11
banpt-2477,Sekolah Tinggi Ilmu Kesehatan Sukabumi,B,432/SK/BAN-PT/Ak.Ppj/PT/VI/2023,2023,04,2027-10-11
banpt-2478,Sekolah Tinggi Ilmu Ekonomi Nasional,Baik,433/SK/BAN-PT/Ak/PT/VI/2023,2023,08,2028-06-20
banpt-2479,Institut Administrasi dan Kesehatan Setih Setio Muara Bungo,B,426/SK/BAN-PT/Ak-PNB/PT/VI/2023,2023,10,2027-05-10
banpt-2480,Universitas Ibnu Sina,B,419/SK/BAN-PT/Ak.Ppj/PT/VI/2023,2023,17,2028-06-27
banpt-2481,Sekolah Tinggi Manajemen Informatika dan Komputer Komputama Majenang,Baik,410/SK/BAN-PT/Ak/PT/VI/2023,2023,06,2028-06-13
banpt-2482,STIKPAR Toraja,Baik,411/SK/BAN-PT/Ak/PT/VI/2023,2023,PTAS,2028-06-13
banpt-2483,Sekolah Tinggi Khonghucu Indonesia,Baik,409/SK/BAN-PT/Ak/PT/VI/2023,2023,PTN,2028-06-13
banpt-2484,Institut Pertanian (Intan) Yogyakarta,Baik,407/SK/BAN-PT/Ak/PT/VI/2023,2023,05,2028-06-13
banpt-2485,Sekolah Tinggi Agama Islam Al-Barokah,Baik,408/SK/BAN-PT/Ak/PT/VI/2023,2023,PTAS,2028-06-13
banpt-2486,Politeknik Ubaya,Baik Sekali,405/SK/BAN-PT/Ak.KP/PT/VI/2023,2023,07,2028-02-21
banpt-2487,Universitas Ngudi Waluyo,Baik Sekali,406/SK/BAN-PT/Ak.KP/PT/VI/2023,2023,06,2027-10-11
banpt-2488,Institut Teknologi dan Bisnis Bina Sarana Global,B,414/SK/BAN-PT/Ak.Ppj/PT/VI/2023,2023,04,2028-06-27
banpt-2489,Sekolah Tinggi Ilmu Ekonomi KBP,B,421/SK/BAN-PT/Ak.Ppj/PT/VI/2023,2023,10,2028-06-27
banpt-2490,Sekolah Tinggi Ilmu Ekonomi Wibawa Karta Raharja,Baik,422/SK/BAN-PT/Ak.Ppj/PT/VI/2023,2023,04,2028-06-27
banpt-2491,Universitas Amir Hamzah,Baik,423/SK/BAN-PT/Ak.Ppj/PT/VI/2023,2023,01,2028-06-27
banpt-2492,Universitas Maritim Raja Ali Haji (UMRAH),Baik Sekali,418/SK/BAN-PT/Ak.Ppj/PT/VI/2023,2023,PTN,2028-06-27
banpt-2493,Politeknik Pelayaran Malahayati,Baik,413/SK/BAN-PT/Ak/PT/VI/2023,2023,PTKL,2028-06-13
banpt-2494,Poltekkes Kemenkes Jakarta III,Baik Sekali,403/SK/BAN-PT/Ak.KP/PT/VI/2023,2023,PTKL,2027-10-11
banpt-2495,Sekolah Tinggi Ilmu Kesehatan Harapan Ibu Jambi,Baik Sekali,399/SK/BAN-PT/Ak/PT/VI/2023,2023,10,2028-06-06
banpt-2496,Sekolah Tinggi Ilmu Pemerintahan Abdi Negara,Baik,400/SK/BAN-PT/Ak/PT/VI/2023,2023,03,2028-06-06
banpt-2497,Universitas Batanghari Jambi,Baik Sekali,401/SK/BAN-PT/Ak/PT/VI/2023,2023,10,2028-06-06
banpt-2498,Universitas Nahdlatul Ulama Lampung,Baik,402/SK/BAN-PT/Ak/PT/VI/2023,2023,02,2028-06-06
banpt-2499,Universitas Nahdlatul Ulama Kalimantan Timur,Baik,391/SK/BAN-PT/Ak/PT/V/2023,2023,11,2028-05-30
banpt-2500,Sekolah Tinggi Agama Katolik Negeri Pontianak,Baik,389/SK/BAN-PT/Ak/PT/V/2023,2023,PTAN,2028-05-30
banpt-2501,Universitas Galuh,Baik Sekali,394/SK/BAN-PT/Ak.KP/PT/V/2023,2023,04,2027-11-01
banpt-2502,Sekolah Tinggi Ilmu Kesehatan Wira Husada,Baik Sekali,392/SK/BAN-PT/Ak.KP/PT/V/2023,2023,05,2027-10-11
banpt-2503,Universitas Ahmad Dahlan,Unggul,393/SK/BAN-PT/Ak.KP/PT/V/2023,2023,05,2027-10-11
banpt-2504,STT TRINITY PARAPAT,Baik,390/SK/BAN-PT/Ak/PT/V/2023,2023,PTAS,2028-05-30
banpt-2505,Institut Kesehatan dan Teknologi Al Insyirah,Baik,386/SK/BAN-PT/Ak-PNB/PT/V/2023,2023,17,2025-12-08
banpt-2506,Universitas Bumi Persada,Baik,387/SK/BAN-PT/Ak-PNB/PT/V/2023,2023,13,2026-07-13
banpt-2507,Sekolah Tinggi Teknologi Indonesia,Tidak Terakreditasi,384/SK/BAN-PT/Ak-TMSP/PT/V/2023,2023,03,
banpt-2508,STIT Al-Khairiyah Citangkil Cilegon,Baik,376/SK/BAN-PT/Ak/PT/V/2023,2023,PTAS,2028-05-24
banpt-2509,Politeknik Sahid,Baik Sekali,383/SK/BAN-PT/Ak/PT/V/2023,2023,03,2028-05-24
banpt-2510,Universitas Pesantren Tinggi Darul  ulum,Baik Sekali,377/SK/BAN-PT/Ak/PT/V/2023,2023,07,2028-05-24
banpt-2511,Sekolah Tinggi Ilmu Kesehatan Tarumanagara,Baik,385/SK/BAN-PT/Ak/PT/V/2023,2023,03,2028-05-24
banpt-2512,"STAI Al-Furqan Makassar, Sulawesi Selatan",Baik,375/SK/BAN-PT/Ak.Ppj/PT/V/2023,2023,PTAS,2028-06-07
banpt-2513,Universitas Darussalam Gontor,Unggul,363/SK/BAN-PT/Ak/PT/V/2023,2023,07,2028-05-23
banpt-2514,Sekolah Tinggi Ilmu Manajemen dan Ilmu Komputer ESQ,Baik,358/SK/BAN-PT/Ak/PT/V/2023,2023,03,2028-05-23
banpt-2515,Sekolah Tinggi Ilmu Tarbiyah Batubara,Baik,359/SK/BAN-PT/Ak/PT/V/2023,2023,PTAS,2028-05-23
banpt-2516,Sekolah Tinggi Ilmu Ekonomi Studi Ekonomi Modern,Baik,357/SK/BAN-PT/Ak/PT/V/2023,2023,06,2028-05-23
banpt-2517,Akademi Komunitas Negeri Pacitan,Baik,361/SK/BAN-PT/Ak/PT/V/2023,2023,PTN,2028-05-23
banpt-2518,Sekolah Tinggi Ilmu Ekonomi Krakatau,Baik,356/SK/BAN-PT/Ak/PT/V/2023,2023,02,2028-05-23
banpt-2519,Universitas Komputer Indonesia,Unggul,364/SK/BAN-PT/Ak/PT/V/2023,2023,04,2028-05-23
banpt-2520,AMIK Citra Buana Indonesia,Baik,362/SK/BAN-PT/Ak/PT/V/2023,2023,04,2028-05-23
banpt-2521,Universitas Dwijendra,Baik Sekali,366/SK/BAN-PT/Ak.KP/PT/V/2023,2023,08,2027-09-13
banpt-2522,Sekolah Tinggi Ilmu Kesehatan Duta Gama Klaten,Baik,374/SK/BAN-PT/Ak.Ppj/PT/V/2023,2023,06,2028-06-07
banpt-2523,Universitas Faletehan,Baik,373/SK/BAN-PT/Ak.Ppj/PT/V/2023,2023,04,2028-06-07
banpt-2524,Politeknik Ganesha Medan,Baik,372/SK/BAN-PT/Ak.Ppj/PT/V/2023,2023,01,2028-06-07
banpt-2525,Universitas Iqra Buru,Baik,360/SK/BAN-PT/Ak/PT/V/2023,2023,12,2028-05-23
banpt-2526,Universitas Triatma Mulya,Baik Sekali,346/SK/BAN-PT/Ak/PT/V/2023,2023,08,2028-05-16
banpt-2527,Sekolah Tinggi Agama Islam Ash-Shiddiqiyah Lempuing Jaya OKI,Baik,345/SK/BAN-PT/Ak/PT/V/2023,2023,PTAS,2028-05-16
banpt-2528,Universitas Bondowoso,Baik,354/SK/BAN-PT/Ak.Ppj/PT/V/2023,2023,07,2027-10-11
banpt-2529,Sekolah Tinggi Ilmu Manajemen Sukma,B,352/SK/BAN-PT/Ak.Ppj/PT/V/2023,2023,01,2028-04-04
banpt-2530,Politeknik Palcomtech,Baik,350/SK/BAN-PT/Ak.Ppj/PT/V/2023,2023,02,2028-05-31
banpt-2531,Sekolah Tinggi Ilmu Ekonomi Ekuitas,B,351/SK/BAN-PT/Ak.Ppj/PT/V/2023,2023,04,2028-05-31
banpt-2532,STISIP Widyapuri Mandiri,Baik,355/SK/BAN-PT/Ak.Ppj/PT/V/2023,2023,04,2028-05-31
banpt-2533,Institut Bisnis Dan Teknologi Pelita Indonesia,B,349/SK/BAN-PT/Ak.Ppj/PT/V/2023,2023,17,2028-05-31
banpt-2534,Akademi Keperawatan Kesdam II Sriwijaya,Baik Sekali,344/SK/BAN-PT/Ak/PT/V/2023,2023,02,2028-05-16
banpt-2535,STKIP Riama,Tidak Terakreditasi,333/SK/BAN-PT/Ak-TMSP/PT/V/2023,2023,01,
banpt-2536,Sekolah Tinggi Teologi Anugerah Misi Nias Barat,Baik,332/SK/BAN-PT/Ak/PT/V/2023,2023,PTAS,2028-05-10
banpt-2537,Universitas Putra Bangsa,Baik Sekali,338/SK/BAN-PT/Ak.KP/PT/V/2023,2023,06,2027-09-06
banpt-2538,Universitas Atma Jaya Yogyakarta,Unggul,335/SK/BAN-PT/Ak.KP/PT/V/2023,2023,05,2028-03-28
banpt-2539,Poltekkes Kemenkes Surabaya,Baik Sekali,334/SK/BAN-PT/Ak.KP/PT/V/2023,2023,PTKL,2027-10-11
banpt-2540,Universitas Langlang Buana,Baik Sekali,337/SK/BAN-PT/Ak.KP/PT/V/2023,2023,04,2027-10-25
banpt-2541,Universitas Dhyana Pura,Baik Sekali,336/SK/BAN-PT/Ak.KP/PT/V/2023,2023,08,2027-11-01
banpt-2542,Akademi Keperawatan Baiturrahmah,Baik,343/SK/BAN-PT/Ak.Ppj/PT/V/2023,2023,10,2028-05-24
banpt-2543,Sekolah Tinggi Agama Islam Al Hidayah Tasikmalaya,Baik,339/SK/BAN-PT/Ak-PNB/PT/V/2023,2023,PTAS,2026-05-11
banpt-2544,Akademi Komunitas Negeri Aceh Barat,Baik,331/SK/BAN-PT/Ak/PT/V/2023,2023,PTN,2028-05-10
banpt-2545,Sekolah Tinggi Teologi Baptis Medan,Baik,327/SK/BAN-PT/Ak.Ppj/PT/V/2023,2023,PTAS,2028-05-16
banpt-2546,Institut Seni Indonesia Yogyakarta,A,325/SK/BAN-PT/Ak.Ppj/PT/V/2023,2023,PTN,2028-05-16
banpt-2547,Universitas Muhammadiyah Kupang,B,328/SK/BAN-PT/Ak.Ppj/PT/V/2023,2023,15,2027-10-11
banpt-2548,Sekolah Tinggi Ilmu Tarbiyah INSIDA,Baik,326/SK/BAN-PT/Ak.Ppj/PT/V/2023,2023,PTAS,2027-08-16
banpt-2549,Institut Agama Hindu Negeri Gde Pudja Mataram,Baik,320/SK/BAN-PT/Ak/PT/V/2023,2023,PTAN,2028-05-02
banpt-2550,Institut Agama Islam Darussalam Blokagung Banyuwangi,Baik,321/SK/BAN-PT/Ak/PT/V/2023,2023,PTAS,2028-05-02
banpt-2551,Institut Agama Islam Kotamobagu,Baik,322/SK/BAN-PT/Ak/PT/V/2023,2023,PTAS,2028-05-02
banpt-2552,Politeknik Jakarta Internasional,Baik,312/SK/BAN-PT/Ak/PT/IV/2023,2023,03,2028-04-26
banpt-2553,Universitas Antakusuma,Baik,313/SK/BAN-PT/Ak/PT/IV/2023,2023,11,2028-04-26
banpt-2554,STMIK Widya Utama,Baik,314/SK/BAN-PT/Ak/PT/IV/2023,2023,06,2028-04-26
banpt-2555,Institut Teknologi Kesehatan dan Sains Wiyata Husada Samarinda,Baik Sekali,297/SK/BAN-PT/Ak/PT/IV/2023,2023,11,2028-04-26
banpt-2556,Sekolah Tinggi Ilmu Sosial Dan Politik Fajar Timur,Baik,315/SK/BAN-PT/Ak/PT/IV/2023,2023,15,2028-04-26
banpt-2557,Universitas PGRI Silampari,Baik Sekali,298/SK/BAN-PT/Ak/PT/IV/2023,2023,02,2028-04-26
banpt-2558,Sekolah Tinggi Ilmu Dakwah Raudlatul Iman Sumenep Jawa Timur,Baik,316/SK/BAN-PT/Ak/PT/IV/2023,2023,PTAS,2028-04-26
banpt-2559,Akademi Pariwisata Nusantara Jaya,Baik,317/SK/BAN-PT/Ak/PT/IV/2023,2023,03,2028-04-26
banpt-2560,Akademi Komunitas Teknologi Syarifuddin,Baik,299/SK/BAN-PT/Ak/PT/IV/2023,2023,07,2028-04-26
banpt-2561,"Sekolah Tinggi Ilmu Hukum Prof. Dr. Yohanes Usfunan, SH, MH",Baik,311/SK/BAN-PT/Ak/PT/IV/2023,2023,15,2028-04-26
banpt-2562,Politeknik Kelautan dan Perikanan Sidoarjo,Baik Sekali,310/SK/BAN-PT/Ak/PT/IV/2023,2023,PTKL,2028-04-26
banpt-2563,Sekolah Tinggi Filsafat Seminari Pineleng,B,304/SK/BAN-PT/Ak.Ppj/PT/IV/2023,2023,16,2028-03-28
banpt-2564,STMIK PPKIA Pradnya Paramita,B,303/SK/BAN-PT/Ak.Ppj/PT/IV/2023,2023,07,2027-08-16
banpt-2565,Sekolah Tinggi Pariwisata  Soromandi Bima,Baik,296/SK/BAN-PT/Ak/PT/IV/2023,2023,08,2028-04-26
banpt-2566,Sekolah Tinggi Ilmu Kesehatan Gunung Sari,Baik,309/SK/BAN-PT/Ak/PT/IV/2023,2023,09,2028-04-26
banpt-2567,Sekolah Tinggi Ilmu Syariah Nurul Qarnain,Baik,300/SK/BAN-PT/Ak/PT/IV/2023,2023,PTAS,2028-04-26
banpt-2568,Sekolah Tinggi Ilmu Farmasi Riau,Baik Sekali,280/SK/BAN-PT/Ak.KP/PT/IV/2023,2023,17,2027-09-13
banpt-2569,Universitas 17 Agustus 1945 Semarang,Baik Sekali,281/SK/BAN-PT/Ak.KP/PT/IV/2023,2023,06,2027-08-16
banpt-2570,Universitas Setia Budi,Baik Sekali,282/SK/BAN-PT/Ak.KP/PT/IV/2023,2023,06,2027-09-13
banpt-2571,Universitas Muhammadiyah Jambi,Baik Sekali,278/SK/BAN-PT/Ak/PT/IV/2023,2023,10,2028-04-18
banpt-2572,Sekolah Tinggi Ilmu Kesehatan Persada Nabire,Baik,276/SK/BAN-PT/Ak/PT/IV/2023,2023,14,2028-04-18
banpt-2573,Universitas Nahdlatul Ulama Kalimantan Selatan,Baik,279/SK/BAN-PT/Ak/PT/IV/2023,2023,11,2028-04-18
banpt-2574,Universitas Katolik De La Salle,B,285/SK/BAN-PT/Ak.Ppj/PT/IV/2023,2023,16,2028-05-03
banpt-2575,Akademi Farmasi Yamasi Makassar,Baik,286/SK/BAN-PT/Ak.Ppj/PT/IV/2023,2023,09,2028-05-03
banpt-2576,Sekolah Tinggi Teologi Injili Indonesia Purwokerto,Baik,277/SK/BAN-PT/Ak/PT/IV/2023,2023,PTAS,2028-04-18
banpt-2577,Politeknik Kesehatan YBA Bandung,Baik,273/SK/BAN-PT/Ak-PNB/PT/IV/2023,2023,04,2026-07-21
banpt-2578,Poltekkes Kemenkes Mataram,B,268/SK/BAN-PT/Ak.Ppj/PT/IV/2023,2023,PTKL,2028-04-25
banpt-2579,Akademi Keperawatan Berkala Widya Husada,Baik,256/SK/BAN-PT/Ak/PT/IV/2023,2023,03,2028-04-11
banpt-2580,Sekolah Tinggi Ilmu Ekonomi Rajawali,Baik,257/SK/BAN-PT/Ak/PT/IV/2023,2023,06,2028-04-11
banpt-2581,Sekolah Tinggi Kesehatan Bina Cipta Husada,Baik,258/SK/BAN-PT/Ak/PT/IV/2023,2023,06,2028-04-11
banpt-2582,STIT Al-Ishlah Bondowoso,Baik,252/SK/BAN-PT/Ak/PT/IV/2023,2023,PTAS,2028-04-11
banpt-2583,Akademi Manajemen Komputer dan Informatika Ketapang,Baik,249/SK/BAN-PT/Ak/PT/IV/2023,2023,11,2028-04-11
banpt-2584,Universitas Perjuangan Tasikmalaya,Baik,254/SK/BAN-PT/Ak/PT/IV/2023,2023,04,2028-04-11
banpt-2585,STMIK Lombok,Baik,253/SK/BAN-PT/Ak/PT/IV/2023,2023,08,2028-04-11
banpt-2586,Akademi Farmasi Kusuma Husada Purwokerto,Baik,255/SK/BAN-PT/Ak/PT/IV/2023,2023,06,2028-04-11
banpt-2587,STIPER Santo Thomas Aquinas Jayapura,Baik,251/SK/BAN-PT/Ak/PT/IV/2023,2023,14,2028-04-11
banpt-2588,Poltekkes Kemenkes Surakarta,Baik Sekali,261/SK/BAN-PT/Ak.KP/PT/IV/2023,2023,PTKL,2027-08-16
banpt-2589,Universitas Katolik Soegijapranata,Unggul,263/SK/BAN-PT/Ak.KP/PT/IV/2023,2023,06,2027-01-27
banpt-2590,STIT Syamsul Ma`arif Bontang,Baik,270/SK/BAN-PT/Ak.Ppj/PT/IV/2023,2023,PTAS,2028-04-25
banpt-2591,Sekolah Tinggi Ilmu Ekonomi AMM,Baik,269/SK/BAN-PT/Ak.Ppj/PT/IV/2023,2023,08,2028-04-25
banpt-2592,Politeknik Pertanian Negeri Payakumbuh,B,267/SK/BAN-PT/Ak.Ppj/PT/IV/2023,2023,PTN,2028-04-25
banpt-2593,Universitas Islam Nahdlatul Ulama Jepara,Baik Sekali,262/SK/BAN-PT/Ak.KP/PT/IV/2023,2023,06,2027-10-11
banpt-2594,Poltekkes Kemenkes Jakarta II,Baik Sekali,260/SK/BAN-PT/Ak.KP/PT/IV/2023,2023,PTKL,2027-08-16
banpt-2595,Akademi Pariwisata Citra Buana Indonesia,Baik,250/SK/BAN-PT/Ak/PT/IV/2023,2023,04,2028-04-11
banpt-2596,Sekolah Tinggi Ilmu Islam dan Bahasa Arab (STIBA) Makassar,Baik,244/SK/BAN-PT/Ak.Ppj/PT/IV/2023,2023,PTAS,2028-04-18
banpt-2597,Sekolah Tinggi Ilmu Ekonomi Mujahidin,Baik,245/SK/BAN-PT/Ak.Ppj/PT/IV/2023,2023,16,2028-04-18
banpt-2598,Sekolah Tinggi Ilmu Ekonomi Al-Madani,Baik,243/SK/BAN-PT/Ak/PT/IV/2023,2023,02,2028-04-04
banpt-2599,Universitas Nusantara Manado,Baik,247/SK/BAN-PT/Ak/PT/IV/2023,2023,16,2028-04-04
banpt-2600,Politeknik Penerbangan Jayapura,Baik,242/SK/BAN-PT/Ak/PT/IV/2023,2023,PTKL,2028-04-04
