quipper_code,rencanamu_code,banpt_code,pddikti_code,faculty,prodi,prodi_normalized,edu_level,accreditation,institution_code,cluster_kmodes,cluster_category
-,-,banpt-3107,-,-,PENDIDIKAN GURU SEKOLAH DASAR,GURU SEKOLAH DASAR,S1,BAIK,1464,0,Ekonomi & Bisnis
-,-,banpt-3107,-,-,PENDIDIKAN JASMANI KESEHATAN DAN REKREASI,JASMANI,S1,BAIK SEKALI,1464,0,Ekonomi & Bisnis
-,-,banpt-3107,-,-,PENDIDIKAN MATEMATIKA,MATEMATIKA,S1,BAIK,1464,0,Ekonomi & Bisnis
-,-,banpt-3107,-,-,PENDIDIKAN IPA,PENGETAHUAN ALAM,S1,BAIK,1464,0,Ekonomi & Bisnis
-,-,banpt-3239,-,-,PENDIDIKAN GURU SEKOLAH DASAR,GURU SEKOLAH DASAR,S1,BAIK,1160,0,Ekonomi & Bisnis
-,-,banpt-2797,-,-,PENDIDIKAN ANAK USIA DINI,GURU ANAK USIA DINI,S1,BAIK,810,0,Ekonomi & Bisnis
-,-,banpt-2797,-,-,PENDIDIKAN JASMANI KESEHATAN DAN REKREASI,JASMANI,S1,BAIK SEKALI,810,0,Ekonomi & Bisnis
-,-,banpt-1590,-,-,BIMBINGAN DAN KONSELING,BIMBINGAN KONSELING,S1,BAIK,1328,0,Ekonomi & Bisnis
-,-,banpt-1590,-,-,PENDIDIKAN EKONOMI,EKONOMI,S1,BAIK,1328,0,Ekonomi & Bisnis
-,-,banpt-1229,-,-,PENDIDIKAN GURU SEKOLAH DASAR,GURU SEKOLAH DASAR,S1,BAIK,1449,0,Ekonomi & Bisnis
-,-,banpt-1627,-,-,PENDIDIKAN GURU SEKOLAH DASAR,GURU SEKOLAH DASAR,S1,BAIK,1429,0,Ekonomi & Bisnis
-,-,banpt-1627,-,-,PENDIDIKAN MATEMATIKA,MATEMATIKA,S1,BAIK,1429,0,Ekonomi & Bisnis
-,-,banpt-1627,-,-,PENDIDIKAN TEKNOLOGI INFORMASI,TEKNOLOGI INFORMASI,S1,BAIK,1429,0,Ekonomi & Bisnis
-,-,banpt-1295,-,-,PENDIDIKAN MATEMATIKA,MATEMATIKA,S1,BAIK,1214,0,Ekonomi & Bisnis
-,-,banpt-1295,-,-,PENDIDIKAN OLAHRAGA,OLAHRAGA,S1,BAIK,1214,0,Ekonomi & Bisnis
-,-,banpt-3964,-,-,PENDIDIKAN GURU PENDIDIKAN ANAK USIA DINI,GURU ANAK USIA DINI,S1,BAIK,742,0,Ekonomi & Bisnis
-,-,banpt-3575,-,-,PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,PANCASILA KEWARGANEGARAAN,S1,BAIK,1056,0,Ekonomi & Bisnis
-,-,banpt-1929,-,-,PENDIDIKAN MATEMATIKA,MATEMATIKA,S1,BAIK,892,0,Ekonomi & Bisnis
quipper-442,-,banpt-3780,-,ILMU PENDIDIKAN,PENDIDIKAN GURU SEKOLAH DASAR,GURU SEKOLAH DASAR,S1,B,1460,0,Ekonomi & Bisnis
-,-,banpt-3780,-,-,PENDIDIKAN JASMANI,JASMANI,S1,B,1460,0,Ekonomi & Bisnis
quipper-442,-,-,-,ILMU PENDIDIKAN,PENDIDIKAN MATEMATIKA,MATEMATIKA,S1,-,1460,0,Ekonomi & Bisnis
quipper-442,-,-,-,ILMU PENDIDIKAN,TEKNIK MESIN,MESIN,S1,-,1460,0,Ekonomi & Bisnis
quipper-442,-,-,-,ILMU PENDIDIKAN,PENDIDIKAN OLAHRAGA,OLAHRAGA,S1,-,1460,0,Ekonomi & Bisnis
-,-,banpt-1196,-,-,PENDIDIKAN MATEMATIKA,MATEMATIKA,S1,BAIK,1321,0,Ekonomi & Bisnis
-,-,banpt-1196,-,-,PENDIDIKAN ILMU PENGETAHUAN ALAM,PENGETAHUAN ALAM,S1,BAIK,1321,0,Ekonomi & Bisnis
-,-,banpt-2151,-,-,PENDIDIKAN GEOGRAFI,GEOGRAFI,S1,BAIK,224,0,Ekonomi & Bisnis
-,-,banpt-2151,-,-,PENDIDIKAN GURU SEKOLAH DASAR,GURU SEKOLAH DASAR,S1,BAIK,224,0,Ekonomi & Bisnis
-,-,banpt-2151,-,-,PENDIDIKAN SEJARAH,SEJARAH,S1,BAIK,224,0,Ekonomi & Bisnis
-,-,banpt-3114,-,-,PENDIDIKAN FISIKA,FISIKA,S1,BAIK,453,0,Ekonomi & Bisnis
-,-,banpt-3114,-,-,PENDIDIKAN MATEMATIKA,MATEMATIKA,S1,B,453,0,Ekonomi & Bisnis
-,-,banpt-3114,-,-,PENDIDIKAN SEJARAH,SEJARAH,S1,BAIK SEKALI,453,0,Ekonomi & Bisnis
-,-,banpt-3114,-,-,PENDIDIKAN TEKNOLOGI INFORMASI,TEKNOLOGI INFORMASI,S1,BAIK,453,0,Ekonomi & Bisnis
-,-,banpt-875,-,-,PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,PANCASILA KEWARGANEGARAAN,S1,BAIK,914,0,Ekonomi & Bisnis
quipper-41,-,-,-,SARJANA,PENDIDIKAN TEOLOGI,TEOLOGI,S1,-,639,0,Ekonomi & Bisnis
-,-,banpt-1848,-,-,PENDIDIKAN GURU PENDIDIKAN ANAK USIA DINI,GURU ANAK USIA DINI,S1,BAIK,1488,0,Ekonomi & Bisnis
-,-,banpt-1848,-,-,PENDIDIKAN GURU SEKOLAH DASAR,GURU SEKOLAH DASAR,S1,BAIK,1488,0,Ekonomi & Bisnis
-,-,banpt-437,-,-,TEKNIK INFORMATIKA,INFORMATIKA,S1,BAIK,25,0,Ekonomi & Bisnis
-,-,banpt-437,-,-,SISTEM INFORMASI,SISTEM INFORMASI,S1,BAIK,25,0,Ekonomi & Bisnis
-,-,banpt-1805,-,-,TEKNIK INFORMATIKA,INFORMATIKA,S1,BAIK SEKALI,1450,0,Ekonomi & Bisnis
-,-,banpt-1805,-,-,SISTEM INFORMASI,SISTEM INFORMASI,S1,BAIK,1450,0,Ekonomi & Bisnis
-,-,banpt-2352,-,-,DESAIN KOMUNIKASI VISUAL,DESAIN KOMUNIKASI VISUAL,S1,TERAKREDITASI SEMENTARA,537,0,Ekonomi & Bisnis
-,-,banpt-2352,-,-,SISTEM INFORMASI,SISTEM INFORMASI,S1,BAIK SEKALI,537,0,Ekonomi & Bisnis
-,-,banpt-2078,-,-,TEKNIK INFORMATIKA,INFORMATIKA,S1,BAIK,1212,0,Ekonomi & Bisnis
-,-,banpt-2078,-,-,SISTEM INFORMASI,SISTEM INFORMASI,S1,BAIK,1212,0,Ekonomi & Bisnis
-,-,banpt-2232,-,-,TEKNIK INFORMATIKA,INFORMATIKA,S1,BAIK,85,0,Ekonomi & Bisnis
-,-,banpt-2232,-,-,SISTEM INFORMASI,SISTEM INFORMASI,S1,BAIK,85,0,Ekonomi & Bisnis
-,-,banpt-4019,-,-,TEKNIK INFORMATIKA,INFORMATIKA,S1,BAIK SEKALI,826,0,Ekonomi & Bisnis
-,-,banpt-4019,-,-,SISTEM INFORMASI,SISTEM INFORMASI,S1,BAIK SEKALI,826,0,Ekonomi & Bisnis
-,-,banpt-348,-,-,TEKNIK INFORMATIKA,INFORMATIKA,S1,BAIK SEKALI,1146,0,Ekonomi & Bisnis
-,-,banpt-348,-,-,SISTEM INFORMASI,SISTEM INFORMASI,S1,BAIK,1146,0,Ekonomi & Bisnis
-,-,banpt-2407,-,-,TEKNIK INFORMATIKA,INFORMATIKA,S1,BAIK SEKALI,1260,0,Ekonomi & Bisnis
-,-,banpt-2407,-,-,SISTEM INFORMASI,SISTEM INFORMASI,S1,BAIK,1260,0,Ekonomi & Bisnis
-,-,banpt-3698,-,-,SISTEM INFORMASI,SISTEM INFORMASI,S1,BAIK,1014,0,Ekonomi & Bisnis
-,-,banpt-3290,-,-,SISTEM INFORMASI,SISTEM INFORMASI,S1,BAIK,1377,0,Ekonomi & Bisnis
-,-,banpt-3290,-,-,SISTEM KOMPUTER,SISTEM KOMPUTER,S1,BAIK,1377,0,Ekonomi & Bisnis
-,-,banpt-1421,-,-,SISTEM INFORMASI,SISTEM INFORMASI,S1,BAIK,1332,0,Ekonomi & Bisnis
-,-,banpt-1421,-,-,TEKNOLOGI INFORMASI,TEKNOLOGI INFORMASI,S1,BAIK,1332,0,Ekonomi & Bisnis
-,-,banpt-108,-,-,TEKNIK INFORMATIKA,INFORMATIKA,S1,BAIK SEKALI,788,0,Ekonomi & Bisnis
-,-,banpt-2210,-,-,TEKNIK INFORMATIKA,INFORMATIKA,S1,BAIK SEKALI,1075,0,Ekonomi & Bisnis
-,-,banpt-2210,-,-,REKAYASA PERANGKAT LUNAK,REKAYASA PERANGKAT LUNAK,S1,BAIK,1075,0,Ekonomi & Bisnis
-,-,banpt-2210,-,-,SISTEM INFORMASI,SISTEM INFORMASI,S1,BAIK,1075,0,Ekonomi & Bisnis
-,-,banpt-1978,-,-,TEKNIK INFORMATIKA,INFORMATIKA,S1,BAIK,797,0,Ekonomi & Bisnis
-,-,banpt-1978,-,-,SISTEM INFORMASI,SISTEM INFORMASI,S1,BAIK,797,0,Ekonomi & Bisnis
-,-,banpt-3659,-,-,SISTEM INFORMASI,SISTEM INFORMASI,S1,BAIK,1279,0,Ekonomi & Bisnis
-,-,banpt-3659,-,-,SISTEM KOMPUTER,SISTEM KOMPUTER,S1,BAIK,1279,0,Ekonomi & Bisnis
-,-,banpt-2839,-,-,TEKNIK INFORMATIKA,INFORMATIKA,S1,BAIK,1339,0,Ekonomi & Bisnis
-,-,banpt-2839,-,-,SISTEM INFORMASI,SISTEM INFORMASI,S1,BAIK SEKALI,1339,0,Ekonomi & Bisnis
-,-,banpt-1829,-,-,TEKNIK INFORMATIKA,INFORMATIKA,S1,BAIK SEKALI,1157,0,Ekonomi & Bisnis
-,-,banpt-1829,-,-,SISTEM INFORMASI,SISTEM INFORMASI,S1,BAIK SEKALI,1157,0,Ekonomi & Bisnis
-,-,banpt-3137,-,-,BISNIS DIGITAL,BISNIS DIGITAL,S1,BAIK,754,0,Ekonomi & Bisnis
-,-,banpt-3137,-,-,TEKNIK INFORMATIKA,INFORMATIKA,S1,BAIK,754,0,Ekonomi & Bisnis
-,-,banpt-3137,-,-,SISTEM INFORMASI,SISTEM INFORMASI,S1,B,754,0,Ekonomi & Bisnis
-,-,banpt-3667,-,-,ILMU KOMPUTER,KOMPUTER,S1,BAIK,1447,0,Ekonomi & Bisnis
-,-,banpt-3667,-,-,SISTEM INFORMASI,SISTEM INFORMASI,S1,BAIK,1447,0,Ekonomi & Bisnis
-,-,banpt-3667,-,-,TEKNOLOGI INFORMASI,TEKNOLOGI INFORMASI,S1,BAIK,1447,0,Ekonomi & Bisnis
-,-,banpt-1262,-,-,TEKNIK INFORMATIKA,INFORMATIKA,S1,C,1105,0,Ekonomi & Bisnis
-,-,banpt-1262,-,-,SISTEM INFORMASI,SISTEM INFORMASI,S1,BAIK,1105,0,Ekonomi & Bisnis
-,-,banpt-931,-,-,SISTEM INFORMASI,SISTEM INFORMASI,S1,BAIK,489,0,Ekonomi & Bisnis
-,-,banpt-2585,-,-,TEKNIK INFORMATIKA,INFORMATIKA,S1,BAIK SEKALI,908,0,Ekonomi & Bisnis
-,-,banpt-2585,-,-,SISTEM INFORMASI,SISTEM INFORMASI,S1,BAIK SEKALI,908,0,Ekonomi & Bisnis
-,-,banpt-3396,-,-,TEKNIK INFORMATIKA,INFORMATIKA,S1,BAIK SEKALI,853,0,Ekonomi & Bisnis
-,-,banpt-1921,-,-,TEKNIK INFORMATIKA,INFORMATIKA,S1,BAIK SEKALI,1378,0,Ekonomi & Bisnis
-,-,banpt-1921,-,-,SISTEM INFORMASI,SISTEM INFORMASI,S1,BAIK SEKALI,1378,0,Ekonomi & Bisnis
-,-,banpt-2666,-,-,TEKNIK INFORMATIKA,INFORMATIKA,S1,BAIK,1276,0,Ekonomi & Bisnis
-,-,banpt-2666,-,-,SISTEM INFORMASI,SISTEM INFORMASI,S1,BAIK,1276,0,Ekonomi & Bisnis
-,-,banpt-420,-,-,TEKNIK INFORMATIKA,INFORMATIKA,S1,BAIK,1259,0,Ekonomi & Bisnis
-,-,banpt-420,-,-,SISTEM INFORMASI,SISTEM INFORMASI,S1,BAIK,1259,0,Ekonomi & Bisnis
-,-,banpt-759,-,-,TEKNIK INFORMATIKA,INFORMATIKA,S1,BAIK SEKALI,806,0,Ekonomi & Bisnis
-,-,banpt-759,-,-,SISTEM INFORMASI,SISTEM INFORMASI,S1,BAIK,806,0,Ekonomi & Bisnis
-,-,banpt-4003,-,-,TEKNIK INFORMATIKA,INFORMATIKA,S1,BAIK SEKALI,1032,0,Ekonomi & Bisnis
-,-,banpt-4003,-,-,SISTEM INFORMASI,SISTEM INFORMASI,S1,BAIK SEKALI,1032,0,Ekonomi & Bisnis
-,-,banpt-1397,-,-,TEKNIK INFORMATIKA,INFORMATIKA,S1,BAIK,759,0,Ekonomi & Bisnis
-,-,banpt-1397,-,-,KECERDASAN BUATAN,KECERDASAN BUATAN,S1,BAIK,759,0,Ekonomi & Bisnis
-,-,banpt-1397,-,-,REKAYASA PERANGKAT LUNAK,REKAYASA PERANGKAT LUNAK,S1,BAIK,759,0,Ekonomi & Bisnis
-,-,banpt-1397,-,-,SISTEM DAN TEKNOLOGI INFORMASI,SISTEM INFORMASI,S1,BAIK,759,0,Ekonomi & Bisnis
-,-,banpt-2709,-,-,TEKNIK INFORMATIKA,INFORMATIKA,S1,BAIK SEKALI,960,0,Ekonomi & Bisnis
-,-,banpt-1291,-,-,TEKNIK INFORMATIKA,INFORMATIKA,S1,BAIK,1300,0,Ekonomi & Bisnis
-,-,banpt-1291,-,-,SISTEM INFORMASI,SISTEM INFORMASI,S1,BAIK,1300,0,Ekonomi & Bisnis
-,-,banpt-574,-,-,TEKNIK INFORMATIKA,INFORMATIKA,S1,BAIK SEKALI,791,0,Ekonomi & Bisnis
-,-,banpt-2564,-,-,TEKNIK INFORMATIKA,INFORMATIKA,S1,BAIK,1150,0,Ekonomi & Bisnis
-,-,banpt-2564,-,-,TEKNOLOGI INFORMASI,TEKNOLOGI INFORMASI,S1,BAIK SEKALI,1150,0,Ekonomi & Bisnis
-,-,banpt-3216,-,-,TEKNIK INFORMATIKA,INFORMATIKA,S1,BAIK,822,0,Ekonomi & Bisnis
-,-,banpt-3216,-,-,SISTEM INFORMASI,SISTEM INFORMASI,S1,BAIK,822,0,Ekonomi & Bisnis
-,-,banpt-2355,-,-,ILMU KOMPUTER,KOMPUTER,S1,BAIK,1057,0,Ekonomi & Bisnis
-,-,banpt-2355,-,-,SISTEM INFORMASI,SISTEM INFORMASI,S1,BAIK SEKALI,1057,0,Ekonomi & Bisnis
-,-,banpt-1405,-,-,SISTEM INFORMASI,SISTEM INFORMASI,S1,BAIK,705,0,Ekonomi & Bisnis
-,-,banpt-1423,-,-,TEKNIK INFORMATIKA,INFORMATIKA,S1,BAIK,1275,0,Ekonomi & Bisnis
-,-,banpt-1423,-,-,SISTEM INFORMASI,SISTEM INFORMASI,S1,BAIK,1275,0,Ekonomi & Bisnis
-,-,banpt-378,-,-,TEKNIK INFORMATIKA,INFORMATIKA,S1,BAIK,1322,0,Ekonomi & Bisnis
-,-,banpt-378,-,-,SISTEM INFORMASI,SISTEM INFORMASI,S1,BAIK,1322,0,Ekonomi & Bisnis
-,-,banpt-2715,-,-,SISTEM INFORMASI,SISTEM INFORMASI,S1,BAIK,1320,0,Ekonomi & Bisnis
-,rencanamu-84,-,-,-,TEKNIK KOMPUTER,KOMPUTER,S1,B,910,0,Ekonomi & Bisnis
-,rencanamu-84,-,-,-,MANAJEMEN INFORMATIKA,MANAJEMEN INFORMATIKA,S1,B,910,0,Ekonomi & Bisnis
-,rencanamu-84,banpt-1969,-,-,SISTEM INFORMASI,SISTEM INFORMASI,S1,B,910,0,Ekonomi & Bisnis
-,rencanamu-84,banpt-1969,-,-,SISTEM KOMPUTER,SISTEM KOMPUTER,S1,B,910,0,Ekonomi & Bisnis
-,-,banpt-479,-,-,BISNIS DIGITAL,BISNIS DIGITAL,S1,BAIK,998,0,Ekonomi & Bisnis
-,-,banpt-479,-,-,TEKNIK INFORMATIKA,INFORMATIKA,S1,BAIK SEKALI,998,0,Ekonomi & Bisnis
-,-,banpt-479,-,-,SISTEM INFORMASI,SISTEM INFORMASI,S1,BAIK SEKALI,998,0,Ekonomi & Bisnis
-,-,banpt-2554,-,-,TEKNIK INFORMATIKA,INFORMATIKA,S1,BAIK,1497,0,Ekonomi & Bisnis
-,-,banpt-2554,-,-,SISTEM INFORMASI,SISTEM INFORMASI,S1,BAIK,1497,0,Ekonomi & Bisnis
-,-,banpt-1633,-,-,TEKNIK PERMINYAKAN,PERMINYAKAN,S1,BAIK,574,0,Ekonomi & Bisnis
-,rencanamu-87,-,-,-,AKUNTANSI,AKUNTANSI,S1,A,5,0,Ekonomi & Bisnis
-,rencanamu-87,-,-,-,MANAJEMEN,MANAJEMEN,S1,A,5,0,Ekonomi & Bisnis
-,-,banpt-368,-,-,AKUNTANSI,AKUNTANSI,S1,BAIK,198,0,Ekonomi & Bisnis
-,-,banpt-368,-,-,FARMASI,FARMASI,S1,BAIK SEKALI,198,0,Ekonomi & Bisnis
-,-,banpt-368,-,-,HUKUM,HUKUM,S1,BAIK,198,0,Ekonomi & Bisnis
-,-,banpt-368,-,-,INFORMATIKA,INFORMATIKA,S1,BAIK,198,0,Ekonomi & Bisnis
-,-,banpt-368,-,-,KEPERAWATAN,KEPERAWATAN,S1,BAIK SEKALI,198,0,Ekonomi & Bisnis
-,-,banpt-368,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK,198,0,Ekonomi & Bisnis
-,-,banpt-368,-,-,SISTEM INFORMASI,SISTEM INFORMASI,S1,BAIK,198,0,Ekonomi & Bisnis
-,-,banpt-368,-,-,TEKNOLOGI INFORMASI,TEKNOLOGI INFORMASI,S1,BAIK,198,0,Ekonomi & Bisnis
-,-,banpt-2142,-,-,ADMINISTRASI PUBLIK,ADMINISTRASI PUBLIK,S1,BAIK,913,0,Ekonomi & Bisnis
-,-,banpt-2142,-,-,AGROTEKNOLOGI,AGROTEKNOLOGI,S1,BAIK SEKALI,913,0,Ekonomi & Bisnis
-,-,banpt-2142,-,-,AKUNTANSI,AKUNTANSI,S1,BAIK,913,0,Ekonomi & Bisnis
-,-,banpt-2142,-,-,PENDIDIKAN BIOLOGI,BIOLOGI,S1,BAIK SEKALI,913,0,Ekonomi & Bisnis
-,-,banpt-2142,-,-,HUKUM,HUKUM,S1,B,913,0,Ekonomi & Bisnis
-,-,banpt-2142,-,-,TEKNIK INDUSTRI,INDUSTRI,S1,B,913,0,Ekonomi & Bisnis
-,-,banpt-2142,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK,913,0,Ekonomi & Bisnis
-,-,banpt-2142,-,-,ILMU PERIKANAN,PERIKANAN,S1,BAIK,913,0,Ekonomi & Bisnis
-,-,banpt-2142,-,-,PENDIDIKAN SEJARAH,SEJARAH,S1,BAIK SEKALI,913,0,Ekonomi & Bisnis
-,-,banpt-2142,-,-,TEKNIK SIPIL,SIPIL,S1,B,913,0,Ekonomi & Bisnis
quipper-163,-,-,-,FAKULTAS ILMU SOSIAL DAN ILMU POLITIK,ADMINISTRASI BISNIS,ADMINISTRASI BISNIS,S1,-,59,0,Ekonomi & Bisnis
-,-,banpt-21,-,-,ILMU ADMINISTRASI NEGARA,ADMINISTRASI NEGARA,S1,B,59,0,Ekonomi & Bisnis
-,-,banpt-21,-,-,ILMU ADMINISTRASI NIAGA,ADMINISTRASI NIAGA,S1,BAIK SEKALI,59,0,Ekonomi & Bisnis
quipper-163,-,-,-,FAKULTAS ILMU SOSIAL DAN ILMU POLITIK,ADMINISTRASI PUBLIK,ADMINISTRASI PUBLIK,S1,-,59,0,Ekonomi & Bisnis
quipper-163,-,-,-,FAKULTAS EKONOMI DAN BISNIS,AKUNTANSI,AKUNTANSI,S1,-,59,2,Pendidikan & Keguruan
quipper-163,-,banpt-21,-,FAKULTAS TEKNIK,TEKNIK ELEKTRO,ELEKTRO,S1,B,59,1,Teknik & Rekayasa
quipper-163,-,banpt-21,-,FAKULTAS HUKUM,HUKUM,HUKUM,S1,B,59,3,Hukum
quipper-163,-,banpt-21,-,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN,PENDIDIKAN JASMANI KESEHATAN DAN REKREASI,JASMANI,S1,BAIK SEKALI,59,2,Pendidikan & Keguruan
quipper-163,-,banpt-21,-,FAKULTAS EKONOMI DAN BISNIS,MANAJEMEN,MANAJEMEN,S1,BAIK SEKALI,59,0,Ekonomi & Bisnis
quipper-163,-,banpt-21,-,FAKULTAS TEKNIK,TEKNIK MESIN,MESIN,S1,BAIK SEKALI,59,1,Teknik & Rekayasa
quipper-163,-,-,-,FAKULTAS EKONOMI DAN BISNIS,PERHOTELAN,PERHOTELAN,S1,-,59,0,Ekonomi & Bisnis
quipper-163,-,banpt-21,-,FAKULTAS PERIKANAN DAN ILMU KELAUTAN,PEMANFAATAN SUMBER DAYA PERIKANAN,PERIKANAN,S1,B,59,0,Ekonomi & Bisnis
quipper-598,-,banpt-3990,-,FAKULTAS EKONOMI BISNIS & ILMU SOSIAL,ADMINISTRASI BISNIS,ADMINISTRASI BISNIS,S1,BAIK SEKALI,50,0,Ekonomi & Bisnis
-,rencanamu-88,-,-,-,ILMU ADMINISTRASI NEGARA,ADMINISTRASI NEGARA,S1,B,50,0,Ekonomi & Bisnis
-,rencanamu-88,-,-,-,ILMU ADMINISTRASI NIAGA,ADMINISTRASI NIAGA,S1,B,50,0,Ekonomi & Bisnis
quipper-598,-,banpt-3990,-,FAKULTAS EKONOMI BISNIS & ILMU SOSIAL,ADMINISTRASI PUBLIK,ADMINISTRASI PUBLIK,S1,B,50,0,Ekonomi & Bisnis
quipper-598,rencanamu-88,banpt-3990,-,FAKULTAS EKONOMI BISNIS & ILMU SOSIAL,AKUNTANSI,AKUNTANSI,S1,B,50,2,Pendidikan & Keguruan
quipper-598,-,banpt-3990,-,FAKULTAS EKONOMI BISNIS & ILMU SOSIAL,BISNIS DIGITAL,BISNIS DIGITAL,S1,BAIK SEKALI,50,0,Ekonomi & Bisnis
quipper-598,rencanamu-88,banpt-3990,-,FAKULTAS TEKNIK DAN INFORMATIKA,TEKNIK ELEKTRO,ELEKTRO,S1,B,50,0,Ekonomi & Bisnis
quipper-598,rencanamu-88,banpt-3990,-,FAKULTAS FARMASI,FARMASI,FARMASI,S1,B,50,0,Ekonomi & Bisnis
quipper-598,rencanamu-88,banpt-3990,-,FAKULTAS EKONOMI BISNIS & ILMU SOSIAL,HUBUNGAN INTERNASIONAL,HUBUNGAN INTERNASIONAL,S1,B,50,0,Ekonomi & Bisnis
quipper-598,rencanamu-88,banpt-3990,-,FAKULTAS HUKUM,ILMU HUKUM,HUKUM,S1,B,50,3,Hukum
quipper-598,rencanamu-88,banpt-3990,-,FAKULTAS EKONOMI BISNIS & ILMU SOSIAL,ILMU KOMUNIKASI,ILMU KOMUNIKASI,S1,B,50,0,Ekonomi & Bisnis
quipper-598,-,banpt-3990,-,FAKULTAS TEKNIK DAN INFORMATIKA,TEKNIK INFORMATIKA,INFORMATIKA,S1,BAIK SEKALI,50,1,Teknik & Rekayasa
quipper-598,rencanamu-88,banpt-3990,-,FAKULTAS EKONOMI BISNIS & ILMU SOSIAL,MANAJEMEN,MANAJEMEN,S1,B,50,0,Ekonomi & Bisnis
quipper-598,rencanamu-88,banpt-3990,-,FAKULTAS TEKNIK DAN INFORMATIKA,TEKNIK MESIN,MESIN,S1,B,50,0,Ekonomi & Bisnis
-,rencanamu-88,banpt-3990,-,-,ILMU PEMERINTAHAN,PEMERINTAHAN,S1,B,50,0,Ekonomi & Bisnis
quipper-598,rencanamu-88,-,-,FAKULTAS EKONOMI BISNIS & ILMU SOSIAL,ILMU PEMERINTAHAN & POLITIK,POLITIK,S1,B,50,0,Ekonomi & Bisnis
quipper-598,rencanamu-88,banpt-3990,-,FAKULTAS TEKNIK DAN INFORMATIKA,TEKNIK SIPIL,SIPIL,S1,B,50,5,Sains & Teknologi
-,rencanamu-89,-,-,-,ILMU ADMINISTRASI NEGARA,ADMINISTRASI NEGARA,S1,B,505,0,Ekonomi & Bisnis
-,-,banpt-1227,-,-,ADMINISTRASI PUBLIK,ADMINISTRASI PUBLIK,S1,B,505,0,Ekonomi & Bisnis
-,rencanamu-89,banpt-1227,-,-,AGROTEKNOLOGI,AGROTEKNOLOGI,S1,B,505,0,Ekonomi & Bisnis
-,rencanamu-89,-,-,-,AKUNTANSI,AKUNTANSI,S1,B,505,0,Ekonomi & Bisnis
-,rencanamu-89,banpt-1227,-,-,ARSITEKTUR,ARSITEKTUR,S1,B,505,0,Ekonomi & Bisnis
-,rencanamu-89,banpt-1227,-,-,ILMU HUKUM,HUKUM,S1,B,505,0,Ekonomi & Bisnis
-,rencanamu-89,banpt-1227,-,-,KEHUTANAN,KEHUTANAN,S1,C,505,0,Ekonomi & Bisnis
-,rencanamu-89,banpt-1227,-,-,MANAJEMEN,MANAJEMEN,S1,B,505,0,Ekonomi & Bisnis
-,-,banpt-1227,-,-,PERENCANAAN WILAYAH DAN KOTA,PERENCANAAN WILAYAH KOTA,S1,TERAKREDITASI SEMENTARA,505,0,Ekonomi & Bisnis
-,rencanamu-89,banpt-1227,-,-,PSIKOLOGI,PSIKOLOGI,S1,C,505,0,Ekonomi & Bisnis
-,rencanamu-89,banpt-1227,-,-,TEKNIK SIPIL,SIPIL,S1,C,505,0,Ekonomi & Bisnis
-,rencanamu-90,banpt-2569,-,-,ADMINISTRASI BISNIS,ADMINISTRASI BISNIS,S1,B,575,0,Ekonomi & Bisnis
-,rencanamu-90,-,-,-,ILMU ADMINISTRASI NEGARA,ADMINISTRASI NEGARA,S1,B,575,0,Ekonomi & Bisnis
-,rencanamu-90,-,-,-,ILMU ADMINISTRASI NIAGA,ADMINISTRASI NIAGA,S1,B,575,0,Ekonomi & Bisnis
-,-,banpt-2569,-,-,ADMINISTRASI PUBLIK,ADMINISTRASI PUBLIK,S1,UNGGUL,575,0,Ekonomi & Bisnis
-,rencanamu-90,banpt-2569,-,-,AKUNTANSI,AKUNTANSI,S1,B,575,0,Ekonomi & Bisnis
-,-,banpt-2569,-,-,ARSITEKTUR,ARSITEKTUR,S1,B,575,0,Ekonomi & Bisnis
-,-,banpt-2569,-,-,BISNIS DIGITAL,BISNIS DIGITAL,S1,BAIK,575,0,Ekonomi & Bisnis
-,rencanamu-90,banpt-2569,-,-,ILMU HUKUM,HUKUM,S1,A,575,0,Ekonomi & Bisnis
-,rencanamu-90,banpt-2569,-,-,TEKNIK KIMIA,KIMIA,S1,B,575,0,Ekonomi & Bisnis
-,rencanamu-90,banpt-2569,-,-,MANAJEMEN,MANAJEMEN,S1,B,575,0,Ekonomi & Bisnis
-,rencanamu-90,banpt-2569,-,-,TEKNOLOGI HASIL PERTANIAN,PERTANIAN,S1,C,575,0,Ekonomi & Bisnis
-,rencanamu-90,-,-,-,SASTRA INGGRIS,SASTRA INGGRIS,S1,B,575,0,Ekonomi & Bisnis
-,rencanamu-90,banpt-2569,-,-,TEKNIK SIPIL,SIPIL,S1,B,575,0,Ekonomi & Bisnis
-,rencanamu-91,banpt-2075,-,-,ADMINISTRASI NEGARA,ADMINISTRASI NEGARA,S1,A,80,0,Ekonomi & Bisnis
-,rencanamu-91,banpt-2075,-,-,ILMU ADMINISTRASI NIAGA,ADMINISTRASI NIAGA,S1,A,80,0,Ekonomi & Bisnis
-,rencanamu-91,banpt-2075,-,-,AKUNTANSI,AKUNTANSI,S1,B,80,0,Ekonomi & Bisnis
