quipper_code,rencanamu_code,banpt_code,pddikti_code,faculty,prodi,prodi_normalized,edu_level,accreditation,institution_code,cluster_kmodes,cluster_category
quipper-387,rencanamu-207,banpt-1988,-,FAKULTAS EKONOMI DAN BISNIS,AKUNTANSI,AKUNTANSI,S1,B,245,2,Pendidikan & Keguruan
quipper-387,-,banpt-1988,-,FAKULTAS TEKNIK,ARSITEKTUR,ARSITEKTUR,S1,UNGGUL,245,1,Teknik & Rekayasa
-,-,banpt-1988,-,-,PENDIDIKAN BIOLOGI,BIOLOGI,S1,UNGGUL,245,0,Ekonomi & Bisnis
quipper-387,rencanamu-207,banpt-1988,-,FAKULTAS PERTANIAN,BUDIDAYA PERAIRAN,BUDIDAYA PERAIRAN,S1,B,245,0,Ekonomi & Bisnis
quipper-387,rencanamu-207,banpt-1988,-,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN,SENI RUPA,DESAIN KOMUNIKASI VISUAL,S1,B,245,2,Pendidikan & Keguruan
quipper-387,-,-,-,FAKULTAS EKONOMI DAN BISNIS,ILMU EKONOMI,EKONOMI,S1,-,245,0,Ekonomi & Bisnis
-,rencanamu-207,banpt-1988,-,-,EKONOMI PEMBANGUNAN,EKONOMI PEMBANGUNAN,S1,B,245,0,Ekonomi & Bisnis
quipper-387,rencanamu-207,banpt-1988,-,FAKULTAS TEKNIK,TEKNIK ELEKTRO,ELEKTRO,S1,B,245,1,Teknik & Rekayasa
-,-,banpt-1988,-,-,FARMASI,FARMASI,S1,BAIK SEKALI,245,0,Ekonomi & Bisnis
quipper-387,rencanamu-207,banpt-1988,-,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN,FISIKA,FISIKA,S1,B,245,2,Pendidikan & Keguruan
quipper-387,-,-,-,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN,KEGURUAN & PENDIDIKAN,GURU,S1,-,245,2,Pendidikan & Keguruan
-,-,banpt-1988,-,-,PENDIDIKAN GURU PENDIDIKAN ANAK USIA DINI,GURU ANAK USIA DINI,S1,UNGGUL,245,0,Ekonomi & Bisnis
quipper-387,rencanamu-207,banpt-1988,-,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN,PENDIDIKAN GURU SEKOLAH DASAR,GURU SEKOLAH DASAR,S1,B,245,2,Pendidikan & Keguruan
quipper-387,-,banpt-1988,-,FAKULTAS AGAMA ISLAM,ILMU HUKUM,HUKUM,S1,BAIK,245,3,Hukum
quipper-387,-,banpt-1988,-,FAKULTAS AGAMA ISLAM,ILMU KOMUNIKASI,ILMU KOMUNIKASI,S1,BAIK SEKALI,245,0,Ekonomi & Bisnis
-,-,banpt-1988,-,-,INFORMATIKA,INFORMATIKA,S1,BAIK,245,0,Ekonomi & Bisnis
-,-,banpt-1988,-,-,KEBIDANAN,KEBIDANAN,S1,BAIK,245,0,Ekonomi & Bisnis
quipper-387,rencanamu-207,banpt-1988,-,FAKULTAS KEDOKTERAN,PENDIDIKAN DOKTER,KEDOKTERAN,S1,B,245,0,Ekonomi & Bisnis
quipper-387,rencanamu-207,banpt-1988,-,FAKULTAS PERTANIAN,KEHUTANAN,KEHUTANAN,S1,B,245,0,Ekonomi & Bisnis
-,-,banpt-1988,-,-,TEKNIK PENGAIRAN,KELAUTAN,S1,BAIK SEKALI,245,0,Ekonomi & Bisnis
quipper-387,rencanamu-207,banpt-1988,-,FAKULTAS EKONOMI DAN BISNIS,MANAJEMEN,MANAJEMEN,S1,B,245,0,Ekonomi & Bisnis
quipper-387,rencanamu-207,banpt-1988,-,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN,PENDIDIKAN MATEMATIKA,MATEMATIKA,S1,B,245,2,Pendidikan & Keguruan
-,rencanamu-207,banpt-1988,-,-,PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,PANCASILA KEWARGANEGARAAN,S1,UNGGUL,245,0,Ekonomi & Bisnis
quipper-387,rencanamu-207,banpt-1988,-,FAKULTAS ILMU SOSIAL DAN ILMU POLITIK,ILMU PEMERINTAHAN,PEMERINTAHAN,S1,A,245,0,Ekonomi & Bisnis
