institution_name,prodi_name,jenjang,akreditasi_prodi,status_pencocokan
INSTITUT TRANSPORTASI  DAN LOGISTIK TRISAKTI,MANAJEMEN TRANSPORTASI,S2,A,BERHASIL
"INSTITUT TEKNOLOGI DAN KESEHATAN AVICENNA, KENDARI",NERS,PROFESI,C,GAGAL COCOK
"INSTITUT TEKNOLOGI SAINS DAN KESEHATAN PKU MUHAMMADIYAH SURAKARTA, SURAKARTA",KEBIDANAN,D-III,B,BERHASIL
"INSTITUT TEKNOLOGI SAINS DAN KESEHATAN PKU MUHAMMADIYAH SURAKARTA, SURAKARTA",KEPERAWATAN,D-III,B,BERHASIL
"INSTITUT TEKNOLOGI, SAINS, DAN KESEHATAN RS.DR. SOEPRAOEN KESDAM V/BRW, MALANG",KEBIDANAN,D-III,B,BERHASIL
AKADEMI KESEJAHTERAAN SOSIAL IBU KARTINI,DESAIN BUSANA,D-III,B,BERHASIL
"POLITEKNIK BANJARNEGARA, BANJARNEGARA",KEBIDANAN,D-III,BAIK SEKALI,BERHASIL
"POLITEKNIK BINA HUSADA KENDARI, KENDARI",FARMASI,D-III,B,BERHASIL
"POLITEKNIK BINA HUSADA KENDARI, KENDARI",ANALIS KESEHATAN,D-III,B,BERHASIL
"POLITEKNIK BINA TRADA SEMARANG, SEMARANG",REKAM MEDIS DAN INFORMASI KESEHATAN,D-III,C,BERHASIL
"POLITEKNIK HARAPAN BERSAMA, TEGAL",KEBIDANAN,D-III,BAIK SEKALI,BERHASIL
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN ACEH, BANDA ACEH",ANALIS KESEHATAN,D-III,B,GAGAL COCOK
AKADEMI KESEJAHTERAAN SOSIAL IBU KARTINI,SENI KULINER,D-III,B,BERHASIL
UNIVERSITAS NAHDLATUL WATHAN MATARAM,TEKNOLOGI HASIL PERTANIAN,S1,BAIK,BERHASIL
IAIN PURWOKERTO,MANAJEMEN PENDIDIKAN ISLAM,S2,A,GAGAL COCOK
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN JAKARTA II, JAKARTA",TEKNOLOGI RADIOLOGI PENCITRAAN,D-IV,A,GAGAL COCOK
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN JAKARTA II, JAKARTA",FARMASI,D-III,B,GAGAL COCOK
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN JAKARTA II, JAKARTA",ANALISIS FARMASI DAN MAKANAN,D-III,B,GAGAL COCOK
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN JAKARTA II, JAKARTA",SANITASI LINGKUNGAN,D-IV,A,GAGAL COCOK
POLITEKNIK KESEHATAN KEMENTRIAN KESEHATAN JAKARTA II,TEKNOLOGI REKAYASA ELEKTRO-MEDIS,D-IV,UNGGUL,GAGAL COCOK
INSTITUT AGAMA ISLAM NEGERI PADANGSIDIMPUAN,HUKUM TATA NEGARA,S1,B,GAGAL COCOK
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN MANADO, MANADO",KEPERAWATAN,D-III,B,GAGAL COCOK
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN MANADO, MANADO",KEPERAWATAN,D-IV,B,GAGAL COCOK
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN MANADO, MANADO",NERS,PROFESI,B,GAGAL COCOK
UNIVERSITAS MUHAMMADIYAH PURWOREJO,PSIKOLOGI,S1,B,BERHASIL
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN MATARAM, MATARAM",TEKNOLOGI LABORATORIUM MEDIS,D-III,A,GAGAL COCOK
UNIVERSITAS YUDHARTA PASURUAN,TEKNOLOGI HASIL PERIKANAN,S1,B,BERHASIL
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN MEDAN, MEDAN",FARMASI,D-III,B,GAGAL COCOK
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN MEDAN, MEDAN",KEBIDANAN,D-III,B,GAGAL COCOK
SEKOLAH TINGGI ILMU EKONOMI AMKOP MAKASSAR,AKUNTANSI,S1,B,BERHASIL
INSTITUT AGAMA ISLAM AL-AZIZIYAH SAMALANGA BIEREUN ACEH,EKONOMI SYARIAH,S1,B,BERHASIL
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN PALEMBANG, PALEMBANG",KEPERAWATAN GIGI,D-III,A,GAGAL COCOK
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN PALU, PALU",KEPERAWATAN,D-III,B,GAGAL COCOK
INSTITUT AGAMA ISLAM SUNAN GIRI BOJONEGORO,BAHASA DAN SASTRA ARAB,S1,B,GAGAL COCOK
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN PONTIANAK, PONTIANAK",SANITASI LINGKUNGAN,D-IV,B,GAGAL COCOK
INSTITUT AGAMA ISLAM SUNAN GIRI BOJONEGORO,PENDIDIKAN ISLAM ANAK USIA DINI,S1,B,GAGAL COCOK
SEKOLAH TINGGI TEKNOLOGI KEDIRGANTARAAN,MANAJEMEN TRANSPORTASI UDARA,D-IV,B,BERHASIL
SEKOLAH TINGGI FILSAFAT SEMINARI PINELENG,TEOLOGI,S1,B,BERHASIL
"POLITEKNIK KESEHATAN TNI AU ADISUTJIPTO, YOGYAKARTA",RADIOLOGI,D-III,C,BERHASIL
"POLITEKNIK KESEHATAN TNI AU ADISUTJIPTO, YOGYAKARTA",FARMASI,D-III,C,BERHASIL
"POLITEKNIK KESEHATAN TNI AU ADISUTJIPTO, YOGYAKARTA",GIZI,D-III,C,BERHASIL
"POLITEKNIK PIKSI GANESHA, BANDUNG",FARMASI,D-III,C,BERHASIL
"POLITEKNIK PIKSI GANESHA, BANDUNG",FISIOTERAPI,D-III,C,BERHASIL
"POLITEKNIK PIKSI GANESHA, BANDUNG",REKAM MEDIK DAN INFORMASI KESEHATAN,D-III,A,BERHASIL
"POLITEKNIK PIKSI GANESHA, BANDUNG",ANALIS KESEHATAN,D-III,B,BERHASIL
"POLITEKNIK UNGGULAN KALIMANTAN, BANJARMASIN",FARMASI,D-III,B,BERHASIL
"POLITEKNIK UNGGULAN KALIMANTAN, BANJARMASIN",FISIOTERAPI,D-III,B,BERHASIL
"SEKOLAH TINGGI ANALIS BAKTI ASIH, BANDUNG",ANALIS KESEHATAN,D-III,B,BERHASIL
POLITEKNIK NEGERI BATAM,ADMINISTRASI BISNIS TERAPAN,D-IV,A,BERHASIL
"SEKOLAH TINGGI ILMU KEPERAWATAN MUHAMMADIYAH PONTIANAK, PONTIANAK",ILMU KEPERAWATAN,S1,B,GAGAL COCOK
"SEKOLAH TINGGI ILMU KEPERAWATAN MUHAMMADIYAH PONTIANAK, PONTIANAK",NERS,PROFESI,B,GAGAL COCOK
"SEKOLAH TINGGI ILMU KEPERAWATAN MUHAMMADIYAH PONTIANAK, PONTIANAK",KEPERAWATAN,D-III,B,GAGAL COCOK
"SEKOLAH TINGGI ILMU KESEHATAN  AWAL BROS PEKANBARU, PEKANBARU",TEKNIK RADIOLOGI,D-III,C,GAGAL COCOK
"SEKOLAH TINGGI ILMU KESEHATAN AL-ISLAM YOGYAKARTA, YOGYAKARTA",KEPERAWATAN,S1,B,GAGAL COCOK
SEKOLAH TINGGI TEKNOLOGI MANDALA,TEKNIK INFORMATIKA,S1,B,BERHASIL
"SEKOLAH TINGGI ILMU KESEHATAN ALIFAH PADANG, PADANG",ILMU KEPERAWATAN,S1,B,BERHASIL
"SEKOLAH TINGGI ILMU KESEHATAN ALIFAH PADANG, PADANG",NERS,PROFESI,B,BERHASIL
"SEKOLAH TINGGI ILMU KESEHATAN AR-RUM, SALATIGA",KEBIDANAN,D-III,B,BERHASIL
"SEKOLAH TINGGI ILMU KESEHATAN AWAL BROS BATAM, BATAM",REKAM MEDIS DAN INFORMASI KESEHATAN,D-III,C,GAGAL COCOK
"SEKOLAH TINGGI ILMU KESEHATAN AWAL BROS PEKANBARU, PEKANBARU",ADMINISTRASI RUMAH SAKIT,S1,B,GAGAL COCOK
"SEKOLAH TINGGI ILMU KESEHATAN BHAKTI HUSADA BENGKULU, BENGKULU",KESEHATAN MASYARAKAT,S1,B,GAGAL COCOK
"SEKOLAH TINGGI ILMU KESEHATAN BINA PUTRA BANJAR, BANJAR",KESEHATAN MASYARAKAT,S1,B,BERHASIL
"SEKOLAH TINGGI ILMU KESEHATAN BORNEO CENDEKIA MEDIKA, KOTAWARINGIN BARAT",ANALIS KESEHATAN,D-III,C,GAGAL COCOK
"SEKOLAH TINGGI ILMU KESEHATAN BUDI MULIA, KENDARI",FISIOTERAPI,D-III,C,BERHASIL
"SEKOLAH TINGGI ILMU KESEHATAN CENDEKIA UTAMA KUDUS, KUDUS",FARMASI,D-III,B,GAGAL COCOK
"SEKOLAH TINGGI ILMU KESEHATAN CENDEKIA UTAMA KUDUS, KUDUS",KEPERAWATAN,S1,B,GAGAL COCOK
"SEKOLAH TINGGI ILMU KESEHATAN CENDEKIA UTAMA KUDUS, KUDUS",NERS,PROFESI,B,GAGAL COCOK
"SEKOLAH TINGGI ILMU KESEHATAN CERIA BUANA, LUBUK BASUNG",ILMU KEPERAWATAN,S1,C,GAGAL COCOK
"SEKOLAH TINGGI ILMU KESEHATAN CERIA BUANA, LUBUK BASUNG",NERS,PROFESI,C,GAGAL COCOK
"SEKOLAH TINGGI ILMU KESEHATAN DARMAIS PADANGSIDIMPUAN, PADANGSIDIMPUAN",KESEHATAN MASYARAKAT,S1,C,GAGAL COCOK
"STAI NAHDLATUL ULAMA, TEMANGGUNG, JAWA TENGAH",HUKUM KELUARGA,S1,B,BERHASIL
"SEKOLAH TINGGI ILMU KESEHATAN EKA HARAP, PALANGKA RAYA",ILMU KESEHATAN MASYARAKAT,S1,B,GAGAL COCOK
"SEKOLAH TINGGI ILMU KESEHATAN ESTU UTOMO, BOYOLALI",KEBIDANAN,D-III,A,GAGAL COCOK
"SEKOLAH TINGGI ILMU KESEHATAN FAATHIR HUSADA, TANGERANG",ILMU KEPERAWATAN,S1,B,GAGAL COCOK
"SEKOLAH TINGGI ILMU KESEHATAN FAATHIR HUSADA, TANGERANG",NERS,PROFESI,B,GAGAL COCOK
POLITEKNIK CALTEX,SISTEM INFORMASI,D-IV,A,GAGAL COCOK
"SEKOLAH TINGGI ILMU KESEHATAN FITRAH ALDAR LUBUK LINGGAU, LUBUK LINGGAU",KESEHATAN MASYARAKAT,S1,B,GAGAL COCOK
"SEKOLAH TINGGI ILMU KESEHATAN GEMA INSAN AKADEMIK MAKASSAR, MAKASSAR",ILMU KEPERAWATAN,S1,C,GAGAL COCOK
"SEKOLAH TINGGI ILMU KESEHATAN GEMA INSAN AKADEMIK MAKASSAR, MAKASSAR",NERS,PROFESI,C,GAGAL COCOK
"SEKOLAH TINGGI ILMU KESEHATAN GRAHA MEDIKA, KOTAMOBAGU",KEBIDANAN,D-III,BAIK,GAGAL COCOK
"SEKOLAH TINGGI ILMU KESEHATAN HAMZAR MEMBEN LOMBOK TIMUR, LOMBOK TIMUR",PENDIDIKAN BIDAN,S1,C,GAGAL COCOK
"SEKOLAH TINGGI ILMU KESEHATAN HAMZAR MEMBEN LOMBOK TIMUR, LOMBOK TIMUR",BIDAN,PROFESI,C,GAGAL COCOK
"SEKOLAH TINGGI ILMU KESEHATAN HOLISTIK, PURWAKARTA",FARMASI,D-III,C,BERHASIL
"SEKOLAH TINGGI ILMU KESEHATAN HOLISTIK, PURWAKARTA",ILMU GIZI,S1,B,BERHASIL
"SEKOLAH TINGGI ILMU KESEHATAN HUSADA MANDIRI POSO, POSO",KEPERAWATAN,D-III,C,BERHASIL
"SEKOLAH TINGGI ILMU KESEHATAN HUSADA MANDIRI POSO, POSO",NERS,PROFESI,C,BERHASIL
"SEKOLAH TINGGI ILMU KESEHATAN ICHSAN MEDICAL CENTRE BINTARO, TANGERANG SELATAN",KEBIDANAN,D-III,BAIK SEKALI,GAGAL COCOK
"SEKOLAH TINGGI ILMU KESEHATAN IMMANUEL BANDUNG, BANDUNG",KEPERAWATAN,D-III,B,BERHASIL
"SEKOLAH TINGGI ILMU KESEHATAN IMMANUEL BANDUNG, BANDUNG",KEBIDANAN,D-III,B,BERHASIL
"SEKOLAH TINGGI ILMU KESEHATAN INDAH MEDAN, MEDAN",KEBIDANAN,D-III,B,BERHASIL
IAIN SALATIGA,SEJARAH PERADABAN ISLAM,S1,A,GAGAL COCOK
"SEKOLAH TINGGI ILMU KESEHATAN INDONESIA MAJU, JAKARTA",KEBIDANAN,-,B,GAGAL COCOK
"SEKOLAH TINGGI ILMU KESEHATAN INDONESIA MAJU, JAKARTA",BIDAN,-,B,GAGAL COCOK
"SEKOLAH TINGGI ILMU KESEHATAN INSAN CENDEKIA MEDIKA, JOMBANG",ILMU KEPERAWATAN,S1,B,GAGAL COCOK
"SEKOLAH TINGGI ILMU KESEHATAN INSAN CENDEKIA MEDIKA, JOMBANG",NERS,PROFESI,B,GAGAL COCOK
"SEKOLAH TINGGI ILMU KESEHATAN ISTARA NUSANTARA, JAKARTA TIMUR",KESEHATAN MASYARAKAT,S1,C,BERHASIL
"SEKOLAH TINGGI ILMU KESEHATAN JENDERAL ACHMAD YANI, CIMAHI",ILMU KEPERAWATAN,S1,A,GAGAL COCOK
"SEKOLAH TINGGI ILMU KESEHATAN JENDERAL ACHMAD YANI, CIMAHI",NERS,PROFESI,A,GAGAL COCOK
"SEKOLAH TINGGI ILMU KESEHATAN KARYA HUSADA SEMARANG, SEMARANG",KEBIDANAN,-,C,GAGAL COCOK
"SEKOLAH TINGGI ILMU KESEHATAN KARYA HUSADA SEMARANG, SEMARANG",BIDAN,-,C,GAGAL COCOK
"SEKOLAH TINGGI ILMU KESEHATAN KARYA HUSADA SEMARANG, SEMARANG",KEPERAWATAN,D-III,B,GAGAL COCOK
"SEKOLAH TINGGI ILMU KESEHATAN KATOLIK ST. VINCENTIUS A PAULO, SURABAYA",ILMU KEPERAWATAN,S1,B,GAGAL COCOK
"SEKOLAH TINGGI ILMU KESEHATAN KATOLIK ST. VINCENTIUS A PAULO, SURABAYA",NERS,PROFESI,B,GAGAL COCOK
"SEKOLAH TINGGI ILMU KESEHATAN KATOLIK ST. VINCENTIUS A PAULO, SURABAYA",KEPERAWATAN,D-III,B,GAGAL COCOK
"SEKOLAH TINGGI ILMU KESEHATAN KESETIAKAWANAN SOSIAL INDONESIA, JAKARTA",ANALIS KESEHATAN,D-III,B,GAGAL COCOK
"SEKOLAH TINGGI ILMU KESEHATAN KHARISMA PERSADA, JAKARTA",FARMASI,D-III,B,GAGAL COCOK
"SEKOLAH TINGGI ILMU KESEHATAN LAKIPADADA, TANA TORAJA",KEBIDANAN,D-III,C,GAGAL COCOK
"SEKOLAH TINGGI ILMU KESEHATAN LANGSA, LANGSA",KESEHATAN MASYARAKAT,S1,BAIK,GAGAL COCOK
"SEKOLAH TINGGI ILMU KESEHATAN MAKASSAR, MAKASSAR",HIGIENE PERUSAHAAN KESEHATAN DAN KESELAMATAN KERJA,D-III,B,BERHASIL
"SEKOLAH TINGGI ILMU KESEHATAN MANDALA WALUYA KENDARI, KENDARI",KESEHATAN MASYARAKAT,S1,B,GAGAL COCOK
"SEKOLAH TINGGI ILMU KESEHATAN MATARAM, MATARAM",KEBIDANAN,D-IV,B,BERHASIL
"SEKOLAH TINGGI ILMU KESEHATAN MEDISTRA INDONESIA, JAKARTA",KEBIDANAN,D-III,B,BERHASIL
"SEKOLAH TINGGI ILMU KESEHATAN MERANGIN, JAMBI",ILMU KESEHATAN MASYARAKAT,S1,C,BERHASIL
"SEKOLAH TINGGI ILMU KESEHATAN MERANGIN, JAMBI",FARMASI,D-III,C,BERHASIL
"SEKOLAH TINGGI ILMU KESEHATAN MERCUBAKTIJAYA PADANG, PADANG",TERAPI WICARA,D-III,C,GAGAL COCOK
"SEKOLAH TINGGI ILMU KESEHATAN MERCUBAKTIJAYA PADANG, PADANG",KEBIDANAN,S1,C,GAGAL COCOK
"SEKOLAH TINGGI ILMU KESEHATAN MERCUBAKTIJAYA PADANG, PADANG",BIDAN,PROFESI,C,GAGAL COCOK
"SEKOLAH TINGGI ILMU KESEHATAN MITRA KELUARGA, JAKARTA",TEKNOLOGI LABORATORIUM MEDIS,D-III,B,BERHASIL
"SEKOLAH TINGGI ILMU KESEHATAN MUHAMMADIYAH GOMBONG, KEBUMEN",KEBIDANAN,D-III,A,GAGAL COCOK
"SEKOLAH TINGGI ILMU KESEHATAN MUHAMMADIYAH GOMBONG, KEBUMEN",KEPERAWATAN,D-III,B,GAGAL COCOK
"SEKOLAH TINGGI ILMU KESEHATAN MUHAMMADIYAH GOMBONG, KEBUMEN",KEPERAWATAN,S1,B,GAGAL COCOK
"SEKOLAH TINGGI ILMU KESEHATAN MUHAMMADIYAH GOMBONG, KEBUMEN",NERS,PROFESI,B,GAGAL COCOK
"SEKOLAH TINGGI ILMU KESEHATAN MUHAMMADIYAH KENDAL, KENDAL",GIZI,S1,C,GAGAL COCOK
"SEKOLAH TINGGI ILMU KESEHATAN MUHAMMADIYAH KENDAL, KENDAL",KEPERAWATAN,D-III,B,GAGAL COCOK
"SEKOLAH TINGGI ILMU KESEHATAN MUHAMMADIYAH KLATEN, KLATEN",KEPERAWATAN,D-III,B,GAGAL COCOK
"SEKOLAH TINGGI ILMU KESEHATAN MUHAMMADIYAH KLATEN, KLATEN",ILMU KEPERAWATAN,S1,B,GAGAL COCOK
"SEKOLAH TINGGI ILMU KESEHATAN MUHAMMADIYAH KLATEN, KLATEN",NERS,-,B,GAGAL COCOK
"SEKOLAH TINGGI ILMU KESEHATAN MURNI TEGUH, MEDAN",KEBIDANAN,D-III,B,GAGAL COCOK
"SEKOLAH TINGGI ILMU KESEHATAN NANI HASANUDDIN MAKASSAR, MAKASSAR",ILMU KEPERAWATAN,S1,B,GAGAL COCOK
"SEKOLAH TINGGI ILMU KESEHATAN NANI HASANUDDIN MAKASSAR, MAKASSAR",NERS,PROFESI,B,GAGAL COCOK
"SEKOLAH TINGGI ILMU KESEHATAN NAULI HUSADA, SIBOLGA",KEPERAWATAN,S1,C,GAGAL COCOK
"SEKOLAH TINGGI ILMU KESEHATAN PANAKKUKANG, MAKASSAR",PEREKAM DAN INFORMASI KESEHATAN,D-III,B,GAGAL COCOK
"SEKOLAH TINGGI ILMU KESEHATAN PANTI WALUYA MALANG, MALANG",KEPERAWATAN,D-III,B,GAGAL COCOK
"SEKOLAH TINGGI ILMU KESEHATAN PAPUA, SORONG",ANALIS KESEHATAN,D-III,C,BERHASIL
"SEKOLAH TINGGI ILMU KESEHATAN PERTAMEDIKA, JAKARTA",GIZI,S1,B,BERHASIL
"SEKOLAH TINGGI ILMU KESEHATAN RESPATI TASIKMALAYA, TASIKMALAYA",KEBIDANAN,D-III,BAIK SEKALI,GAGAL COCOK
"SEKOLAH TINGGI ILMU KESEHATAN RUMAH SAKIT ANWAR MEDIKA, SIDOARJO",ANALIS KESEHATAN,D-III,B,GAGAL COCOK
"SEKOLAH TINGGI ILMU KESEHATAN SAKINAH HUSADA TANJUNG BALAI, TANJUNG BALAI",KESEHATAN MASYARAKAT,S1,C,GAGAL COCOK
"SEKOLAH TINGGI ILMU KESEHATAN SAMARINDA, SAMARINDA",FARMASI,D-III,B,BERHASIL
"SEKOLAH TINGGI ILMU KESEHATAN SEBELAS APRIL SUMEDANG, SUMEDANG",KESEHATAN MASYARAKAT,S1,C,GAGAL COCOK
SEKOLAH TINGGI ILMU KESEHATAN SINT CAROLUS,ILMU KEPERAWATAN,S1,A,BERHASIL
SEKOLAH TINGGI ILMU KESEHATAN SINT CAROLUS,NERS,PROFESI,A,BERHASIL
"SEKOLAH TINGGI ILMU KESEHATAN WIDYA NUSANTARA PALU, PALU",GIZI,S1,C,GAGAL COCOK
"SEKOLAH TINGGI ILMU KESEHATAN YARSI MATARAM, MATARAM",ILMU KEPERAWATAN,S1,B,GAGAL COCOK
"SEKOLAH TINGGI ILMU KESEHATAN YARSI MATARAM, MATARAM",NERS,PROFESI,B,GAGAL COCOK
"SEKOLAH TINGGI ILMU KESEHATAN YARSI SUMATERA BARAT, BUKITTINGGI",KEBIDANAN,D-III,B,GAGAL COCOK
"SEKOLAH TINGGI ILMU KESEHATAN YARSI SUMATERA BARAT, BUKITTINGGI",KEPERAWATAN,D-III,B,GAGAL COCOK
"SEKOLAH TINGGI KESEHATAN MASYARAKAT WIDYA DHARMA PALEMBANG, PALEMBANG",KESEHATAN MASYARAKAT,S1,BAIK,GAGAL COCOK
"STIKES MAMBA UL ULUM SURAKARTA, SURAKARTA",KEPERAWATAN,D-III,B,BERHASIL
"STIKES MAMBA UL ULUM SURAKARTA, SURAKARTA",KEBIDANAN,D-III,B,BERHASIL
"STIKES PELITA IBU, KENDARI",KEBIDANAN,D-III,B,BERHASIL
"STIKES PRIMA INDONESIA, BEKASI",TEKNOLOGI LABORATORIUM MEDIK,D-III,C,GAGAL COCOK
"STIKES RS BAPTIS KEDIRI, KEDIRI",KEPERAWATAN,S1,B,GAGAL COCOK
"STIKES RS BAPTIS KEDIRI, KEDIRI",NERS,PROFESI,B,GAGAL COCOK
UNIVERSITAS AIRLANGGA,KEDOKTERAN HEWAN,S1,A,BERHASIL
UNIVERSITAS AIRLANGGA,PENDIDIKAN PROFESI DOKTER HEWAN,PROFESI,A,BERHASIL
UNIVERSITAS AIRLANGGA,TEKNIK GIGI,D-III,A,BERHASIL
"UNIVERSITAS AL ASYARIAH MANDAR, MANDAR",KESEHATAN MASYARAKAT,S1,B,BERHASIL
"UNIVERSITAS ALMA ATA, BANTUL",ILMU KEPERAWATAN,S1,B,BERHASIL
"UNIVERSITAS ALMA ATA, BANTUL",NERS,PROFESI,B,BERHASIL
"UNIVERSITAS ALMA ATA, BANTUL",KEBIDANAN,D-III,A,BERHASIL
"UNIVERSITAS BAITURRAHMAH, PADANG",KEBIDANAN,D-III,B,BERHASIL
"UNIVERSITAS BALI INTERNASIONAL, DENPASAR",FISIOTERAPI,S1,B,BERHASIL
"UNIVERSITAS BALI INTERNASIONAL, DENPASAR",MANAJEMEN INFORMASI KESEHATAN,S1,B,BERHASIL
"UNIVERSITAS EFARINA, SIMALUNGUN",KEBIDANAN,D-III,BAIK,BERHASIL
"UNIVERSITAS FALETEHAN, SERANG",KEPERAWATAN,S1,B,BERHASIL
"UNIVERSITAS FALETEHAN, SERANG",NERS,PROFESI,B,BERHASIL
"UNIVERSITAS FALETEHAN, SERANG",KEPERAWATAN,D-III,A,BERHASIL
"UNIVERSITAS FORT DE KOCK, BUKITTINGGI",KEBIDANAN,D-IV,BAIK,BERHASIL
"UNIVERSITAS GADJAH MADA, YOGYAKARTA",ILMU FARMASI,S3,A,BERHASIL
"UNIVERSITAS GADJAH MADA, YOGYAKARTA",ILMU FARMASI,S2,A,BERHASIL
"UNIVERSITAS GADJAH MADA, YOGYAKARTA",REKAM MEDIS DAN INFORMASI KESEHATAN,D-III,A,BERHASIL
"UNIVERSITAS GALUH, CIAMIS",NERS,PROFESI,B,BERHASIL
"UNIVERSITAS GRESIK, JAWA TIMUR",ILMU KEPERAWATAN,S1,B,BERHASIL
"UNIVERSITAS GRESIK, JAWA TIMUR",NERS,PROFESI,B,BERHASIL
"UNIVERSITAS HASANUDDIN, MAKASSAR",ILMU KESEHATAN MASYARAKAT,S3,A,BERHASIL
"UNIVERSITAS HASANUDDIN, MAKASSAR",ILMU FARMASI,S3,B,BERHASIL
"UNIVERSITAS IMELDA MEDAN, MEDAN",KEBIDANAN,D-III,BAIK,BERHASIL
"UNIVERSITAS INDONESIA TIMUR, MAKASSAR",KESEHATAN MASYARAKAT,S2,B,BERHASIL
"UNIVERSITAS INDONESIA, JAKARTA",FARMASI,S1,UNGGUL,BERHASIL
"UNIVERSITAS INDONESIA, JAKARTA",APOTEKER,PROFESI,UNGGUL,BERHASIL
"UNIVERSITAS ISLAM AL-IHYA KUNINGAN, KUNINGAN",KESEHATAN MASYARAKAT,S1,B,BERHASIL
"UNIVERSITAS ISLAM AL-IHYA KUNINGAN, KUNINGAN",GIZI,S1,B,BERHASIL
"UNIVERSITAS KRISTEN INDONESIA MALUKU, AMBON",ILMU KEPERAWATAN,S1,B,BERHASIL
"UNIVERSITAS KUSUMA HUSADA SURAKARTA, SURAKARTA",PROMOSI KESEHATAN,D-IV,B,BERHASIL
"UNIVERSITAS KUSUMA HUSADA SURAKARTA, SURAKARTA",GIZI,S1,B,BERHASIL
"UNIVERSITAS KUSUMA HUSADA SURAKARTA, SURAKARTA",KEPERAWATAN,D-III,A,BERHASIL
"UNIVERSITAS MERDEKA SURABAYA, SURABAYA",KEBIDANAN,D-III,B,BERHASIL
"UNIVERSITAS MOHAMMAD HUSNI THAMRIN, JAKARTA",KESEHATAN MASYARAKAT,S2,B,BERHASIL
"UNIVERSITAS MUHAMMADIYAH GRESIK, GRESIK",ILMU GIZI,S1,B,BERHASIL
"UNIVERSITAS MUHAMMADIYAH GRESIK, GRESIK",ILMU KEPERAWATAN,S1,B,BERHASIL
"UNIVERSITAS MUHAMMADIYAH GRESIK, GRESIK",NERS,PROFESI,B,BERHASIL
"UNIVERSITAS MUHAMMADIYAH KALIMANTAN TIMUR, SAMARINDA",KESEHATAN LINGKUNGAN,D-III,B,BERHASIL
"UNIVERSITAS MUHAMMADIYAH LAMONGAN, LAMONGAN",KEPERAWATAN,S1,B,BERHASIL
"UNIVERSITAS MUHAMMADIYAH LAMONGAN, LAMONGAN",NERS,PROFESI,B,BERHASIL
"UNIVERSITAS BRAWIJAYA, MALANG",KEDOKTERAN FISIK DAN REHABILITASI,SPESIALIS,B,BERHASIL
"UNIVERSITAS MUHAMMADIYAH SURABAYA, SURABAYA",ANALIS KESEHATAN,D-III,A,BERHASIL
"UNIVERSITAS NAHDLATUL ULAMA SURABAYA, SURABAYA",KEBIDANAN,D-III,A,BERHASIL
"UNIVERSITAS NASIONAL KARANGTURI SEMARANG, SEMARANG",MANAJEMEN INFORMASI KESEHATAN,S1,C,BERHASIL
"UNIVERSITAS NEGERI MANADO, TONDANO",ILMU KESEHATAN MASYARAKAT,S1,C,BERHASIL
"UNIVERSITAS PADJADJARAN, BANDUNG",KEPERAWATAN K. PANGANDARAN,S1,B,BERHASIL
"UNIVERSITAS PELITA HARAPAN, TANGERANG",ILMU KEPERAWATAN,S1,BAIK SEKALI,BERHASIL
"UNIVERSITAS PELITA HARAPAN, TANGERANG",NERS,PROFESI,BAIK SEKALI,BERHASIL
"UNIVERSITAS PERINTIS INDONESIA, PADANG",GIZI,S1,B,BERHASIL
"UNIVERSITAS PERINTIS INDONESIA, PADANG",GIZI,D-III,B,BERHASIL
"UNIVERSITAS PERINTIS INDONESIA, PADANG",TEKNOLOGI LABORATORIUM MEDIS,D-IV,B,BERHASIL
"UNIVERSITAS PERINTIS INDONESIA, PADANG",TEKNOLOGI LABORATORIUM MEDIS,D-III,B,BERHASIL
"UNIVERSITAS PRIMA INDONESIA, MEDAN",PENDIDIKAN DOKTER,S1,A,BERHASIL
"UNIVERSITAS PRIMA INDONESIA, MEDAN",DOKTER,PROFESI,A,BERHASIL
"UNIVERSITAS RATU SAMBAN, ARGA MAKMUR",KEPERAWATAN,D-III,C,GAGAL COCOK
"UNIVERSITAS RESPATI INDONESIA, JAKARTA",KEBIDANAN,D-III,B,BERHASIL
"UNIVERSITAS UBUDIYAH INDONESIA, BANDA ACEH",ILMU GIZI,S1,B,BERHASIL
"UNIVERSITAS UDAYANA, DENPASAR",ILMU KESEHATAN ANAK,SPESIALIS,UNGGUL,BERHASIL
"UNIVERSITAS WIDYA DHARMA KLATEN, KLATEN",FISIOTERAPI,D-III,C,BERHASIL
INSTITUT BISNIS MUHAMMADIYAH BEKASI,ILMU KOMUNIKASI,S1,BAIK,BERHASIL
