institution_name,prodi_name,jenjang,akreditasi_prodi,status_pencocokan
STAI PERSIS GARUT,PENDIDIKAN AGAMA ISLAM,S1,BAIK SEKALI,BERHASIL
UNIVERSITAS MUHAMMADIYAH SURAKARTA,HUKUM EKONOMI SYARI`AH,S1,UNGGUL,BERHASIL
UNIVERSITAS WIJAYA KUSUMA SURABAYA,INFORMATIKA,S1,B,BERHASIL
INSTITUT SENI INDONESIA SURAKARTA,SENI,S2,A,BERHASIL
UNIVERSITAS NEGERI MEDAN,PENDIDIKAN TEKNIK MESIN,S1,UNGGUL,BERHASIL
INSTITUT SAINS DAN TEKNOLOGI AKPRIND,MANAJEMEN INFORMATIKA,D-III,B,GAGAL COCOK
SEKOLAH TINGGI TEKNOLOGI MITRA KARYA,TEKNIK INDUSTRI,S1,C,GAGAL COCOK
STMIK BINA INSANI,MANAJEMEN INFORMATIKA,D-III,B,GAGAL COCOK
SEKOLAH TINGGI ILMU TARBIYAH KUPANG,PENDIDIKAN AGAMA ISLAM,S1,C,GAGAL COCOK
AKADEMI AKUNTANSI BINA INSANI,AKUNTANSI,D-III,B,GAGAL COCOK
SEKOLAH TINGGI TEKNOLOGI MITRA KARYA,TEKNIK ELEKTRO,S1,C,GAGAL COCOK
IAIN PURWOKERTO,HUKUM EKONOMI SYARIAH,S2,A,GAGAL COCOK
UNIVERSITAS ISLAM NEGERI RADEN FATAH PALEMBANG,PENDIDIKAN GURU MADRASAH IBTIDAIYAH,S1,A,BERHASIL
UNIVERSITAS ISLAM NEGERI MATARAM,ILMU FALAK,S1,B,BERHASIL
UNIVERSITAS PRADITA,DESAIN KOMUNIKASI VISUAL,S1,BAIK,BERHASIL
SEKOLAH TINGGI PENDIDIKAN ISLAM BINA INSAN MULIA YOGYAKARTA,PENDIDIKAN ISLAM ANAK USIA DINI,S1,BAIK SEKALI,BERHASIL
POLITEKNIK PERTANIAN YASANTO,BUDIDAYA TANAMAN PANGAN,D-III,BAIK,BERHASIL
UNIVERSITAS INDONESIA,PROFESI ARSITEK,PROFESI,B,BERHASIL
INSTITUT MANAJEMEN KOPERASI INDONESIA,EKONOMI SYARIAH,S1,BAIK,GAGAL COCOK
UNIVERSITAS GADJAH MADA,DOKTOR ILMU TEKNIK PERTANIAN,S3,A,BERHASIL
UNIVERSITAS BRAWIJAYA,PROFESI AKUNTAN,PROFESI,A,BERHASIL
UNIVERSITAS BINA NUSANTARA,STATISTIKA,S1,B,BERHASIL
SEKOLAH TINGGI ILMU EKONOMI SABANG,AKUNTANSI,S1,B,BERHASIL
