institution_name,province,campus_accreditation,average_yearly_fee,kategori_final,link
UNIVERSITAS MUHAMMADIYAH TANGERANG,BANTEN,B,68250000.0,BANTEN - Mahal (40-100 Jt) - Baik Sekali (B),https://rencanamu.id/cari-kampus/universitas-muhammadiyah-tangerang
UNIVERSITAS PELITA HARAPAN,BANTEN,B,61000000.0,BANTEN - Mahal (40-100 Jt) - Baik Sekali (B),https://rencanamu.id/cari-kampus/universitas-pelita-harapan
UNIVERSITAS LINTAS INTERNASIONAL INDONESIA,BANTEN,BAIK SEKALI,61000000.0,BANTEN - Mahal (40-100 Jt) - Baik Sekali (B),-
UNIVERSITAS SWISS GERMAN,BANTEN,BAIK SEKALI,59000000.0,BANTEN - Mahal (40-100 Jt) - Baik Sekali (B),https://rencanamu.id/cari-kampus/universitas-swiss-german
UNIVERSITAS SURYA,BANTEN,BAIK,36600000.0,BANTEN - Terjangkau (5-15 Jt) - Baik,https://campus.quipper.com/directory/universitas-surya
UNIVERSITAS MULTIMEDIA NUSANTARA,BANTEN,A,27000000.0,BANTEN - Terjangkau (5-15 Jt) - Baik Sekali (B),https://campus.quipper.com/directory/universitas-multimedia-nusantara
UNIVERSITAS CENDEKIA ABDITAMA,BANTEN,BAIK,24000000.0,BANTEN - Terjangkau (5-15 Jt) - Baik,https://campus.quipper.com/directory/universitas-cendekia-abditama
UNIVERSITAS MATANA,BANTEN,BAIK,22985000.0,BANTEN - Terjangkau (5-15 Jt) - Baik,https://rencanamu.id/cari-kampus/universitas-matana
SEKOLAH TINGGI ILMU KESEHATAN SALSABILA SERANG,BANTEN,BAIK,19600000.0,BANTEN - Terjangkau (5-15 Jt) - Baik,-
UNIVERSITAS FALETEHAN,BANTEN,BAIK,19200000.0,BANTEN - Terjangkau (5-15 Jt) - Baik,-
UNIVERSITAS BHAKTI ASIH TANGERANG,BANTEN,BAIK,18000000.0,BANTEN - Terjangkau (5-15 Jt) - Baik,-
UNIVERSITAS ISLAM SYEKH YUSUF,BANTEN,B,15000000.0,BANTEN - Terjangkau (5-15 Jt) - Baik Sekali (B),https://rencanamu.id/cari-kampus/universitas-islam-syekh-yusuf
UNIVERSITAS PEMBANGUNAN JAYA,BANTEN,BAIK SEKALI,14960000.0,BANTEN - Terjangkau (5-15 Jt) - Baik Sekali (B),-
STIKES FAATHIR HUSADA,BANTEN,BAIK,14000000.0,BANTEN - Terjangkau (5-15 Jt) - Baik,-
INSTITUT TEKNOLOGI INDONESIA,BANTEN,BAIK SEKALI,14000000.0,BANTEN - Terjangkau (5-15 Jt) - Baik Sekali (B),https://campus.quipper.com/directory/institut-teknologi-indonesia
INSTITUT TEKNOLOGI DAN BISNIS BINA SARANA GLOBAL,BANTEN,B,14000000.0,BANTEN - Terjangkau (5-15 Jt) - Baik Sekali (B),-
SEKOLAH TINGGI ILMU KESEHATAN WIDYA DHARMA HUSADA TANGERANG,BANTEN,BAIK SEKALI,13500000.0,BANTEN - Terjangkau (5-15 Jt) - Baik Sekali (B),-
UNIVERSITAS RAHARJA,BANTEN,TERAKREDITASI,12375870.0,BANTEN - Terjangkau (5-15 Jt) - Baik,https://campus.quipper.com/directory/universitas-raharja
UNIVERSITAS INSAN PEMBANGUNAN INDONESIA,BANTEN,BAIK,12255000.0,BANTEN - Terjangkau (5-15 Jt) - Baik,-
SEKOLAH TINGGI ILMU EKONOMI DWIMULYA,BANTEN,BAIK,11600000.0,BANTEN - Terjangkau (5-15 Jt) - Baik,-
UNIVERSITAS SALAKANAGARA,BANTEN,B,11400000.0,BANTEN - Terjangkau (5-15 Jt) - Baik Sekali (B),-
UNIVERSITAS YATSI MADANI,BANTEN,BAIK SEKALI,11000000.0,BANTEN - Terjangkau (5-15 Jt) - Baik Sekali (B),https://campus.quipper.com/directory/universitas-yatsi-madani
UNIVERSITAS SETIA BUDHI RANGKASBITUNG,BANTEN,BAIK,10920000.0,BANTEN - Terjangkau (5-15 Jt) - Baik,-
UNIVERSITAS YUPPENTEK INDONESIA,BANTEN,BAIK,10850000.0,BANTEN - Terjangkau (5-15 Jt) - Baik,-
SEKOLAH TINGGI ILMU KESEHATAN BANTEN,BANTEN,BAIK,10800000.0,BANTEN - Terjangkau (5-15 Jt) - Baik,-
UNIVERSITAS SERANG RAYA,BANTEN,B,10524500.0,BANTEN - Terjangkau (5-15 Jt) - Baik Sekali (B),https://campus.quipper.com/directory/universitas-serang-raya
