faculty,building_name,address,institution_code
FAKULTAS TEKNOLOGI INDUSTRI,Kampus Utama,"Jln. Kaliurang Km. 14.5, Sleman, Yogyakarta, 55584",quipper-49
FAKULTAS BISNIS DAN EKONOMIKA,Kampus Utama,"Jln. Kaliurang Km. 14.5, Sleman, Yogyakarta, 55584",quipper-49
ALL,Kampus Utama,"Jalan R.A. Kartini No. 66 Bekasi, Jawa Barat 17113",quipper-50
ALL,Graha STTII Surabaya,"Jl. Raya Panjang Jiwo Permai 1, Tenggilis Mojoyo, Surabaya",quipper-51
ALL,Kampus Utama,"Jl. Pengasinan Rawa Semut, Margahayu, Bekasi Timur 17113",quipper-52
ALL,Kampus Utama,"Jalan Sunan Ampel Nomor 7, Ngronggo, Kecamatan Kota, Kabupaten Kediri, Jawa Timur 64127",quipper-53
ALL,Kampus Utama,"Jalan Laksda Adi Sucipto 249A Blimbing, Malang, Jawa Timur",quipper-54
ALL,Kampus Utama,"Jl. Tol Ciawi No. 1, Ciawi-Bogor",quipper-55
ALL,Kampus Utama,"Jl. IKPN Bintaro No.1, RT. 4 / RW. 12, Bintaro, Pesanggrahan, Jakarta Selatan, 12330",quipper-56
ALL,Kampus Utama,"Jl. Mertojoyo Blok L, Merjosari, Kec. Lowokwaru, Kota Malang, Jawa Timur 65144",quipper-57
ALL,Kampus Utama,"Jl. Cimanuk No. 20, Wonokromo, Surabaya, Jawa Timur",quipper-58
ADMINISTRASI BISNIS,Kampus Utama,"Jl. Rawajati Timur I/1. Kalibata, Pancoran. Jakarta Selatan, DKI Jakarta. 12750",quipper-59
ALL,Kampus Cikarang,"Jalan Inspeksi Kalimalang Tegal Danas, Cikarang Pusat",quipper-60
ALL,Kampus Karawang,"Kondangjaya, Karawang Timur, Karawang, West Java 41371",quipper-60
ALL,Kampus Bekasi,"Ruko Bekasi Mas, Jalan A.Yani, RT 004 RW 003, Marga Jaya, Kecamatan Bekasi Selatan, Kota Bekasi, Jawa Barat 17148",quipper-60
PERKERETAAPIAN,Kampus Utama,"Jalan Tirta Raya, Kota Madiun, Jawa Timur",quipper-61
ALL,Kampus Utama,Jl. Raya Pondok Gede No.23-25 Jakarta Timur 13550,quipper-62
ALL,Kampus Utama,"Jalan Singosari Nomor 2A, Kota Semarang, Jawa Tengah 50242",quipper-63
ALL,Kampus Utama,"Jalan Ngagel Jaya Tengah 73-77, Surabaya, Indonesia",quipper-64
ALL,Kampus Utama,"Jalan Imam Bonjol, Tanema, Kecamatan Fakfak, Kabupaten Fakfak, Papua Barat 98611",quipper-65
ALL,Kampus Utama,"Jl.Bintaro Raya No.10, Tanah Kusir, Kebayoran Lama Utara, Jakarta Selatan",quipper-66
TEKNIK PENERBANGAN,Kampus Utama,"Jl. Raya PLP Curug, Serdang Wetan, Kec. Legok, Tangerang, Banten 15820",quipper-67
MANAJEMEN PENERBANGAN,Kampus Utama,"Jl. Raya PLP Curug, Serdang Wetan, Kec. Legok, Tangerang, Banten 15820",quipper-67
PENERBANG,Kampus Utama,"Jl. Raya PLP Curug, Serdang Wetan, Kec. Legok, Tangerang, Banten 15820",quipper-67
KESELAMATAN PENERBANGAN,Kampus Utama,"Jl. Raya PLP Curug, Serdang Wetan, Kec. Legok, Tangerang, Banten 15820",quipper-67
ALL,Kampus Utama,"Jl. Gapura No.8 Rawa Banteng Desa Cibuntu, Kecamatan Cibitung, Kabupaten Bekasi, Provinsi Jawa Barat, Indonesia.",quipper-68
ALL,Kampus Utama,"Jl. Brigjend Dharsono No.20, Kertawinangun, Kedawung, Kabupaten Cirebon, Jawa Barat 45153",quipper-69
ALL,Kampus Utama,"Jalan Pancaka No. 7B Mataram, Nusa Tenggara Barat, Indonesia",quipper-70
ALL,Kampus UBAYA Tenggilis,"Jl. Raya Kalirungkut, Surabaya",quipper-71
ALL,Kampus UBAYA Ngagel,"Jl. Ngagel Jaya Selatan 169, Surabaya",quipper-71
ALL,Kampus UBAYA III Trawas,"Jl. Tamiajeng, Trawas, Mojokerto, Jawa Timur",quipper-71
ALL,Kampus Ngagel,"Jalan Ngagel Dadi III-3B/37 Surabaya 60245 Jawa Timur, Indonesia",quipper-72
ALL,Kampus Menanggal,"Jalan Dukuh Menanggal XII, Surabaya 60234 Jawa Timur, Indonesia",quipper-72
ALL,Kampus Utama,"Jalan Sriwijaya Nomor 32, Karangrejo, Sumbersari, Jember, Jawa Timur, Indonesia",quipper-73
ALL,Kampus Utama,"Jalan Marunda Makmur Cilincing, Jakarta Utara 14150, Indonesia",quipper-74
