faculty,prodi,quipper_institution_code
Fakultas Ekonomi dan Bisnis,Kewirausahaan,151
Fakultas Ekonomi dan Bisnis,Akuntansi,151
Fakultas Hukum,Hukum Bisnis,151
Fakultas Teknik,Manajemen Rekayasa dan Konstruksi,151
Fakultas Teknik,Arsitektur,151
Fakultas Teknik,Perencanaan Wilayah dan Kota,151
Fakultas Teknik,Desain Produk,151
Fakultas Psikologi,Psikologi,155
Fakultas Ilmu Kesehatan,Analis Kesehatan,155
Fakultas Teknik,Analis Kimia,155
Fakultas Teknik,Teknik Kimia,155
Fakultas Teknik,Teknik Industri,155
Fakultas Farmasi,Analis Farmasi dan Makanan,155
Fakultas Farmasi,Farmasi,155
Fakultas Farmasi,Apoteker,155
Fakultas Ekonomi,Akuntansi,155
Fakultas Ekonomi,Manajemen,155
Fakultas Ekonomika dan Bisnis,Manajemen,156
Fakultas Ekonomika dan Bisnis,Akuntansi,156
Fakultas Ekonomika dan Bisnis,Ekonomi Pembangunan,156
Fakultas Teknik,Teknik Elektro,156
Fakultas Teknik,Teknik Sipil,156
Fakultas Teknik,Arsitektur,156
Fakultas Hukum,Ilmu Hukum,156
Fakultas Ilmu Sosial dan Ilmu Politik,Ilmu Administrasi Negara,156
Fakultas Peternakan,Peternakan,156
Fakultas Sains dan Teknologi,Komputerisasi Akuntansi,157
Fakultas Sains dan Teknologi,Manajemen Informatika,157
Fakultas Sains dan Teknologi,Teknik Informatika,157
Fakultas Sains dan Teknologi,Sistem Informasi,157
Fakultas Sains dan Teknologi,Sistem Komputer,157
Fakultas Sains dan Teknologi,Pendidikan Teknologi Informasi,157
Fakultas Sains dan Teknologi,Desain Komunikasi Visual,157
Fakultas Sains dan Teknologi,Sains Data,157
Fakultas Sains dan Teknologi,Magister Teknik Informatika,157
Fakultas Ekonomi dan Bisnis,Akuntansi,157
Fakultas Ekonomi dan Bisnis,Manajemen Retail,157
Fakultas Ekonomi dan Bisnis,Bisnis Digital,157
Fakultas Ekonomi dan Bisnis,Kewirausahaan,157
Ekonomi dan Bisnis,Ilmu Ekonomi,158
Ekonomi dan Bisnis,Akuntansi,158
Ekonomi dan Bisnis,Perbankan,158
Ekonomi dan Bisnis,Manajemen,158
Fakultas Ekonomi dan Bisnis,Akuntansi,159
Fakultas Ekonomi dan Bisnis,Manajemen,159
Fakultas Ekonomi dan Bisnis,Ekonomi Pembangunan,159
Fakultas Ekonomi dan Bisnis,Ilmu Ekonomi,159
Fakultas Teknik,Teknik Industri,159
Fakultas Teknik,Teknik Mesin,159
Fakultas Teknik,Teknik Sipil,159
Fakultas Teknik,Teknik Arsitekur,159
Fakultas Teknik,Teknik Elektro,159
Fakultas Teknik,Teknik Informatika,159
Fakultas Ilmu Budaya,Sastra Jepang,159
Fakultas Ilmu Budaya,Sastra Inggris,159
Fakultas Ilmu Sosial dan Ilmu Politik,Administrasi Negara (Publik),159
Fakultas Ilmu Sosial dan Ilmu Politik,Administrasi Niaga (Bisnis),159
Fakultas Ilmu Sosial dan Ilmu Politik,Ilmu Komunikasi,159
Fakultas Ilmu Sosial dan Ilmu Politik,Ilmu Administrasi Publik,159
Fakultas Ilmu Sosial dan Ilmu Politik,Ilmu Administrasi,159
Fakultas Hukum,Ilmu Hukum,159
Fakultas Psikologi,Psikologi,159
Fakultas Psikologi,Magister Psikologi,159
Fakultas Psikologi,Psikologi Profesi,159
Fakultas Vokasi,Teknologi Manufaktur,159
Fakultas Vokasi,Teknologi Listrik,159
Fakultas Vokasi,Agroindustri,159
Ekonomi dan Bisnis,Bisnis Digital,161
Ekonomi dan Bisnis,Kewirausahaan,161
Ilmu Kesehatan,Kebidanan,161
Ilmu Kesehatan,Teknologi Laboratorium Medis,161
Ilmu Kesehatan,Ilmu Keperawatan,161
Ilmu Kesehatan,Farmasi,161
Sarjana,Pendidikan Bahasa Indonesia,163
Sarjana,Pendidikan Bahasa Inggris,163
Sarjana,Pendidikan Fisika,163
Sarjana,Pendidikan Guru Sekolah Dasar,163
Sarjana,Pendidikan Matematika,163
Fakultas Teknik Sipil dan Perencanaan,Teknik Geodesi,164
Fakultas Teknik Sipil dan Perencanaan,Arsitektur,164
Fakultas Teknik Sipil dan Perencanaan,Teknik Lingkungan,164
Fakultas Teknik Sipil dan Perencanaan,Teknik Sipil,164
Fakultas Teknik Sipil dan Perencanaan,Perencanaan Wilayah dan Kota,164
Fakultas Teknologi Industri,Teknik Mesin,164
Fakultas Teknologi Industri,Teknik Listrik,164
Fakultas Teknologi Industri,Teknik Industri,164
Fakultas Teknologi Industri,Teknik Kimia,164
Fakultas Teknologi Industri,Teknik Informatika,164
Fakultas Teknologi Industri,Teknik Elektro,164
Fakultas Teknologi Industri,Bisnis Digital,164
Pascasarjana,Teknik Sipil,164
Pascasarjana,Teknik Industri,164
Pascasarjana,Teknik Elektro,164
Fakultas Ekonomi,Ketatalaksanaan Pelayaran Niaga dan Kepelabuhan,165
Fakultas Ekonomi,Akuntansi,165
Fakultas Ekonomi,Manajemen,165
Fakultas Ilmu Komunikasi,Ilmu Komunikasi,165
Fakultas Teknik,Arsitektur,165
Fakultas Teknik,Teknik Industri,165
Fakultas Teknik,Teknik Mesin,165
Fakultas Teknik,Teknik Elektro,165
Fakultas Teknik,Teknik Sipil,165
Fakultas Teknik,Teknik Informatika,165
Fakultas Hukum,Ilmu Hukum,165
Fakultas Ilmu Sosial dan Ilmu Politik,Hubungan Internasional,166
Fakultas Ilmu Sosial dan Ilmu Politik,Kriminologi,166
Fakultas Teknik,Arsitektur,166
Fakultas Teknik,Teknik Elektro,166
Fakultas Komunikasi dan Desain Kreatif,Ilmu Komunikasi,166
Fakultas Komunikasi dan Desain Kreatif,Desain Komunikasi Visual,166
Fakultas Ekonomi dan Bisnis,Manajemen,166
Fakultas Ekonomi dan Bisnis,Akuntansi,166
Fakultas Ekonomi dan Bisnis,Sekretari,166
Fakultas Ekonomi dan Bisnis,Manajemen Bencana,166
Fakultas Teknologi Informasi,Ilmu Komputer,166
Fakultas Teknologi Informasi,Sistem Informasi,166
Fakultas Teknologi Informasi,Sistem Komputer,166
Fakultas Teknologi Informasi,Teknik Informatika,166
Fakultas Teknologi Informasi,Manajemen Informatika,166
Fakultas Teknologi Informasi,Komputerisasi Akuntansi,166
Kesehatan,Farmasi,168
Kesehatan,Gizi,168
Kesehatan,Pendidikan Dokter Gigi,168
Kesehatan,Kesehatan Lingkungan,168
Kesehatan,Ilmu Teknik,168
