primary_key,institution_name,rank
255,Universitas Putra Indonesia YPTK Padang,255
256,Universitas Pembangunan Panca Budi,256
257,Universitas Swiss German,257
258,Universitas Trilogi,258
259,Universitas Palembang,259
260,Universitas Prof. Dr. Moestopo,260
261,Universitas Multi Data Palembang,261
262,Universitas Darunnajah,262
263,Universitas Papua,263
264,Universitas Pekalongan,264
265,Universitas Dehasen Bengkulu,265
266,Universitas Galuh Ciamis,266
267,Universitas Slamet Riyadi,267
268,Universitas Sains Al-Qur'an,268
269,Universitas 'Aisyiyah Surakarta,269
270,Universitas Setia Budi Surakarta,270
271,Universitas Merdeka Pasuruan,271
272,Universitas Persada Indonesia YAI,272
273,Universitas Nahdlatul Ulama Sidoarjo,273
274,Universitas Janabadra,274
275,Universitas Musamus,275
276,Universitas Graha Nusantara Padangsidimpuan,276
277,Universitas Batanghari,277
278,Universitas Islam Raden Rahmat,278
279,Universitas Katolik Santo Thomas,279
280,Universitas Wisnuwardhana,280
281,Universitas PGRI Sumatera Barat,281
282,Universitas Duta Bangsa Surakarta,282
283,Universitas Nahdlatul Ulama Al Ghazali,283
284,Universitas Krisnadwipayana,284
285,Universitas Muhammadiyah Kudus,285
286,Universitas Nahdlatul Ulama Sunan Giri,286
287,Universitas AKI,287
288,Universitas Muhammadiyah Sukabumi,288
289,Universitas Islam Madura Pamekasan,289
290,Universitas Bina Bangsa Getsempena,290
291,Universitas Sari Mutiara Indonesia,291
292,Universitas Indo Global Mandiri,292
293,Universitas Respati Yogyakarta,293
294,Universitas Islam As-Syafiiyah,294
295,Universitas Darussalam Gontor,295
296,Universitas Adhirajasa Reswara Sanjaya,296
297,Universitas Veteran Bangun Nusantara,297
298,Universitas Abdurachman Saleh,298
299,Universitas Ngudi Waluyo,299
300,Universitas Yudharta Pasuruan,300
301,Universitas Ma Chung,301
302,Universitas Bung Karno,302
303,Universitas Islam Internasional Indonesia,303
304,Universitas Peradaban Bumiayu,304
305,Universitas Islam 45 Bekasi,305
306,Universitas Islam Majapahit,306
307,Universitas Muhadi Setiabudi,307
308,Universitas Mohammad Husni Thamrin,308
309,Universitas Hindu Indonesia,309
310,Universitas Islam Syekh-Yusuf,310
311,Universitas Islam Negeri Datokarama Palu,311
312,Universitas Nurul Jadid,312
313,Universitas Katolik Widya Mandira,313
314,Universitas Muhammadiyah Kupang,314
315,Universitas Katolik Musi Charitas,315
316,Universitas Klabat,316
317,Universitas Sembilanbelas November Kolaka,317
318,Universitas Dharma Andalas,318
319,Universitas Indonesia Timur,319
320,Universitas Pandanaran,320
321,Universitas Katolik Widya Mandala Madiun,321
322,Universitas Fajar,322
323,Universitas Islam Al-azhar Mataram,323
324,Universitas Indonesia Membangun,324
325,Universitas Tanri Abeng,325
326,Universitas KH. A. Wahab Hasbullah,326
327,Universitas Harapan Bangsa,327
328,Universitas Tunas Pembangunan,328
329,Universitas Tulang Bawang,329
330,Universitas Buddhi Dharma,330
331,Universitas Muhammadiyah Sorong,331
332,Universitas Langlangbuana,332
333,Universitas Borobudur,333
334,Universitas Muhammadiyah Pontianak,334
335,Universitas Islam Kuantan Singingi,335
336,Universitas Dinamika Bangsa,336
337,Universitas Cokroaminoto Palopo,337
338,Universitas Muhammadiyah Palopo,338
339,Universitas Muhammadiyah Buton,339
340,Universitas Sahid,340
341,Universitas Andi Djemma,341
342,Universitas Teknologi Digital Indonesia,342
343,Universitas Abulyatama,343
344,Universitas Darussalam Ambon,344
345,Universitas Muhammadiyah Tapanuli Selatan,345
346,Universitas Nahdlatul Ulama Blitar,346
347,Universitas Bosowa,347
348,Universitas Kristen Wira Wacana Sumba,348
349,Universitas Islam Jember,349
350,Universitas Gresik,350
351,Universitas Kutai Kartanegara,351
352,Universitas Cokroaminoto Yogyakarta,352
353,Universitas Riau Kepulauan,353
354,Universitas Subang,354
355,Universitas Respati Indonesia,355
356,Universitas Nurtanio,356
357,Universitas Dirgantara Marsekal Suryadarma,357
358,Universitas WR Supratman,358
359,Universitas Internasional Semen Indonesia,359
360,Universitas Ubudiyah Indonesia,360
361,Universitas Flores,361
362,Universitas Matana,362
363,Universitas Proklamasi 45,363
364,Universitas PGRI Banyuwangi,364
365,Universitas Muhammadiyah Banjarmasin,365
