prodi_name,jenjang,akreditasi_prodi,institution_code
PENDIDIKAN GURU MADRASAH IBTIDAIYAH,S1,B,BANPT-STAI YAYASAN NURUL ISLAM MUARA BUNGO
HUKUM KELUARGA,S1,B,BANPT-1173
SISTEM KOMPUTER,S1,B,BANPT-2368
PENDIDIKAN TEKNOLOGI INFORMASI,S1,B,BANPT-1939
TEKNOLOGI PANGAN,S1,B,BANPT-2694
PENDIDIKAN GURU SEKOLAH DASAR,S1,B,BANPT-STKIP SUAR BANGLI
EKONOMI PEMBANGUNAN,S1,B,BANPT-764
BIOLOGI,S1,B,BANPT-472
TEKNIK SIPIL,S1,BAIK,BANPT-UNIVERSITAS AZZAHRA
TEKNIK SIPIL,S1,BAIK,BANPT-2003
TEKNIK INDUSTRI,S1,BAIK,BANPT-3810
PSIKOLOGI,S1,BAIK SEKALI,BANPT-3807
PENYULUHAN PERTANIAN BERKELANJUTAN,D-IV,BAIK SEKALI,BANPT-1727
ILMU ADMINISTRASI,S2,B,BANPT-UNIVERSITAS WR SUPRATMAN
AKUNTANSI,S1,B,BANPT-1838
ILMU AL-QUR'AN DAN TAFSIR,S1,B,BANPT-2728
PENDIDIKAN BAHASA INGGRIS,S1,B,BANPT-STKIP NIAS SELATAN
ILMU PEMERINTAHAN,S1,B,BANPT-UNIVERSITAS MADAKO TOLI-TOLI
MANAJEMEN,S1,B,BANPT-UNIVERSITAS MADAKO TOLI-TOLI
SISTEM INFORMASI,S1,B,BANPT-2029
TEOLOGI,S1,B,BANPT-3802
MANAJEMEN,S1,B,BANPT-3264
MANAJEMEN,S1,B,BANPT-2259
ILMU HUKUM,S1,A,BANPT-2
PENDIDIKAN KIMIA,S1,B,BANPT-330
PERPAJAKAN,D-III,A,BANPT-2562
TEKNIK PRODUKSI BENIH,D-IV,B,BANPT-POLITEKNIK NEGERI JEMBER
SISTEM INFORMASI,S1,B,BANPT-3689
MANAJEMEN PENDIDIKAN ISLAM,S1,B,BANPT-1544
HUKUM,S1,B,BANPT-2314
BIMBINGAN DAN KONSELING,S3,B,BANPT-3237
PENDIDIKAN GURU SEKOLAH DASAR,S1,B,BANPT-2175
DESAIN GRAFIS,D-III,B,BANPT-3729
TEKNIK BANGUNAN KAPAL,D-III,B,BANPT-1970
MANAJEMEN,S1,B,BANPT-3581
PENDIDIKAN BAHASA DAN SASTRA INDONESIA,S1,B,BANPT-STKIP NIAS SELATAN
AKUNTANSI,D-III,B,BANPT-1909
PARIWISATA,S1,B,BANPT-15
MANAJEMEN PENDIDIKAN ISLAM,S1,B,BANPT-3470
PENDIDIKAN SOSIOLOGI,S1,B,BANPT-313
SASTRA INGGRIS,S1,B,BANPT-310
PENDIDIKAN  BAHASA INGGRIS,S1,BAIK,BANPT-2470
ILMU LINGKUNGAN,S2,BAIK,BANPT-770
ARSITEKTUR,S1,BAIK,BANPT-627
ILMU HUKUM,S1,BAIK,BANPT-412
BUDIDAYA PERAIRAN,S1,B,BANPT-266
ILMU HUKUM,S1,B,BANPT-420
SASTRA INGGRIS,S1,B,BANPT-997
AKUNTANSI,D-III,B,BANPT-2698
PENDIDIKAN AGAMA ISLAM,S1,B,BANPT-3535
PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,S1,B,BANPT-STKIP PGRI JOMBANG
PENGECORAN,D-III,B,BANPT-2021
TEKNOLOGI HASIL PERIKANAN,S1,B,BANPT-608
MANAJEMEN,S1,B,BANPT-2386
PENDIDIKAN BAHASA INGGRIS,S1,B,BANPT-2112
AGROTEKNOLOGI,S1,B,BANPT-212
PENDIDIKAN SEJARAH,S1,B,BANPT-3234
TEKNIK MESIN,D-III,B,BANPT-1909
PERBANDINGAN MAZHAB,S1,A,BANPT-UNIVERSITAS ISLAM NEGERI SUNAN KALIJAGA YOGYAKARTA
PSIKOLOGI,S2,B,BANPT-3208
PENDIDIKAN AGAMA ISLAM,S1,B,BANPT-SEKOLAH TINGGI ILMU TARBIYAH AL-FATTAH SIMAN
PENDIDIKAN GEOGRAFI,S1,A,BANPT-3804
TEKNIK ELEKTRONIKA,D-III,B,BANPT-3804
TEKNIK SIPIL,D-III,B,BANPT-3804
PSIKOLOGI,S1,B,BANPT-570
PENDIDIKAN AGAMA ISLAM,S1,B,BANPT-SEKOLAH TINGGI ILMU TARBIYAH KABUPATEN TEBO
PENDIDIKAN BAHASA ARAB,S1,B,BANPT-SEKOLAH TINGGI AGAMA ISLAM YOGYAKARTA
PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,S1,B,BANPT-INSTITUT KEGURUAN DAN ILMU PENDIDIKAN PGRI PONTIANAK
ILMU PERPUSTAKAAN,S1,B,BANPT-2251
PENDIDIKAN AGAMA ISLAM,S1,A,BANPT-INSTITUT AGAMA ISLAM NEGERI SALATIGA
TEKNIK INDUSTRI,S1,B,BANPT-UNIVERSITAS GALUH CIAMIS
PENDIDIKAN GURU SEKOLAH DASAR,S1,B,BANPT-972
PENDIDIKAN AGAMA ISLAM,S1,B,BANPT-INSTITUT AGAMA ISLAM AL-AZIZIYAH SAMALANGA BIEREUEN ACEH
PERBANKAN SYARIAH,D-III,B,BANPT-957
PENDIDIKAN AGAMA ISLAM,S1,B,BANPT-INSTITUT AGAMA ISLAM MA&#039;ARIF METRO LAMPUNG
EKONOMI PEMBANGUNAN,S1,B,BANPT-SEKOLAH TINGGI ILMU EKONOMI MUHAMMADIYAH TANJUNG REDEB
AKUNTANSI,S1,B,BANPT-SEKOLAH TINGGI ILMU EKONOMI MUHAMMADIYAH TANJUNG REDEB
PENDIDIKAN AGAMA HINDU,S1,B,BANPT-INSTITUT HINDU DHARMA NEGERI DENPASAR
PENDIDIKAN GURU MADRASAH IBTIDAIYAH,S1,B,BANPT-SEKOLAH TINGGI AGAMA ISLAM AL-GAZALI SOPPENG
TEKNIK ELEKTRONIKA,D-III,B,BANPT-2111
PENDIDIKAN BAHASA DAN SASTRA DAERAH,S1,B,BANPT-SEKOLAH TINGGI KEGURUAN DAN ILMU PENDIDIKAN MUHAMMADIYAH KUNINGAN
MANAJEMEN,S1,A,BANPT-1099
ILMU POLITIK,S1,B,BANPT-514
SISTEM INFORMASI,S1,B,BANPT-SEKOLAH TINGGI MANAJEMEN INFORMATIKA DAN KOMPUTER WIDYA PRATAMA
TEKNIK ELEKTRONIKA,D-III,B,BANPT-AKADEMI TEKNOLOGI ADI UNGGUL BHIRAWA SURAKARTA
MANAJEMEN SUMBER DAYA PERAIRAN,S1,B,BANPT-3255
ILMU ADMINISTRASI NEGARA,S1,B,BANPT-2003
DESAIN PRODUK,S1,B,BANPT-2114
TEKNIK PERTANIAN,S1,B,BANPT-2945
PSIKOLOGI,S2,B,BANPT-2348
PENDIDIKAN MATEMATIKA,S1,B,BANPT-1872
KOMUNIKASI PENYIARAN ISLAM,S1,B,BANPT-1872
MANAJEMEN,S1,B,BANPT-3394
SASTRA INDONESIA,S1,B,BANPT-312
