primary_key,institution_name,rank
231,UNIVERSITAS MUHAMMADIYAH SUMATERA BARAT,231
232,UNIVERSITAS TEKNOLOGI YOGYAKARTA,232
233,UNIVERSITAS ABDURRAB,233
234,UNIVERSITAS TOMAKAKA,234
235,UNIVERSITAS BALIKPAPAN,235
236,UNIVERSITAS BORNEO TARAKAN,236
237,UNIVERSITAS MUHAMMADIYAH ACEH,237
238,UNIVERSITAS BHAYANGKARA JAKARTA RAYA,238
239,UNIVERSITAS MUHAMMADIYAH BENGKULU,239
240,UNIVERSITAS KRISTEN INDONESIA TORAJA,240
241,UNIVERSITAS KADIRI,241
242,UNIVERSITAS MUHAMMADIYAH CIREBON,242
243,UNIVERSITAS MUHAMMADIYAH PALU,243
244,UNIVERSITAS PRIMA INDONESIA,244
245,UNIVERSITAS WIRALODRA,245
246,UNIVERSITAS TEKNOLOGI SUMBAWA,246
247,UNIVERSITAS 17 AGUSTUS 1945,247
248,UNIVERSITAS SAMUDRA LANGSA,248
249,UNIVERSITAS MUHAMMADIYAH LAMONGAN,249
250,UNIVERSITAS PENDIDIKAN NASIONAL,250
251,UNIVERSITAS ISLAM KADIRI,251
252,UNIVERSITAS JAYABAYA,252
253,UNIVERSITAS PUTERA BATAM,253
254,UNIVERSITAS MAARIF HASYIM LATIF,254
255,UNIVERSITAS PUTRA INDONESIA YPTK PADANG,255
256,UNIVERSITAS PEMBANGUNAN PANCA BUDI,256
257,UNIVERSITAS SWISS GERMAN,257
258,UNIVERSITAS TRILOGI,258
259,UNIVERSITAS PALEMBANG,259
260,UNIVERSITAS PROF. DR. MOESTOPO,260
261,UNIVERSITAS MULTI DATA PALEMBANG,261
262,UNIVERSITAS DARUNNAJAH,262
263,UNIVERSITAS PAPUA,263
264,UNIVERSITAS PEKALONGAN,264
265,UNIVERSITAS DEHASEN BENGKULU,265
266,UNIVERSITAS GALUH CIAMIS,266
267,UNIVERSITAS SLAMET RIYADI,267
268,UNIVERSITAS SAINS AL-QUR'AN,268
269,UNIVERSITAS 'AISYIYAH SURAKARTA,269
270,UNIVERSITAS SETIA BUDI SURAKARTA,270
271,UNIVERSITAS MERDEKA PASURUAN,271
272,UNIVERSITAS PERSADA INDONESIA YAI,272
273,UNIVERSITAS NAHDLATUL ULAMA SIDOARJO,273
274,UNIVERSITAS JANABADRA,274
275,UNIVERSITAS MUSAMUS,275
276,UNIVERSITAS GRAHA NUSANTARA PADANGSIDIMPUAN,276
277,UNIVERSITAS BATANGHARI,277
278,UNIVERSITAS ISLAM RADEN RAHMAT,278
279,UNIVERSITAS KATOLIK SANTO THOMAS,279
280,UNIVERSITAS WISNUWARDHANA,280
