institution_code,institution_name,akreditasi_kampus,address,provinsi,faculty,prodi,akreditasi_prodi,average_semester_fee,starting_semester_fee,ending_semester_fee,average_yearly_fee,starting_yearly_fee,ending_yearly_fee
rencanamu-1564,UNIVERSITAS 17 AGUSTUS 1945 JAKARTA,-,-,DKI JAKARTA,UMUM,ILMU POLITIK,B,2500000,2500000,20000000,5000000,5000000,20000000
rencanamu-1565,UNIVERSITAS 17 AGUSTUS 1945 JAKARTA,-,-,DKI JAKARTA,UMUM,TEKNIK MESIN,B,2500000,2500000,20000000,5000000,5000000,20000000
rencanamu-1566,UNIVERSITAS 17 AGUSTUS 1945 JAKARTA,-,-,DKI JAKARTA,UMUM,TEKNIK ELEKTRO,B,2500000,2500000,20000000,5000000,5000000,20000000
rencanamu-1567,UNIVERSITAS 17 AGUSTUS 1945 JAKARTA,-,-,DKI JAKARTA,UMUM,TEKNIK SIPIL,B,2500000,2500000,20000000,5000000,5000000,20000000
rencanamu-1568,UNIVERSITAS MPU TANTULAR,B,-,DKI JAKARTA,UMUM,ILMU HUKUM,B,2750000,2750000,22000000,5500000,5500000,22000000
rencanamu-1569,UNIVERSITAS MPU TANTULAR,B,-,DKI JAKARTA,UMUM,AKUNTANSI,-,2750000,2750000,22000000,5500000,5500000,22000000
rencanamu-1570,UNIVERSITAS MPU TANTULAR,B,-,DKI JAKARTA,UMUM,MANAJEMEN,C,2750000,2750000,22000000,5500000,5500000,22000000
rencanamu-1571,UNIVERSITAS MPU TANTULAR,B,-,DKI JAKARTA,UMUM,ARSITEKTUR,B,2750000,2750000,22000000,5500000,5500000,22000000
rencanamu-1572,UNIVERSITAS MPU TANTULAR,B,-,DKI JAKARTA,UMUM,TEKNIK ELEKTRO,C,2750000,2750000,22000000,5500000,5500000,22000000
rencanamu-1573,UNIVERSITAS MPU TANTULAR,B,-,DKI JAKARTA,UMUM,TEKNIK INFORMATIKA,C,2750000,2750000,22000000,5500000,5500000,22000000
rencanamu-1574,UNIVERSITAS MPU TANTULAR,B,-,DKI JAKARTA,UMUM,TEKNIK INDUSTRI,-,2750000,2750000,22000000,5500000,5500000,22000000
rencanamu-1575,UNIVERSITAS MPU TANTULAR,B,-,DKI JAKARTA,UMUM,TEKNIK MESIN,-,2750000,2750000,22000000,5500000,5500000,22000000
rencanamu-1576,UNIVERSITAS MPU TANTULAR,B,-,DKI JAKARTA,UMUM,TEKNIK SIPIL,C,2750000,2750000,22000000,5500000,5500000,22000000
rencanamu-1577,UNIVERSITAS MPU TANTULAR,B,-,DKI JAKARTA,UMUM,ILMU KOMUNIKASI,C,2750000,2750000,22000000,5500000,5500000,22000000
rencanamu-1578,UNIVERSITAS MPU TANTULAR,B,-,DKI JAKARTA,UMUM,MANAJEMEN,B,2750000,2750000,22000000,5500000,5500000,22000000
rencanamu-1579,UNIVERSITAS MERCU BUANA JAKARTA,A,-,DKI JAKARTA,UMUM,MANAJEMEN,A,-,-,-,-,-,-
rencanamu-1580,UNIVERSITAS MERCU BUANA JAKARTA,A,-,DKI JAKARTA,UMUM,AKUNTANSI,A,-,-,-,-,-,-
rencanamu-1581,UNIVERSITAS MERCU BUANA JAKARTA,A,-,DKI JAKARTA,UMUM,TEKNIK SIPIL,B,-,-,-,-,-,-
rencanamu-1582,UNIVERSITAS MERCU BUANA JAKARTA,A,-,DKI JAKARTA,UMUM,TEKNIK ELEKTRO,A,-,-,-,-,-,-
rencanamu-1583,UNIVERSITAS MERCU BUANA JAKARTA,A,-,DKI JAKARTA,UMUM,TEKNIK INDUSTRI,B,-,-,-,-,-,-
rencanamu-1584,UNIVERSITAS MERCU BUANA JAKARTA,A,-,DKI JAKARTA,UMUM,ILMU KOMUNIKASI,A,-,-,-,-,-,-
rencanamu-1585,UNIVERSITAS MERCU BUANA JAKARTA,A,-,DKI JAKARTA,UMUM,TEKNIK MESIN,-,-,-,-,-,-,-
rencanamu-1586,UNIVERSITAS MERCU BUANA JAKARTA,A,-,DKI JAKARTA,UMUM,ARSITEKTUR,B,-,-,-,-,-,-
rencanamu-1587,UNIVERSITAS MERCU BUANA JAKARTA,A,-,DKI JAKARTA,UMUM,TEKNIK SIPIL,A,-,-,-,-,-,-
rencanamu-1588,UNIVERSITAS MERCU BUANA JAKARTA,A,-,DKI JAKARTA,UMUM,TEKNIK MESIN,A,-,-,-,-,-,-
rencanamu-1589,UNIVERSITAS MERCU BUANA JAKARTA,A,-,DKI JAKARTA,UMUM,TEKNIK KOMPUTER,A,-,-,-,-,-,-
rencanamu-1590,UNIVERSITAS MERCU BUANA JAKARTA,A,-,DKI JAKARTA,UMUM,SISTEM INFORMASI,B,-,-,-,-,-,-
rencanamu-1591,UNIVERSITAS MERCU BUANA JAKARTA,A,-,DKI JAKARTA,UMUM,ILMU PSIKOLOGI,A,-,-,-,-,-,-
rencanamu-1592,UNIVERSITAS MERCU BUANA JAKARTA,A,-,DKI JAKARTA,UMUM,DESAIN PRODUK,A,-,-,-,-,-,-
rencanamu-1593,UNIVERSITAS MERCU BUANA JAKARTA,A,-,DKI JAKARTA,UMUM,DESAIN INTERIOR,B,-,-,-,-,-,-
rencanamu-1594,UNIVERSITAS MERCU BUANA JAKARTA,A,-,DKI JAKARTA,UMUM,DESAIN KOMUNIKASI VISUAL,B,-,-,-,-,-,-
rencanamu-1595,INSTITUT TEKNOLOGI BUDI UTOMO,-,-,DKI JAKARTA,UMUM,TEKNIK ELEKTRO,B,-,-,-,-,-,-
rencanamu-1596,INSTITUT TEKNOLOGI BUDI UTOMO,-,-,DKI JAKARTA,UMUM,TEKNIK MESIN,B,-,-,-,-,-,-
rencanamu-1597,INSTITUT TEKNOLOGI BUDI UTOMO,-,-,DKI JAKARTA,UMUM,TEKNIK INFORMATIKA,B,-,-,-,-,-,-
rencanamu-1598,INSTITUT TEKNOLOGI BUDI UTOMO,-,-,DKI JAKARTA,UMUM,TEKNIK SIPIL,B,-,-,-,-,-,-
rencanamu-1599,UNIVERSITAS KRISTEN KRIDA WACANA,C,-,DKI JAKARTA,UMUM,KEDOKTERAN,B,-,-,-,-,-,-
rencanamu-1600,UNIVERSITAS KRISTEN KRIDA WACANA,C,-,DKI JAKARTA,UMUM,MANAJEMEN,A,-,-,-,-,-,-
rencanamu-1601,UNIVERSITAS KRISTEN KRIDA WACANA,C,-,DKI JAKARTA,UMUM,AKUNTANSI,A,-,-,-,-,-,-
rencanamu-1602,UNIVERSITAS KRISTEN KRIDA WACANA,C,-,DKI JAKARTA,UMUM,TEKNIK ELEKTRO,B,-,-,-,-,-,-
rencanamu-1603,UNIVERSITAS KRISTEN KRIDA WACANA,C,-,DKI JAKARTA,UMUM,TEKNIK INDUSTRI,B,-,-,-,-,-,-
rencanamu-1604,UNIVERSITAS KRISTEN KRIDA WACANA,C,-,DKI JAKARTA,UMUM,TEKNIK SIPIL,B,-,-,-,-,-,-
rencanamu-1605,UNIVERSITAS KRISTEN KRIDA WACANA,C,-,DKI JAKARTA,UMUM,SISTEM INFORMASI,B,-,-,-,-,-,-
rencanamu-1606,UNIVERSITAS KRISTEN KRIDA WACANA,C,-,DKI JAKARTA,UMUM,TEKNIK INFORMATIKA,B,-,-,-,-,-,-
rencanamu-1607,UNIVERSITAS KRISTEN KRIDA WACANA,C,-,DKI JAKARTA,UMUM,ILMU PSIKOLOGI,A,-,-,-,-,-,-
rencanamu-1608,UNIVERSITAS KRISTEN KRIDA WACANA,C,-,DKI JAKARTA,UMUM,SASTRA INGGRIS,B,-,-,-,-,-,-
rencanamu-1609,UNIVERSITAS PERTAMINA,-,-,DKI JAKARTA,UMUM,TEKNIK KIMIA,-,11750000,11750000,94000000,23500000,23500000,94000000
rencanamu-1610,UNIVERSITAS PERTAMINA,-,-,DKI JAKARTA,UMUM,TEKNIK MESIN,-,11750000,11750000,94000000,23500000,23500000,94000000
rencanamu-1611,UNIVERSITAS PERTAMINA,-,-,DKI JAKARTA,UMUM,TEKNIK LOGISTIK,-,11750000,11750000,94000000,23500000,23500000,94000000
rencanamu-1612,UNIVERSITAS PERTAMINA,-,-,DKI JAKARTA,UMUM,TEKNIK ELEKTRO,-,11750000,11750000,94000000,23500000,23500000,94000000
rencanamu-1613,UNIVERSITAS PERTAMINA,-,-,DKI JAKARTA,UMUM,KIMIA,-,11750000,11750000,94000000,23500000,23500000,94000000
rencanamu-1614,UNIVERSITAS PERTAMINA,-,-,DKI JAKARTA,UMUM,ILMU KOMPUTER,-,11750000,11750000,94000000,23500000,23500000,94000000
rencanamu-1615,UNIVERSITAS PERTAMINA,-,-,DKI JAKARTA,UMUM,HUBUNGAN INTERNASIONAL,-,11750000,11750000,94000000,23500000,23500000,94000000
rencanamu-1616,UNIVERSITAS PERTAMINA,-,-,DKI JAKARTA,UMUM,TEKNIK SIPIL,-,11750000,11750000,94000000,23500000,23500000,94000000
rencanamu-1617,UNIVERSITAS PERTAMINA,-,-,DKI JAKARTA,UMUM,TEKNIK LINGKUNGAN,-,11750000,11750000,94000000,23500000,23500000,94000000
rencanamu-1618,UNIVERSITAS PERTAMINA,-,-,DKI JAKARTA,UMUM,ILMU KOMUNIKASI,-,11750000,11750000,94000000,23500000,23500000,94000000
rencanamu-1619,UNIVERSITAS PERTAMINA,-,-,DKI JAKARTA,UMUM,TEKNIK GEOFISIKA,-,11750000,11750000,94000000,23500000,23500000,94000000
rencanamu-1620,UNIVERSITAS PERTAMINA,-,-,DKI JAKARTA,UMUM,TEKNIK PERMINYAKAN,-,11750000,11750000,94000000,23500000,23500000,94000000
rencanamu-1621,UNIVERSITAS PERTAMINA,-,-,DKI JAKARTA,UMUM,TEKNIK GEOLOGI,-,11750000,11750000,94000000,23500000,23500000,94000000
rencanamu-1622,UNIVERSITAS PERTAMINA,-,-,DKI JAKARTA,UMUM,MANAJEMEN,-,11750000,11750000,94000000,23500000,23500000,94000000
rencanamu-1623,UNIVERSITAS PERTAMINA,-,-,DKI JAKARTA,UMUM,ILMU EKONOMI,-,11750000,11750000,94000000,23500000,23500000,94000000
rencanamu-1624,INTERNATIONAL DESIGN SCHOOL,-,-,DKI JAKARTA,UMUM,DESIGN,-,-,-,-,-,-,-
rencanamu-1625,INTERNATIONAL DESIGN SCHOOL,-,-,DKI JAKARTA,UMUM,ANIMATION,-,-,-,-,-,-,-
rencanamu-1626,INTERNATIONAL DESIGN SCHOOL,-,-,DKI JAKARTA,UMUM,FILM,-,-,-,-,-,-,-
rencanamu-1627,SEKOLAH TINGGI MANAJEMEN INFORMATIKA & KOMPUTER IDS,-,-,DKI JAKARTA,UMUM,SISTEM INFORMASI,-,-,-,-,-,-,-
rencanamu-1628,SEKOLAH TINGGI MANAJEMEN INFORMATIKA & KOMPUTER IDS,-,-,DKI JAKARTA,UMUM,TEKNIK INFORMATIKA,-,-,-,-,-,-,-
rencanamu-1629,UNIVERSITAS BINAWAN,C,-,DKI JAKARTA,UMUM,MANAJEMEN,C,-,-,-,-,-,-
rencanamu-1630,UNIVERSITAS BINAWAN,C,-,DKI JAKARTA,UMUM,BAHASA INGGRIS,-,-,-,-,-,-,-
rencanamu-1631,UNIVERSITAS BINAWAN,C,-,DKI JAKARTA,UMUM,KESEJAHTERAAN SOSIAL,-,-,-,-,-,-,-
rencanamu-1632,UNIVERSITAS BINAWAN,C,-,DKI JAKARTA,UMUM,FISIOTERAPI,B,-,-,-,-,-,-
rencanamu-1633,UNIVERSITAS BINAWAN,C,-,DKI JAKARTA,UMUM,D3 KEBIDANAN,B,-,-,-,-,-,-
rencanamu-1634,UNIVERSITAS BINAWAN,C,-,DKI JAKARTA,UMUM,KESEHATAN DAN KESELAMATAN KERJA,B,-,-,-,-,-,-
rencanamu-1635,UNIVERSITAS BINAWAN,C,-,DKI JAKARTA,UMUM,TEKNOLOGI LABORATORIUM MEDIS,-,-,-,-,-,-,-
rencanamu-1636,UNIVERSITAS BINAWAN,C,-,DKI JAKARTA,UMUM,KEPERAWATAN,B,-,-,-,-,-,-
rencanamu-1637,UNIVERSITAS BINAWAN,C,-,DKI JAKARTA,UMUM,GIZI,B,-,-,-,-,-,-
rencanamu-1638,UNIVERSITAS BINAWAN,C,-,DKI JAKARTA,UMUM,TEKNIK LINGKUNGAN,-,-,-,-,-,-,-
rencanamu-1639,UNIVERSITAS BINAWAN,C,-,DKI JAKARTA,UMUM,PSIKOLOGI,-,-,-,-,-,-,-
rencanamu-1640,UNIVERSITAS BINAWAN,C,-,DKI JAKARTA,UMUM,AKTUARIA,-,-,-,-,-,-,-
rencanamu-1641,UNIVERSITAS BINAWAN,C,-,DKI JAKARTA,UMUM,BIOTEKNOLOGI,-,-,-,-,-,-,-
rencanamu-1642,UNIVERSITAS BINAWAN,C,-,DKI JAKARTA,UMUM,TEKNIK FISIKA,-,-,-,-,-,-,-
rencanamu-1643,UNIVERSITAS BINAWAN,C,-,DKI JAKARTA,UMUM,FARMASI,-,-,-,-,-,-,-
rencanamu-1644,TANRI ABENG UNIVERSITY,-,-,DKI JAKARTA,UMUM,TEKNIK ELEKTRO,-,-,-,-,-,-,-
rencanamu-1645,TANRI ABENG UNIVERSITY,-,-,DKI JAKARTA,UMUM,TEKNIK SIPIL,-,-,-,-,-,-,-
rencanamu-1646,TANRI ABENG UNIVERSITY,-,-,DKI JAKARTA,UMUM,TEKNIK PERMINYAKAN,-,-,-,-,-,-,-
rencanamu-1647,TANRI ABENG UNIVERSITY,-,-,DKI JAKARTA,UMUM,TEKNIK INFORMATIKA,-,-,-,-,-,-,-
rencanamu-1648,TANRI ABENG UNIVERSITY,-,-,DKI JAKARTA,UMUM,TEKNIK ARSITEKTUR,-,-,-,-,-,-,-
rencanamu-1649,TANRI ABENG UNIVERSITY,-,-,DKI JAKARTA,UMUM,SISTEM INFORMASI,-,-,-,-,-,-,-
rencanamu-1650,TANRI ABENG UNIVERSITY,-,-,DKI JAKARTA,UMUM,ADMINISTRASI BISNIS,-,-,-,-,-,-,-
rencanamu-1651,TANRI ABENG UNIVERSITY,-,-,DKI JAKARTA,UMUM,MANAJEMEN,-,-,-,-,-,-,-
rencanamu-1652,TANRI ABENG UNIVERSITY,-,-,DKI JAKARTA,UMUM,ILMU KOMUNIKASI,-,-,-,-,-,-,-
rencanamu-1653,TANRI ABENG UNIVERSITY,-,-,DKI JAKARTA,UMUM,AKUNTANSI,-,-,-,-,-,-,-
rencanamu-1654,RAFFLES COLLEGE INDONESIA,-,-,DKI JAKARTA,UMUM,ADMINISTRASI BISNIS,-,-,-,-,-,-,-
rencanamu-1655,RAFFLES COLLEGE INDONESIA,-,-,DKI JAKARTA,UMUM,DESAIN KOMUNIKASI VISUAL,-,-,-,-,-,-,-
rencanamu-1656,UNIVERSITAS BUNG KARNO,B,-,DKI JAKARTA,UMUM,ILMU HUKUM,B,-,-,-,-,-,-
rencanamu-1657,UNIVERSITAS BUNG KARNO,B,-,DKI JAKARTA,UMUM,ILMU KOMUNIKASI,C,-,-,-,-,-,-
rencanamu-1658,UNIVERSITAS BUNG KARNO,B,-,DKI JAKARTA,UMUM,ILMU POLITIK,B,-,-,-,-,-,-
rencanamu-1659,UNIVERSITAS BUNG KARNO,B,-,DKI JAKARTA,UMUM,SISTEM INFORMASI,B,-,-,-,-,-,-
rencanamu-1660,UNIVERSITAS BUNG KARNO,B,-,DKI JAKARTA,UMUM,SISTEM KOMPUTER,B,-,-,-,-,-,-
rencanamu-1661,UNIVERSITAS BUNG KARNO,B,-,DKI JAKARTA,UMUM,AKUNTANSI,B,-,-,-,-,-,-
rencanamu-1662,UNIVERSITAS BUNG KARNO,B,-,DKI JAKARTA,UMUM,MANAJEMEN,B,-,-,-,-,-,-
rencanamu-1663,UNIVERSITAS BUNG KARNO,B,-,DKI JAKARTA,UMUM,TEKNIK ELEKTRO,C,-,-,-,-,-,-
rencanamu-1664,UNIVERSITAS BUNG KARNO,B,-,DKI JAKARTA,UMUM,TEKNIK MESIN,B,-,-,-,-,-,-
rencanamu-1665,UNIVERSITAS BUNG KARNO,B,-,DKI JAKARTA,UMUM,TEKNIK SIPIL,B,-,-,-,-,-,-
rencanamu-1666,UNIVERSITAS BUNG KARNO,B,-,DKI JAKARTA,UMUM,ARSITEKTUR,B,-,-,-,-,-,-
rencanamu-1667,TRISAKTI SCHOOL OF MANAGEMENT,A,-,DKI JAKARTA,UMUM,MANAJEMEN,A,13250000,13250000,106000000,26500000,26500000,106000000
rencanamu-1668,TRISAKTI SCHOOL OF MANAGEMENT,A,-,DKI JAKARTA,UMUM,AKUNTANSI,A,13250000,13250000,106000000,26500000,26500000,106000000
rencanamu-1669,CALVIN INSTITUTE OF TECHNOLOGY,-,-,DKI JAKARTA,UMUM,TEKNIK ELEKTRO,-,27500000,27500000,220000000,55000000,55000000,220000000
rencanamu-1670,CALVIN INSTITUTE OF TECHNOLOGY,-,-,DKI JAKARTA,UMUM,CHEMICAL AND FOOD PROCESSING,-,27500000,27500000,220000000,55000000,55000000,220000000
rencanamu-1671,CALVIN INSTITUTE OF TECHNOLOGY,-,-,DKI JAKARTA,UMUM,BIOMEDICAL SCIENCE,-,27500000,27500000,220000000,55000000,55000000,220000000
rencanamu-1672,CALVIN INSTITUTE OF TECHNOLOGY,-,-,DKI JAKARTA,UMUM,STRUCTURAL AND GEOTECHNICAL ENGINEERING,-,27500000,27500000,220000000,55000000,55000000,220000000
rencanamu-1673,CALVIN INSTITUTE OF TECHNOLOGY,-,-,DKI JAKARTA,UMUM,ARCHITECTURAL AND SUSTAINABLE DESIGN,-,27500000,27500000,220000000,55000000,55000000,220000000
rencanamu-1674,CALVIN INSTITUTE OF TECHNOLOGY,-,-,DKI JAKARTA,UMUM,IT AND BIG DATA ANALYTICS,-,27500000,27500000,220000000,55000000,55000000,220000000
rencanamu-1675,UNIVERSITAS NASIONAL,A,-,DKI JAKARTA,UMUM,BIOLOGI,B,-,-,-,-,-,-
rencanamu-1676,UNIVERSITAS NASIONAL,A,-,DKI JAKARTA,UMUM,ILMU POLITIK,A,-,-,-,-,-,-
rencanamu-1677,UNIVERSITAS NASIONAL,A,-,DKI JAKARTA,UMUM,ADMINISTRASI,A,-,-,-,-,-,-
rencanamu-1678,UNIVERSITAS NASIONAL,A,-,DKI JAKARTA,UMUM,MANAJEMEN,B,-,-,-,-,-,-
rencanamu-1679,UNIVERSITAS NASIONAL,A,-,DKI JAKARTA,UMUM,ILMU HUKUM,B,-,-,-,-,-,-
rencanamu-1680,UNIVERSITAS NASIONAL,A,-,DKI JAKARTA,UMUM,HUBUNGAN INTERNASIONAL,B,-,-,-,-,-,-
rencanamu-1681,UNIVERSITAS NASIONAL,A,-,DKI JAKARTA,UMUM,ILMU ADMINISTRASI NEGARA,A,-,-,-,-,-,-
rencanamu-1682,UNIVERSITAS NASIONAL,A,-,DKI JAKARTA,UMUM,SOSIOLOGI,A,-,-,-,-,-,-
rencanamu-1683,UNIVERSITAS NASIONAL,A,-,DKI JAKARTA,UMUM,ILMU KOMUNIKASI,A,-,-,-,-,-,-
rencanamu-1684,UNIVERSITAS NASIONAL,A,-,DKI JAKARTA,UMUM,SASTRA INDONESIA,B,-,-,-,-,-,-
rencanamu-1685,UNIVERSITAS NASIONAL,A,-,DKI JAKARTA,UMUM,SASTRA INGGRIS,B,-,-,-,-,-,-
rencanamu-1686,UNIVERSITAS NASIONAL,A,-,DKI JAKARTA,UMUM,SASTRA JEPANG,B,-,-,-,-,-,-
rencanamu-1687,UNIVERSITAS NASIONAL,A,-,DKI JAKARTA,UMUM,BAHASA KOREA,C,-,-,-,-,-,-
rencanamu-1688,UNIVERSITAS NASIONAL,A,-,DKI JAKARTA,UMUM,MANAJEMEN,A,-,-,-,-,-,-
rencanamu-1689,UNIVERSITAS NASIONAL,A,-,DKI JAKARTA,UMUM,AKUNTANSI,B,-,-,-,-,-,-
rencanamu-1690,UNIVERSITAS NASIONAL,A,-,DKI JAKARTA,UMUM,PARIWISATA,B,-,-,-,-,-,-
rencanamu-1691,UNIVERSITAS NASIONAL,A,-,DKI JAKARTA,UMUM,TEKNIK ELEKTRO,B,-,-,-,-,-,-
rencanamu-1692,UNIVERSITAS NASIONAL,A,-,DKI JAKARTA,UMUM,TEKNIK MESIN,B,-,-,-,-,-,-
rencanamu-1693,UNIVERSITAS NASIONAL,A,-,DKI JAKARTA,UMUM,TEKNIK FISIKA,B,-,-,-,-,-,-
rencanamu-1694,UNIVERSITAS NASIONAL,A,-,DKI JAKARTA,UMUM,FISIKA,B,-,-,-,-,-,-
rencanamu-1695,UNIVERSITAS NASIONAL,A,-,DKI JAKARTA,UMUM,BIOLOGI,A,-,-,-,-,-,-
rencanamu-1696,UNIVERSITAS NASIONAL,A,-,DKI JAKARTA,UMUM,AGROTEKNOLOGI,B,-,-,-,-,-,-
rencanamu-1697,UNIVERSITAS NASIONAL,A,-,DKI JAKARTA,UMUM,SISTEM INFORMASI,B,-,-,-,-,-,-
rencanamu-1698,UNIVERSITAS NASIONAL,A,-,DKI JAKARTA,UMUM,TEKNIK INFORMATIKA,B,-,-,-,-,-,-
rencanamu-1699,UNIVERSITAS NASIONAL,A,-,DKI JAKARTA,UMUM,ILMU KEPERAWATAN,B,-,-,-,-,-,-
rencanamu-1700,UNIVERSITAS MUHAMMADIYAH PROF. DR. HAMKA,A,-,DKI JAKARTA,UMUM,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,A,-,-,-,-,-,-
rencanamu-1701,UNIVERSITAS MUHAMMADIYAH PROF. DR. HAMKA,A,-,DKI JAKARTA,UMUM,PENDIDIKAN BAHASA INGGRIS,A,-,-,-,-,-,-
rencanamu-1702,UNIVERSITAS MUHAMMADIYAH PROF. DR. HAMKA,A,-,DKI JAKARTA,UMUM,PENDIDIKAN GURU SD,A,-,-,-,-,-,-
rencanamu-1703,UNIVERSITAS MUHAMMADIYAH PROF. DR. HAMKA,A,-,DKI JAKARTA,UMUM,PENDIDIKAN GURU PAUD,B,-,-,-,-,-,-
rencanamu-1704,UNIVERSITAS MUHAMMADIYAH PROF. DR. HAMKA,A,-,DKI JAKARTA,UMUM,BIMBINGAN DAN KONSELING,A,-,-,-,-,-,-
rencanamu-1705,UNIVERSITAS MUHAMMADIYAH PROF. DR. HAMKA,A,-,DKI JAKARTA,UMUM,PENDIDIKAN SEJARAH,A,-,-,-,-,-,-
rencanamu-1706,UNIVERSITAS MUHAMMADIYAH PROF. DR. HAMKA,A,-,DKI JAKARTA,UMUM,PENDIDIKAN GEOGRAFI,A,-,-,-,-,-,-
rencanamu-1707,UNIVERSITAS MUHAMMADIYAH PROF. DR. HAMKA,A,-,DKI JAKARTA,UMUM,PENDIDIKAN EKONOMI,A,-,-,-,-,-,-
rencanamu-1708,UNIVERSITAS MUHAMMADIYAH PROF. DR. HAMKA,A,-,DKI JAKARTA,UMUM,PENDIDIKAN FISIKA,B,-,-,-,-,-,-
rencanamu-1709,UNIVERSITAS MUHAMMADIYAH PROF. DR. HAMKA,A,-,DKI JAKARTA,UMUM,PENDIDIKAN BIOLOGI,B,-,-,-,-,-,-
rencanamu-1710,UNIVERSITAS MUHAMMADIYAH PROF. DR. HAMKA,A,-,DKI JAKARTA,UMUM,PENDIDIKAN BAHASA JEPANG,B,-,-,-,-,-,-
rencanamu-1711,UNIVERSITAS MUHAMMADIYAH PROF. DR. HAMKA,A,-,DKI JAKARTA,UMUM,MANAJEMEN,B,-,-,-,-,-,-
rencanamu-1712,UNIVERSITAS MUHAMMADIYAH PROF. DR. HAMKA,A,-,DKI JAKARTA,UMUM,AKUNTANSI,B,-,-,-,-,-,-
rencanamu-1713,UNIVERSITAS MUHAMMADIYAH PROF. DR. HAMKA,A,-,DKI JAKARTA,UMUM,EKONOMI ISLAM,B,-,-,-,-,-,-
rencanamu-1714,UNIVERSITAS MUHAMMADIYAH PROF. DR. HAMKA,A,-,DKI JAKARTA,UMUM,TEKNIK MESIN,B,-,-,-,-,-,-
rencanamu-1715,UNIVERSITAS MUHAMMADIYAH PROF. DR. HAMKA,A,-,DKI JAKARTA,UMUM,TEKNIK ELEKTRO,B,-,-,-,-,-,-
rencanamu-1716,UNIVERSITAS MUHAMMADIYAH PROF. DR. HAMKA,A,-,DKI JAKARTA,UMUM,TEKNIK INFORMATIKA,B,-,-,-,-,-,-
rencanamu-1717,UNIVERSITAS MUHAMMADIYAH PROF. DR. HAMKA,A,-,DKI JAKARTA,UMUM,ILMU KESEHATAN MASYARAKAT,B,-,-,-,-,-,-
rencanamu-1718,UNIVERSITAS MUHAMMADIYAH PROF. DR. HAMKA,A,-,DKI JAKARTA,UMUM,GIZI,B,-,-,-,-,-,-
rencanamu-1719,UNIVERSITAS MUHAMMADIYAH PROF. DR. HAMKA,A,-,DKI JAKARTA,UMUM,ILMU KOMUNIKASI,A,-,-,-,-,-,-
rencanamu-1720,UNIVERSITAS MUHAMMADIYAH PROF. DR. HAMKA,A,-,DKI JAKARTA,UMUM,FARMASI,B,-,-,-,-,-,-
rencanamu-1721,UNIVERSITAS MUHAMMADIYAH PROF. DR. HAMKA,A,-,DKI JAKARTA,UMUM,PENDIDIKAN AGAMA ISLAM,A,-,-,-,-,-,-
rencanamu-1722,UNIVERSITAS MUHAMMADIYAH PROF. DR. HAMKA,A,-,DKI JAKARTA,UMUM,PERBANKAN SYARI'AH,B,-,-,-,-,-,-
rencanamu-1723,UNIVERSITAS MUHAMMADIYAH PROF. DR. HAMKA,A,-,DKI JAKARTA,UMUM,PENDIDIKAN BAHASA ARAB,-,-,-,-,-,-,-
rencanamu-1724,UNIVERSITAS MUHAMMADIYAH PROF. DR. HAMKA,A,-,DKI JAKARTA,UMUM,ILMU KEDOKTERAN,-,-,-,-,-,-,-
rencanamu-1725,UNIVERSITAS MUHAMMADIYAH PROF. DR. HAMKA,A,-,DKI JAKARTA,UMUM,PENDIDIKAN ILMU PENGETAHUAN SOSIAL,B,-,-,-,-,-,-
rencanamu-1726,UNIVERSITAS MUHAMMADIYAH PROF. DR. HAMKA,A,-,DKI JAKARTA,UMUM,PENDIDIKAN BAHASA INDONESIA,A,-,-,-,-,-,-
rencanamu-1727,UNIVERSITAS MUHAMMADIYAH PROF. DR. HAMKA,A,-,DKI JAKARTA,UMUM,ADMINISTRASI PENDIDIKAN,A,-,-,-,-,-,-
rencanamu-1728,UNIVERSITAS MUHAMMADIYAH PROF. DR. HAMKA,A,-,DKI JAKARTA,UMUM,PENDIDIKAN BAHASA INGGRIS,B,-,-,-,-,-,-
rencanamu-1729,UNIVERSITAS MUHAMMADIYAH PROF. DR. HAMKA,A,-,DKI JAKARTA,UMUM,PERPAJAKAN,B,-,-,-,-,-,-
rencanamu-1730,UNIVERSITAS MUHAMMADIYAH PROF. DR. HAMKA,A,-,DKI JAKARTA,UMUM,TEKNIK KARDIOVASKULER,B,-,-,-,-,-,-
rencanamu-1731,UNIVERSITAS MUHAMMADIYAH PROF. DR. HAMKA,A,-,DKI JAKARTA,UMUM,ANALIS KESEHATAN,B,-,-,-,-,-,-
rencanamu-1732,SEKOLAH TINGGI TEKNOLOGI TERPADU NURUL FIKRI,C,-,DKI JAKARTA,UMUM,SISTEM INFORMASI,B,-,-,-,-,-,-
rencanamu-1733,SEKOLAH TINGGI TEKNOLOGI TERPADU NURUL FIKRI,C,-,DKI JAKARTA,UMUM,TEKNIK INFORMATIKA,C,-,-,-,-,-,-
rencanamu-1734,UNIVERSITAS MOHAMMAD HUSNI THAMRIN,B,-,DKI JAKARTA,UMUM,KEPERAWATAN,B,-,-,-,-,-,-
rencanamu-1735,UNIVERSITAS MOHAMMAD HUSNI THAMRIN,B,-,DKI JAKARTA,UMUM,GIZI,B,-,-,-,-,-,-
rencanamu-1736,UNIVERSITAS MOHAMMAD HUSNI THAMRIN,B,-,DKI JAKARTA,UMUM,KESEHATAN MASYARAKAT,B,-,-,-,-,-,-
