faculty,building_name,address,institution_code
Fakultas Teknik,Kampus Pusat,"Jl. Ciledug Raya, Petukangan Utara, Jakarta Selatan, 12260",quipper-18
Fakultas Komunikasi dan Desain Kreatif,Kampus Pusat,"Jl. Ciledug Raya, Petukangan Utara, Jakarta Selatan, 12260",quipper-18
Fakultas Ekonomi dan Bisnis,Kampus Pusat,"Jl. Ciledug Raya, Petukangan Utara, Jakarta Selatan, 12260",quipper-18
Fakultas Teknologi Informasi,Kampus Pusat,"Jl. Ciledug Raya, Petukangan Utara, Jakarta Selatan, 12260",quipper-18
ALL,Kampus Utama,"Jl. Kedoya Raya No.18,
Jakarta Barat 11520",quipper-19
ALL,Kampus Utama,"Jalan Nginden Intan Timur I/18, Surabaya 60118",quipper-20
ALL,Kampus Utama,Jalan Kalidami Nomor 14-16 Surabaya,quipper-21
ALL,Kampus Utama,"Jl. Selomangleng No. 1, Pojok, Kec. Mojoroto, Kota Kediri, Jawa Timur 64115",quipper-22
ALL,Kampus Utama,"Jl. Kanayakan No.21, Dago, Kecamatan Coblong, Kota Bandung, Jawa Barat 40135",quipper-23
ALL,Kampus Utama,"Jl. Dr. Ir. H. Soekarno No.201, Klampis Ngasem, Kec. Sukolilo, Kota Surabaya, Jawa Timur 60117",quipper-24
ALL,Kampus Utama,"Jl. Semolowaru No.84, Surabaya 60283, Jawa Timur, Indonesia",quipper-25
ALL,Kampus Utama,"Jalan Ki Hajar Dewantara 15 A Iringmulyo, Kota Metro, Lampung",quipper-26
Fakultas Sains dan Teknologi,Universitas Raharja,Jl. Jenderal Sudirman No. 40 Modern Cikokol Tangerang 15117,quipper-27
ALL,Kampus Utama,"Jl. DR. Soebandi No.99, Cangkring, Patrang, Kec. Patrang, Kabupaten Jember, Jawa Timur 68111",quipper-28
ALL,Kampus Utama,"Jalan Dharmawangsa, Benoa, Kecamatan Kuta Selatan, Kabupaten Badung, Bali 80361",quipper-29
ALL,Kampus Utama,"IKIP Gunung Anyar Blok E No.152-154 & 197-198, Gn. Anyar, Kec. Gn. Anyar, Kota Surabaya, Jawa Timur 60295",quipper-30
ALL,Kampus A,"Jl. Hang Jebat III/F3 Kebayoran Baru, Jakarta Selatan 12120",quipper-31
ALL,Kampus B,"Jl. Raya Ragunan No. 29C Pasar Minggu,
Jakarta Selatan",quipper-31
ALL,Kampus C,"Jl. Percetakan
Negara No. 23A, Jakarta Pusat.",quipper-31
ALL,Kampus Utama,"Jalan Kolonel Masturi Nomor 288,
Kabupaten Bandung Barat,
Jawa Barat, Indonesia 40559",quipper-32
ALL,Kampus Benowo (UWP),"Jl. Raya Benowo 1-3, Surabaya",quipper-33
ALL,Kampus Wiyung,"Jl. Menganti Kramat 133, Wiyung, Surabaya",quipper-33
ALL,Kampus Utama,"Jl. Siwalankerto 121-131, RT.007/RW.01, Siwalankerto, Wonocolo, Surabaya 60236",quipper-34
ALL,Kampus Utama,"Jalan Raya Panglegur KM. 4 Pamekasan 69371
Jawa Timur, Indonesia",quipper-35
ALL,Kampus Utama,"Jalan Sumatera 118-120, Sumbersari, Jember, Jawa Timur",quipper-36
Fakultas Ilmu Sosial dan Ilmu Politik,Universitas Pramita Indonesia,"Jl. Boulevard Taman Ubud, Lippo Karawaci",quipper-37
Fakultas Sains dan Teknologi,Universitas Pramita Indonesia,"Jl. Boulevard Taman Ubud, Lippo Karawaci",quipper-37
Fakultas Ekonomi dan Bisnis,Universitas Pramita Indonesia,"Jl. Boulevard Taman Ubud, Lippo Karawaci",quipper-37
ALL,Kampus B,"Jalan Raya Jemursari Nomor 57, Jemur Wonosari, Kecamatan Wonocolo, Kota Surabaya, Jawa Timur 60237",quipper-38
ALL,Kampus A,"Jalan Smea Nomor 57, Wonokromo, Kecamatan Wonokromo, Kota Surabaya, Jawa Timur 60243",quipper-38
ALL,Kampus Utama,"Jalan Sriwijaya no. 1 Kedaung, Kab. Cirebon, Jawa Barat",quipper-39
Kedokteran,Kampus 2,Jl. Bendungan Sutami 188A Malang,quipper-40
llmu Kesehatan,Kampus 2,Jl. Bendungan Sutami 188A Malang,quipper-40
ALL,Kampus 1,Jl. Bandung No. 1 Malang,quipper-40
ALL,Kampus 3,Jl. Raya Tlogomas No. 246 Malang 65144,quipper-40
ALL,Kampus Utama,"Jl. Soegijo Pranoto TP 13, Madiun",quipper-41
ALL,Kampus Utama,"Jl. Trunojoyo No.16, Kepanjen, Malang",quipper-42
ALL,Kampus Vokasi,"Jalan Tipar Cakung Nomor 81A, RT 3 RW 7, Cakung Barat, Kecamatan Cakung, Kota Jakarta Timur, 13910",quipper-43
ALL,Kampus E,Jalan Cirendeu Raya Nomor 6 Tangerang Selatan,quipper-43
ALL,Kampus B,"Jalan Raya Industri Jababeka Nomor 69, Mekarmukti, Cikarang Utara, Kabupaten Bekasi 17530",quipper-43
ALL,Kampus Pusat,Jalan Pangkalan Asem Raya Nomor 55 Cempaka Putih Jakarta Pusat 10530,quipper-43
ALL,Kampus D,"Jalan Ir. H. Juanda Nomor 27 Kemiri Muka, Beji, Kota Depok",quipper-43
ALL,Kampus C,"Jalan TB Simatupang Nomor 005 RT 3 RW 11, Gedong, Kecamatan Pasar Rebo, Kota Jakarta Timur, 13760",quipper-43
ALL,Kampus F,Jalan K. H. Hasyim Ashari Nomor 338 Sudimara Pinang Tangerang Kota,quipper-43
ALL,Kampus Pascasarjana,Jalan Letjen Suprapto Nomor 504 Jakarta Pusat 10530,quipper-43
ALL,Kampus Cikarang,"Jl. Gaharu Blok F-3 Delta Silicon 2 Lippo Cikarang, Kelurahan Cibatu, Kecamatan Cikarang Selatan, Bekasi, Jawa Barat 17530",quipper-44
ALL,Kampus Sunter,"Komplek PT Astra International Tbk. Gedung B, Jl. Gaya Motor Raya No. 8, Sunter II, Jakarta 14330",quipper-44
ALL,Kampus 1,"Graha Mahardhika, Jl. Wisata Menanggal 42A, Surabaya 60234, Jawa Timur",quipper-45
ALL,Kampus 2,"Graha Pena Lantai 2, Jl. A. Yani No. 88, Surabaya, Jawa Timur",quipper-45
Fakultas Seni Pertunjukan,Kampus Utama,"Jalan Kampwolker Perumnas 3 Waena, Kota Jayapura, Papua",quipper-46
Fakultas Seni Rupa dan Desain,Kampus Utama,"Jalan Kampwolker Perumnas 3 Waena, Kota Jayapura, Papua",quipper-46
ALL,Kampus Semanggi,"Jl. Jenderal Sudirman RT 02 RW 04 No. 51, Karet Semanggi, Jakarta 12930",quipper-47
ALL,Kampus BSD,"Jl. Raya Cisauk Lapan, Sampora, Kec. Cisauk, Kabupaten Tangerang, Banten 15345",quipper-47
ALL,Kampus Pluit,"Jl. Pluit Raya No.2, RT.21/RW.8, Penjaringan, Kec. Penjaringan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14440",quipper-47
ALL,Kampus Utama,"Jalan Tajoin Tuan, Kel. Naimata, Kec. Maulafa Kota Kupang, Nusa Tenggara Timur 85147",quipper-48
Fakultas Psikologi dan Ilmu Sosial Budaya,Kampus Utama,"Jln. Kaliurang Km. 14.5, Sleman, Yogyakarta, 55584",quipper-49
Fakultas Teknik Sipil dan Perencanaan,Kampus Utama,"Jln. Kaliurang Km. 14.5, Sleman, Yogyakarta, 55584",quipper-49
Fakultas Kedokteran,Kampus Utama,"Jln. Kaliurang Km. 14.5, Sleman, Yogyakarta, 55584",quipper-49
Fakultas Ilmu Agama Islam,Kampus Utama,"Jln. Kaliurang Km. 14.5, Sleman, Yogyakarta, 55584",quipper-49
Fakultas Matematika dan Ilmu Pengetahuan Alam,Kampus Utama,"Jln. Kaliurang Km. 14.5, Sleman, Yogyakarta, 55584",quipper-49
Fakultas Hukum,Kampus Utama,"Jln. Kaliurang Km. 14.5, Sleman, Yogyakarta, 55584",quipper-49
Fakultas Teknologi Industri,Kampus Utama,"Jln. Kaliurang Km. 14.5, Sleman, Yogyakarta, 55584",quipper-49
Fakultas Bisnis dan Ekonomika,Kampus Utama,"Jln. Kaliurang Km. 14.5, Sleman, Yogyakarta, 55584",quipper-49
ALL,Kampus Utama,"Jalan R.A. Kartini No. 66 Bekasi, Jawa Barat 17113",quipper-50
ALL,Graha STTII Surabaya,"Jl. Raya Panjang Jiwo Permai 1, Tenggilis Mojoyo, Surabaya",quipper-51
ALL,Kampus Utama,"Jl. Pengasinan Rawa Semut, Margahayu, Bekasi Timur 17113",quipper-52
ALL,Kampus Utama,"Jalan Sunan Ampel Nomor 7, Ngronggo, Kecamatan Kota, Kabupaten Kediri, Jawa Timur 64127",quipper-53
ALL,Kampus Utama,"Jalan Laksda Adi Sucipto 249A Blimbing, Malang, Jawa Timur",quipper-54
ALL,Kampus Utama,"Jl. Tol Ciawi No. 1, Ciawi-Bogor",quipper-55
ALL,Kampus Utama,"Jl. IKPN Bintaro No.1, RT. 4 / RW. 12, Bintaro, Pesanggrahan, Jakarta Selatan, 12330",quipper-56
