institution_code,institution_name,province,body_type,campus_accreditation,faculty,prodi,edu_level,accreditation,average_yearly_fee,average_semester_fee
33,UNIVERSITAS PGRI PALEMBANG,SUMATERA SELATAN,SWASTA,B,-,KEWIRAUSAHAAN,S1,BAIK,401975000.0,200987500.0
1925,UNIVERSITAS TULANG BAWANG,LAMPUNG,SWASTA,BAIK SEKALI,-,ADMINISTRASI BISNIS,S1,BAIK SEKALI,2.0,1.0
60,UNIVERSITAS MUHAMMADIYAH PROF DR HAMKA,D.K.I. JAKARTA,SWASTA,UNGGUL,FAKULTAS EKONOMI DAN BISNIS,EKONOMI ISLAM,S1,BAIK SEKALI,75800000.0,37900000.0
39,INSTITUT TEKNOLOGI HARAPAN BANGSA,JAWA BARAT,SWASTA,BAIK SEKALI,MANAJEMEN RANTAI PASOK,MANAJEMEN,S1,-,243400000.0,121700000.0
18,UNIVERSITAS HKBP NOMMENSEN,SUMATERA UTARA,SWASTA,B,FAKULTAS BAHASA DAN SENI,MUSIK,S1,-,43995014537456.0,21997507268728.0
1919,UNIVERSITAS MUHAMMADIYAH SIDOARJO,JAWA TIMUR,SWASTA,B,-,GURU SEKOLAH DASAR,S1,UNGGUL,12.0,6.0
1060,UNIVERSITAS MUHAMMADIYAH BUTON,SULAWESI TENGGARA,SWASTA,BAIK SEKALI,FAKULTAS PERTANIAN,AGRIBISNIS,S1,B,7700000.0,3850000.0
43,UNIVERSITAS ISLAM SULTAN AGUNG,JAWA TENGAH,SWASTA,B,-,GURU SEKOLAH DASAR,S1,UNGGUL,201750001.0,100875000.0
786,UNIVERSITAS MERCU BUANA,D.K.I. JAKARTA,SWASTA,UNGGUL,FAKULTAS TEKNIK,SIPIL,S1,UNGGUL,10000000.0,5000000.0
444,UNIVERSITAS SAHID,D.K.I. JAKARTA,SWASTA,UNGGUL,FAKULTAS TEKNIK,LINGKUNGAN,S1,BAIK SEKALI,15450000.0,7725000.0
1414,UNIVERSITAS BINA SARANA INFORMATIKA,D.K.I. JAKARTA,SWASTA,UNGGUL,-,HUKUM BISNIS,S1,TERAKREDITASI SEMENTARA,5760000.0,2880000.0
194,UNIVERSITAS AGUNG PODOMORO,DKI JAKARTA,SWASTA,BAIK SEKALI,FAKULTAS EKONOMI DAN BISNIS,AKUNTANSI,S1,C,28000000.0,14000000.0
42,UNIVERSITAS MUHAMMADIYAH PALEMBANG,SUMATERA SELATAN,SWASTA,UNGGUL,-,AKUAKULTUR,S1,UNGGUL,212024276.0,106012138.0
47,UNIVERSITAS MUHAMMADIYAH SURABAYA,JAWA TIMUR,SWASTA,UNGGUL,PASCASARJANA,ISLAM,S1,-,142200000.0,71100000.0
