faculty,building_name,address,quipper_institution_code
ALL,Kampus Utama,"Jl. Gapura No.8 Rawa Banteng Desa Cibuntu, Kecamatan Cibitung, Kabupaten Bekasi, Provinsi Jawa Barat, Indonesia.",33
Administrasi Bisnis,Kampus Utama,"Jl. Rawajati Timur I/1. Kalibata, Pancoran. Jakarta Selatan, DKI Jakarta. 12750",34
ALL,Kampus Utama,"Jalan Pancaka No. 7B Mataram, Nusa Tenggara Barat, Indonesia",35
ALL,Kampus Utama,"Jl. Selomangleng No. 1, Pojok, Kec. Mojoroto, Kota Kediri, Jawa Timur 64115",36
ALL,Kampus Utama,"Jl. Walet No.21, Sutawinangun, Cirebon",37
ALL,Kampus Pegangsaan,"Jl. Pegangsaan Timur No. 17a, Menteng, Jakarta Pusat 10310",38
ALL,Kampus Kimia,"Jl. Kimia No. 20. Menteng, Jakarta Pusat 10320",38
ALL,Kampus Wolter,"Jl. Wolter Monginsidi No. 84AE, Kebayoran Baru, Jakarta Selatan 12170",38
ALL,Kampus Utama,"Jalan Bougenville, Tateli Satu, Pineleng, Tateli Satu, Mandolang, Kabupaten Minahasa, Sulawesi Utara 95661",39
ALL,Kampus A,"Jalan Arteri Pondok Indah No. 11, Kebayoran Lama, RT 4/RW 2, Kebayoran Lama Utara, Kecamatan Kebayoran Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12240",40
ALL,Kampus B,"Jalan H. Jampang No.91, Jatimulya, Kecamatan Tambun Selatan, Bekasi, Jawa Barat 17510",40
ALL,Kampus B,"Jalan Raya Jemursari Nomor 57, Jemur Wonosari, Kecamatan Wonocolo, Kota Surabaya, Jawa Timur 60237",41
ALL,Kampus A,"Jalan Smea Nomor 57, Wonokromo, Kecamatan Wonokromo, Kota Surabaya, Jawa Timur 60243",41
ALL,Graha STTII Surabaya,"Jl. Raya Panjang Jiwo Permai 1, Tenggilis Mojoyo, Surabaya",42
ALL,Kampus Utama,"Jalan Tanjung Pati KM. 7, Koto Tuo, Kecamatan Harau, Kabupaten Lima Puluh Kota, Sumatera Barat 26271",43
ALL,Kampus Utama,"Jalan Raya Setu No.89 Bekasi, 17520",44
ALL,Kampus Utama,"Jl. Buaran II No.30 A, Klender, Duren Sawit - Jakarta Timur",45
ALL,Kampus Utama,"Jl. Arief Rachman Hakim 51, Sukolilo, Surabaya 60117",46
Syariah,Kampus 1,"Jalan Pendidikan No.35, Dasan Agung Baru, Kec. Selaparang, Kota Mataram",47
Tarbiyah dan Keguruan,Kampus 1,"Jalan Pendidikan No.35, Dasan Agung Baru, Kec. Selaparang, Kota Mataram",47
Dakwah dan Ilmu Komunikasi,Kampus 1,"Jalan Pendidikan No.35, Dasan Agung Baru, Kec. Selaparang, Kota Mataram",47
Ekonomi dan Bisnis Islam,Kampus 1,"Jalan Pendidikan No.35, Dasan Agung Baru, Kec. Selaparang, Kota Mataram",47
Ushuluddin dan Studi Agama,Kampus 1,"Jalan Pendidikan No.35, Dasan Agung Baru, Kec. Selaparang, Kota Mataram",47
Pascasarjana,Kampus 2,"Jalan Gajah Mada No. 100, Pagesangan, Mataram, Jempong Baru, Kec. Sekarbela, Kota Mataram",47
ALL,Kampus Utama,"Jl. Menur Pumpungan 30, Surabaya 60118",48
ALL,Kampus Utama,"Jalan Dharmawangsa, Benoa, Kecamatan Kuta Selatan, Kabupaten Badung, Bali 80361",49
ALL,Kampus Utama,"Jalan Sumatera 118-120, Sumbersari, Jember, Jawa Timur",50
ALL,Kampus Utama,"Bumimoro, Morokrembangan, Surabaya 60187",51
ALL,Kampus Utama,"Jl. Kapasari No. 95, Surabaya 60141",52
ALL,Kampus Utama,"Jl. Sabar No 66, Petukangan Selatan, Pesanggrahan, Jakarta Selatan, 12270",53
ALL,Kampus Utama,"Jalan Sriwijaya Nomor 32, Karangrejo, Sumbersari, Jember, Jawa Timur, Indonesia",54
ALL,Kampus Utama,"Jl. Kanayakan No.21, Dago, Kecamatan Coblong, Kota Bandung, Jawa Barat 40135",55
ALL,Kampus Utama,"Jl. Curug Mekar No. 17, Yasmin, Kota Bogor, Jawa Barat, Indonesia 16113",56
Fakultas Ekonomi Digital,Institut Teknologi dan Bisnis Ahmad Dahlan,"Jln. Ir H. Juanda No.77, Cireundeu, Kec. Ciputat Tim., Kota Tangerang Selatan, Banten 15419",57
Fakultas Teknik dan Desain,Institut Teknologi dan Bisnis Ahmad Dahlan,"Jln. Ir H. Juanda No.77, Cireundeu, Kec. Ciputat Tim., Kota Tangerang Selatan, Banten 15419",57
ALL,Kampus Utama,"Jalan BRI Radio Dalam Nomor 17 RT 14 RW 3, Gandaria Utara, Kecamatan Kebayoran Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12140",58
ALL,Kampus Utama,"Jl. Raya Mangga Besar No. 137 - 139, Jakarta Pusat",59
ALL,Kampus 2,"Pombewe, Kecamatan Sigi Biromaru, Kabupaten Sigi, Sulawesi Tengah 94362",60
ALL,Kampus 1,"Jalan Diponegoro Nomor 23, Lere, Kecamatan Palu Barat, Kota Palu, Sulawesi Tengah 94221, Indonesia",60
ALL,Kampus Utama,"Jalan Ki Hajar Dewantara 15 A Iringmulyo, Kota Metro, Lampung",61
ALL,Kampus Utama,"Jalan Ngagel Jaya Tengah 73-77, Surabaya, Indonesia",62
ALL,Kampus I,"Jalan Balai Kota No. 1 Kota Pare-Pare, Sulawesi Selatan",63
ALL,Kampus II,"Jalan Pemuda No. 6, Kota Pare-Pare, Sulawesi Selatan",63
ALL,Kampus Utama,"Jalan Sungai Musi Km. 9, Kecamatan Tanete Riattang, Kabupaten Bone, Sulawesi Selatan",64
ALL,Kampus Utama,"Jalan Raya Nomor 1, Karang Serang, Kecamatan Sukadiri, Tangerang, Banten 15330",65
ALL,Kampus 1,"Graha Mahardhika, Jl. Wisata Menanggal 42A, Surabaya 60234, Jawa Timur",66
ALL,Kampus 2,"Graha Pena Lantai 2, Jl. A. Yani No. 88, Surabaya, Jawa Timur",66
