quipper_code,rencanamu_code,banpt_code,pddikti_code,faculty,prodi,prodi_normalized,edu_level,accreditation
quipper-575,rencanamu-14,-,-,FAKULTAS ILMU PENDIDIKAN,BIMBINGAN DAN KONSELING,BIMBINGAN KONSELING,S1,-
quipper-575,rencanamu-14,-,-,FAKULTAS MATEMATIKA DAN IPA,BIOLOGI,BIOLOGI,S1,-
quipper-575,rencanamu-14,-,-,FAKULTAS MATEMATIKA DAN IPA,FISIKA,FISIKA,S1,-
quipper-575,rencanamu-14,-,-,FAKULTAS MATEMATIKA DAN IPA,KIMIA,KIMIA,S1,-
quipper-575,rencanamu-14,-,-,FAKULTAS MATEMATIKA DAN IPA,PENDIDIKAN MATEMATIKA,MATEMATIKA,S1,C
quipper-575,rencanamu-14,-,-,FAKULTAS PENDIDIKAN OLAHRAGA DAN KESEHATAN,PENDIDIKAN OLAHRAGA,OLAHRAGA,S1,C
quipper-575,rencanamu-14,-,-,FAKULTAS ILMU PENDIDIKAN,TEKNOLOGI PENDIDIKAN,TEKNOLOGI,S1,-
-,-,banpt-4013,-,-,PENDIDIKAN EKONOMI,EKONOMI,S1,B
-,-,banpt-4013,-,-,PENDIDIKAN MATEMATIKA,MATEMATIKA,S1,B
-,-,banpt-2207,-,-,BIMBINGAN DAN KONSELING,BIMBINGAN KONSELING,S1,B
-,-,banpt-2207,-,-,PENDIDIKAN BIOLOGI,BIOLOGI,S1,BAIK
quipper-478,-,banpt-2207,-,FAKULTAS ILMU PENDIDIKAN DAN PENGETAHUAN SOSIAL,GEOGRAFI,GEOGRAFI,S1,B
quipper-478,-,-,-,FAKULTAS MIPA DAN TEKNOLOGI,KEGURUAN & PENDIDIKAN,GURU,S1,-
quipper-478,-,-,-,FAKULTAS MIPA DAN TEKNOLOGI,TEKNIK INFORMATIKA,INFORMATIKA,S1,-
-,-,banpt-2207,-,-,PENDIDIKAN JASMANI,JASMANI,S1,B
quipper-478,-,banpt-2207,-,FAKULTAS MIPA DAN TEKNOLOGI,PENDIDIKAN MATEMATIKA,MATEMATIKA,S1,B
quipper-478,-,-,-,FAKULTAS PENDIDIKAN OLAHRAGA DAN KESEHATAN,PENDIDIKAN OLAHRAGA,OLAHRAGA,S1,-
quipper-478,-,-,-,FAKULTAS ILMU PENDIDIKAN DAN PENGETAHUAN SOSIAL,SEJARAH,SEJARAH,S1,-
-,-,banpt-2207,-,-,PENDIDIKAN TEKNOLOGI INFORMASI,TEKNOLOGI INFORMASI,S1,B
-,-,banpt-IKIP SARASWATI,-,-,PENDIDIKAN SEJARAH,SEJARAH,S1,B
quipper-507,-,banpt-IKIP VETERAN JAWA TENGAH,-,FAKULTAS PENDIDIKAN IPS,ILMU EKONOMI,EKONOMI,S1,B
quipper-507,-,-,-,FAKULTAS PENDIDIKAN IPS,GEOGRAFI,GEOGRAFI,S1,-
quipper-507,-,-,-,FAKULTAS ILMU PENDIDIKAN,KEGURUAN & PENDIDIKAN,GURU,S1,-
quipper-507,-,-,-,FAKULTAS PENDIDIKAN IPS,SEJARAH,SEJARAH,S1,-
quipper-309,-,-,-,AKUNTANSI,AKUNTANSI,AKUNTANSI,S1,-
quipper-309,-,-,-,MANAJEMEN,MANAJEMEN,MANAJEMEN,S1,-
-,rencanamu-15,-,-,-,BIOTEKNOLOGI,BIOTEKNOLOGI,S1,-
-,rencanamu-15,-,-,-,FARMASI,FARMASI,S1,-
-,rencanamu-15,-,-,-,TEKNOLOGI PANGAN,TEKNOLOGI PANGAN,S1,-
-,-,banpt-1180,-,-,ADMINISTRASI KESEHATAN,ADMINISTRASI KESEHATAN,S1,BAIK
-,-,banpt-1180,-,-,GIZI,GIZI,S1,BAIK
-,-,banpt-1180,-,-,KEBIDANAN,KEBIDANAN,S1,BAIK SEKALI
-,-,banpt-1180,-,-,ILMU KEPERAWATAN,KEPERAWATAN,S1,BAIK SEKALI
-,-,banpt-2153,-,-,SISTEM INFORMASI,SISTEM INFORMASI,S1,BAIK
-,-,banpt-3807,-,-,TEKNIK ELEKTRO,ELEKTRO,S1,BAIK
-,-,banpt-3807,-,-,TEKNIK TELEKOMUNIKASI,ILMU KOMUNIKASI,S1,BAIK
-,-,banpt-3807,-,-,TEKNIK INDUSTRI,INDUSTRI,S1,BAIK
-,-,banpt-3807,-,-,INFORMATIKA,INFORMATIKA,S1,BAIK SEKALI
-,-,banpt-3807,-,-,TEKNIK KOMPUTER,KOMPUTER,S1,BAIK
-,-,banpt-3807,-,-,REKAYASA PERANGKAT LUNAK,REKAYASA PERANGKAT LUNAK,S1,BAIK
-,-,banpt-3807,-,-,SAINS DATA,SAINS DATA,S1,BAIK SEKALI
-,-,banpt-3807,-,-,SISTEM INFORMASI,SISTEM INFORMASI,S1,BAIK
-,-,banpt-3807,-,-,TEKNOLOGI INFORMASI,TEKNOLOGI INFORMASI,S1,BAIK
-,-,banpt-2479,-,-,ILMU ADMINISTRASI NEGARA,ADMINISTRASI NEGARA,S1,BAIK
-,-,banpt-2479,-,-,ILMU ADMINISTRASI NIAGA,ADMINISTRASI NIAGA,S1,BAIK SEKALI
-,-,banpt-2479,-,-,BISNIS DIGITAL,BISNIS DIGITAL,S1,BAIK SEKALI
-,-,banpt-1793,-,-,BISNIS DIGITAL,BISNIS DIGITAL,S1,BAIK
-,-,banpt-1793,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK
-,-,banpt-1793,-,-,SISTEM INFORMASI,SISTEM INFORMASI,S1,BAIK SEKALI
-,-,banpt-117,-,-,ADMINISTRASI KESEHATAN,ADMINISTRASI KESEHATAN,S1,BAIK
-,-,banpt-117,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK
-,-,banpt-28,-,-,BIO MEDIS DAN REKAYASA HAYATI,BIOMEDIS,S1,UNGGUL
-,-,banpt-28,-,-,BIO TEKNOLOGI,BIOTEKNOLOGI,S1,UNGGUL
-,-,banpt-28,-,-,FARMASI,FARMASI,S1,BAIK SEKALI
-,-,banpt-28,-,-,BIO INFORMATIKA,INFORMATIKA,S1,BAIK SEKALI
-,-,banpt-28,-,-,BIO KEWIRAUSAHAAN,KEWIRAUSAHAAN,S1,B
-,-,banpt-28,-,-,MANAJEMEN BISNIS INTERNASIONAL,MANAJEMEN BISNIS INTERNASIONAL,S1,BAIK SEKALI
-,-,banpt-28,-,-,PANGAN DAN NUTRISI,TEKNOLOGI PANGAN,S1,B
-,-,banpt-1151,-,-,AKUNTANSI,AKUNTANSI,S1,B
-,-,banpt-1151,-,-,MANAJEMEN,MANAJEMEN,S1,B
quipper-82,-,banpt-3325,-,BISNIS,AKUNTANSI,AKUNTANSI,S1,UNGGUL
quipper-82,-,banpt-3325,-,BISNIS,BIOKIMIA,BIOKIMIA,S1,BAIK
quipper-82,-,-,-,INFORMATIKA & PARIWISATA,TEKNIK INFORMATIKA,INFORMATIKA,S1,-
quipper-82,-,banpt-3325,-,BISNIS,MANAJEMEN,MANAJEMEN,S1,BAIK SEKALI
quipper-82,-,banpt-3325,-,INFORMATIKA & PARIWISATA,PARIWISATA,PARIWISATA,S1,BAIK
quipper-82,-,banpt-3325,-,INFORMATIKA & PARIWISATA,SISTEM INFORMASI,SISTEM INFORMASI,S1,BAIK
-,-,banpt-3325,-,-,TEKNOLOGI INFORMASI,TEKNOLOGI INFORMASI,S1,BAIK
-,-,banpt-1132,-,-,ADMINISTRASI BISNIS,ADMINISTRASI BISNIS,S1,BAIK SEKALI
-,-,banpt-1132,-,-,AKUNTANSI,AKUNTANSI,S1,BAIK SEKALI
-,-,banpt-1132,-,-,KOMUNIKASI,ILMU KOMUNIKASI,S1,B
-,-,banpt-1132,-,-,TEKNIK INFORMATIKA,INFORMATIKA,S1,BAIK
