cluster,institution_code,institution_name,province,body_type,campus_accreditation,faculty,prodi,edu_level,accreditation,average_yearly_fee,average_semester_fee
1,128,UNIVERSITAS SURABAYA,JAWA TIMUR,SWASTA,A,FAKULTAS INDUSTRI KREATIF,DESAIN & MANAJEMEN PRODUK,S1,-,38850250.0,19425125.0
1,128,UNIVERSITAS SURABAYA,JAWA TIMUR,SWASTA,A,FAKULTAS KEDOKTERAN,KEDOKTERAN,S1,-,38850250.0,19425125.0
1,128,UNIVERSITAS SURABAYA,JAWA TIMUR,SWASTA,A,-,KENOTARISAN,S1,B,38850250.0,19425125.0
1,128,UNIVERSITAS SURABAYA,JAWA TIMUR,SWASTA,A,POLITEKNIK UBAYA D3,BISNIS & PEMASARAN DIGITAL,S1,-,38850250.0,19425125.0
1,125,UNIVERSITAS SERELO LAHAT,SUMATERA SELATAN,SWASTA,BAIK SEKALI,-,MANAJEMEN,S1,BAIK SEKALI,39700000.0,19850000.0
1,125,UNIVERSITAS SERELO LAHAT,SUMATERA SELATAN,SWASTA,BAIK SEKALI,-,SISTEM INFORMASI,S1,BAIK,39700000.0,19850000.0
1,123,BINUS UNIVERSITY,DKI JAKARTA,SWASTA,A,FACULTY OF HUMANITIES,HUBUNGAN INTERNASIONAL,S1,-,40000000.0,20000000.0
1,123,BINUS UNIVERSITY,DKI JAKARTA,SWASTA,A,FACULTY OF HUMANITIES,HUKUM,S1,-,40000000.0,20000000.0
1,123,BINUS UNIVERSITY,DKI JAKARTA,SWASTA,A,SCHOOL OF ACCOUNTING,KEUANGAN,S1,-,40000000.0,20000000.0
1,123,BINUS UNIVERSITY,DKI JAKARTA,SWASTA,A,SCHOOL OF DESIGN,FILM,S1,-,40000000.0,20000000.0
1,123,BINUS UNIVERSITY,DKI JAKARTA,SWASTA,A,BUSINESS SCHOOL,MANAJEMEN BISNIS INTERNASIONAL,S1,-,40000000.0,20000000.0
1,123,BINUS UNIVERSITY,DKI JAKARTA,SWASTA,A,SCHOOL OF DESIGN,DESAIN KOMUNIKASI VISUAL,S1,-,40000000.0,20000000.0
1,123,BINUS UNIVERSITY,DKI JAKARTA,SWASTA,A,SCHOOL OF INFORMATION SYSTEMS,SISTEM INFORMASI AKUNTANSI AUDIT,S1,-,40000000.0,20000000.0
1,123,BINUS UNIVERSITY,DKI JAKARTA,SWASTA,A,FACULTY OF ENGINEERING,INDUSTRI,S1,-,40000000.0,20000000.0
1,123,BINUS UNIVERSITY,DKI JAKARTA,SWASTA,A,SCHOOL OF COMPUTER SCIENCE,APLIKASI TEKNOLOGI GAME,S1,-,40000000.0,20000000.0
1,123,BINUS UNIVERSITY,DKI JAKARTA,SWASTA,A,MASTER TRACK PROGRAMS,MANAJEMEN SISTEM INFORMASI,S1,-,40000000.0,20000000.0
1,121,UNIVERSITAS MUHAMMADIYAH KENDARI,SULAWESI TENGGARA,SWASTA,BAIK SEKALI,-,PERTAMBANGAN,S1,BAIK,40250000.0,20125000.0
1,121,UNIVERSITAS MUHAMMADIYAH KENDARI,SULAWESI TENGGARA,SWASTA,BAIK SEKALI,-,ANAK USIA DINI,S1,C,40250000.0,20125000.0
