quipper_code,rencanamu_code,banpt_code,pddikti_code,faculty,prodi,prodi_normalized,edu_level,accreditation,institution_code
-,-,banpt-3814,-,-,,ADMINISTRASI BISNIS,S1,BAIK,596
-,-,banpt-3814,-,-,,AKUNTANSI,S1,BAIK SEKALI,596
-,-,banpt-3814,-,-,,MANAJEMEN,S1,BAIK SEKALI,596
-,-,banpt-3814,-,-,,SISTEM INFORMASI,S1,BAIK,596
-,-,banpt-1827,-,-,,AKUNTANSI,S1,BAIK SEKALI,297
-,-,banpt-1827,-,-,,KEWIRAUSAHAAN,S1,BAIK,297
-,-,banpt-1827,-,-,,MANAJEMEN,S1,BAIK SEKALI,297
-,-,banpt-1827,-,-,,PERDAGANGAN INTERNASIONAL,S1,BAIK,297
-,-,banpt-1827,-,-,,SISTEM INFORMASI,S1,BAIK,297
-,-,banpt-2068,-,-,,AKUNTANSI,S1,BAIK,1517
-,-,banpt-2068,-,-,,ILMU KOMUNIKASI,S1,BAIK,1517
-,-,banpt-2068,-,-,,INFORMATIKA,S1,BAIK,1517
-,-,banpt-2068,-,-,,MANAJEMEN,S1,BAIK,1517
quipper-635,rencanamu-17,banpt-1918,-,FAKULTAS EKONOMI,,AKUNTANSI,S1,B,492
quipper-635,rencanamu-17,banpt-1918,-,FAKULTAS KOMUNIKASI,,ILMU KOMUNIKASI,S1,B,492
quipper-635,rencanamu-17,banpt-1918,-,FAKULTAS EKONOMI,,MANAJEMEN,S1,B,492
-,rencanamu-17,-,-,-,,SASTRA INGGRIS,S1,C,492
quipper-635,rencanamu-17,banpt-1918,-,FAKULTAS KOMPUTER,,SISTEM INFORMASI,S1,C,492
-,rencanamu-17,banpt-1918,-,-,,SISTEM KOMPUTER,S1,C,492
-,-,banpt-2320,-,-,,BISNIS DIGITAL,S1,BAIK,1195
-,-,banpt-2320,-,-,,MANAJEMEN,S1,BAIK,1195
-,-,banpt-763,-,-,,KEBIDANAN,S1,BAIK SEKALI,309
-,-,banpt-763,-,-,,KEPERAWATAN,S1,BAIK SEKALI,309
-,-,banpt-763,-,-,,PARIWISATA,S1,BAIK,309
-,-,banpt-1011,-,-,,EKONOMI,S1,BAIK,212
-,-,banpt-1011,-,-,,GURU SEKOLAH DASAR,S1,BAIK,212
-,-,banpt-1011,-,-,,HUKUM,S1,B,212
-,-,banpt-1011,-,-,,MATEMATIKA,S1,BAIK,212
-,-,banpt-1011,-,-,,PANCASILA KEWARGANEGARAAN,S1,BAIK,212
-,-,banpt-2310,-,-,,ARSITEKTUR,S1,TERAKREDITASI SEMENTARA,589
-,-,banpt-2310,-,-,,BISNIS DIGITAL,S1,BAIK SEKALI,589
-,-,banpt-2310,-,-,,DESAIN INTERIOR,S1,UNGGUL,589
-,-,banpt-2310,-,-,,DESAIN KOMUNIKASI VISUAL,S1,BAIK SEKALI,589
-,-,banpt-2310,-,-,,MANAJEMEN RITEL,S1,BAIK,589
-,-,banpt-1130,-,-,,ADMINISTRASI BISNIS,S1,BAIK,548
-,-,banpt-1130,-,-,,AKUNTANSI,S1,BAIK,548
-,-,banpt-1130,-,-,,INFORMATIKA,S1,BAIK,548
-,-,banpt-1130,-,-,,SISTEM INFORMASI,S1,BAIK,548
-,-,banpt-2404,-,-,,DESAIN KOMUNIKASI VISUAL,S1,BAIK,1315
-,-,banpt-2404,-,-,,FILSAFAT,S1,B,1315
-,-,banpt-2404,-,-,,KEWIRAUSAHAAN,S1,BAIK,1315
-,-,banpt-2404,-,-,,SISTEM INFORMASI,S1,BAIK,1315
quipper-89,-,banpt-525,-,TEKNOLOGI DAN MANAJEMEN KESEHATAN,,ADMINISTRASI RUMAH SAKIT,S1,BAIK,250
-,-,banpt-525,-,-,,BIOLOGI,S1,B,250
quipper-89,-,banpt-525,-,FARMASI,,FARMASI,S1,BAIK SEKALI,250
quipper-89,-,banpt-525,-,KESEHATAN,,FISIOTERAPI,S1,BAIK,250
quipper-89,-,banpt-525,-,KESEHATAN,,GIZI,S1,BAIK SEKALI,250
quipper-89,-,-,-,TEKNOLOGI DAN MANAJEMEN KESEHATAN,,INFORMATIKA MEDIS,S1,-,250
quipper-89,-,banpt-525,-,KESEHATAN,,KEBIDANAN,S1,BAIK,250
quipper-89,-,banpt-525,-,KEDOKTERAN GIGI,,KEDOKTERAN GIGI,S1,BAIK SEKALI,250
quipper-89,-,banpt-525,-,KESEHATAN,,KEPERAWATAN,S1,BAIK SEKALI,250
quipper-89,-,banpt-525,-,TEKNOLOGI DAN MANAJEMEN KESEHATAN,,KESEHATAN MASYARAKAT,S1,UNGGUL,250
-,-,banpt-525,-,-,,KIMIA,S1,B,250
quipper-89,-,banpt-525,-,KESEHATAN,,PSIKOLOGI,S1,BAIK,250
quipper-89,-,-,-,TEKNOLOGI DAN MANAJEMEN KESEHATAN,,REKAM MEDIS INFORMASI KESEHATAN,S1,-,250
-,-,banpt-1735,-,-,,AKUNTANSI,S1,BAIK SEKALI,978
-,-,banpt-1735,-,-,,HUKUM,S1,B,978
-,-,banpt-1735,-,-,,KRIMINOLOGI,S1,TERAKREDITASI SEMENTARA,978
-,-,banpt-1735,-,-,,MANAJEMEN,S1,BAIK SEKALI,978
quipper-383,-,-,-,FAKULTAS ILMU SOSIAL DAN ILMU POLITIK,,ADMINISTRASI,S1,-,424
-,rencanamu-18,banpt-1496,-,-,,ADMINISTRASI BISNIS,S1,C,424
quipper-383,rencanamu-18,banpt-1496,-,FAKULTAS ILMU SOSIAL DAN ILMU POLITIK,,HUBUNGAN INTERNASIONAL,S1,A,424
quipper-383,rencanamu-18,banpt-1496,-,FAKULTAS ILMU KOMUNIKASI,,ILMU KOMUNIKASI,S1,B,424
quipper-383,rencanamu-18,banpt-1496,-,FAKULTAS ILMU SOSIAL DAN ILMU POLITIK,,KESEJAHTERAAN SOSIAL,S1,B,424
quipper-383,rencanamu-18,banpt-1496,-,FAKULTAS ILMU SOSIAL DAN ILMU POLITIK,,POLITIK,S1,B,424
quipper-383,-,-,-,FAKULTAS ILMU KOMUNIKASI,,SOSIOLOGI,S1,-,424
-,-,banpt-3229,-,-,,ADMINISTRASI BISNIS,S1,A,724
-,-,banpt-3229,-,-,,ADMINISTRASI PUBLIK,S1,A,724
-,-,banpt-3229,-,-,,ILMU KOMUNIKASI,S1,B,724
-,-,banpt-3229,-,-,,LOGISTIK,S1,BAIK SEKALI,724
-,-,banpt-3229,-,-,,PERHOTELAN PARIWISATA,S1,B,724
quipper-347,rencanamu-19,banpt-1321,-,FAKULTAS BISNIS DAN EKONOMI,,AKUNTANSI,S1,B,763
-,-,banpt-1321,-,-,,BISNIS DIGITAL,S1,BAIK SEKALI,763
-,-,banpt-1321,-,-,,DESAIN INTERIOR,S1,BAIK,763
-,-,banpt-1321,-,-,,DESAIN KOMUNIKASI VISUAL,S1,BAIK,763
-,-,banpt-1321,-,-,,HUKUM,S1,BAIK,763
quipper-347,rencanamu-19,banpt-1321,-,FAKULTAS ILMU KOMPUTER,,INFORMATIKA,S1,B,763
quipper-347,rencanamu-19,-,-,FAKULTAS ILMU KOMPUTER,,KOMPUTER,S1,B,763
quipper-347,rencanamu-19,banpt-1321,-,FAKULTAS BISNIS DAN EKONOMI,,MANAJEMEN,S1,B,763
-,rencanamu-19,-,-,-,,MANAJEMEN INFORMATIKA,S1,C,763
-,-,banpt-1321,-,-,,PARIWISATA,S1,BAIK,763
-,-,banpt-1321,-,-,,SAINS DATA,S1,BAIK,763
quipper-347,rencanamu-19,banpt-1321,-,FAKULTAS ILMU KOMPUTER,,SISTEM INFORMASI,S1,C,763
-,rencanamu-19,banpt-1321,-,-,,SISTEM KOMPUTER,S1,C,763
