institution_code,institution_name,akreditasi_institusi,address,regency,province,contact,average_semester_fee,starting_semester_fee,ending_semester_fee,average_yearly_fee,starting_yearly_fee,ending_yearly_fee,body_type,link,student_amount,lecturer_amount,description
banpt-115,STIE MADANI BALIKPAPAN,BAIK,-,-,KALIMANTAN,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-116,SEKOLAH TINGGI ILMU KESEHATAN RAJEKWESI BOJONEGORO,TERAKREDITASI,-,-,JAWA TIMUR,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-117,INSTITUT BATARI TOJA BONE,TERAKREDITASI,-,-,SULAWESI SELATAN,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-118,AKADEMI AKUPUNKTUR SURABAYA,TERAKREDITASI,-,-,JAWA TIMUR,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-119,POLITEKNIK HAJI ANWAR SANUSI,TERAKREDITASI SEMENTARA,-,-,JAWA BARAT,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-120,INSTITUT KESEHATAN DAN TEKNOLOGI BUTON RAYA,TERAKREDITASI,-,-,SULAWESI SELATAN,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-121,AKADEMI MANAJEMEN INFORMATIKA DAN KOMPUTER TARUNA,TERAKREDITASI,-,-,JAWA TIMUR,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-122,SEKOLAH TINGGI ILMU KESEHATAN SAPTA BAKTI,BAIK,-,-,SUMATERA SELATAN,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-123,INSTITUT TEKNOLOGI MUHAMMADIYAH SUMATERA,BAIK,-,-,SUMATERA SELATAN,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-125,INSTITUT BISNIS DAN KOMUNIKASI SWADAYA,BAIK SEKALI,-,-,DKI JAKARTA,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-126,UNIVERSITAS WIRA BHAKTI,BAIK,-,-,SULAWESI SELATAN,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-131,SEKOLAH TINGGI KEGURUAN DAN ILMU PENDIDIKAN BINA HARAPAN CELEBES,BAIK,-,-,SULAWESI SELATAN,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-132,AKADEMI KEBIDANAN SALEHA,BAIK,-,-,ACEH,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-135,STKIP PGRI BANDAR LAMPUNG,BAIK SEKALI,-,-,SUMATERA SELATAN,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-136,UNIVERSITAS MURIA KUDUS,UNGGUL,-,-,JAWA TENGAH,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-137,UNIVERSITAS ALWASHLIYAH,BAIK SEKALI,-,-,SUMATERA UTARA,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-138,UNIVERSITAS MERDEKA MALANG,BAIK SEKALI,-,-,JAWA TIMUR,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-141,UNIVERSITAS SAHID SURAKARTA,BAIK SEKALI,-,-,JAWA TENGAH,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-142,POLITEKNIK AISYIYAH PONTIANAK,BAIK SEKALI,-,-,KALIMANTAN,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-146,SEKOLAH TINGGI ILMU EKONOMI YAPI BONE,BAIK,-,-,SULAWESI SELATAN,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-147,POLITEKNIK MUARA DUA,TIDAK TERAKREDITASI,-,-,SUMATERA SELATAN,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-148,SEKOLAH TINGGI MARITIM YOGYAKARTA,TERAKREDITASI,-,-,DAERAH ISTIMEWA YOGYAKARTA,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
